FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
02/01/2016;DE 17:00 A 17:59;SABADO;LATINA                        ;CARRIL  ANILLO VERDE CICLISTA KM.                                                                   ;37800;2016/53;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;MUJER;IL                                      ;DE 10 A 14 AÑOS
03/01/2016;DE 10:00 A 10:59;DOMINGO;FUENCARRAL-EL PARDO           ;GLORIETA DE OLGA RAMOS                                                                              ;0;2016/64;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
03/01/2016;DE 20:00 A 20:59;DOMINGO;SALAMANCA                     ;CALLE DE ALCALA NUM                                                                                 ;181;2016/137;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
05/01/2016;DE 12:00 A 12:59;MARTES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DE SINESIO DELGADO                                                      ;0;2016/198;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
06/01/2016;DE 14:00 A 14:59;MIERCOLES;RETIRO                        ;AVENIDA DE NAZARET - CALLE DE JESUS APRENDIZ                                                        ;0;2016/216;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 55 A 59 AÑOS
08/01/2016;DE 10:00 A 10:59;VIERNES;PUENTE DE VALLECAS            ;CALLE DE LA REGUERA DE TOMATEROS NUM                                                                ;39;2016/226;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 40 A 44 AÑOS
08/01/2016;DE 13:00 A 13:59;VIERNES;HORTALEZA                     ;AVENIDA DE LOGROÑO NUM                                                                              ;10;2016/256;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 30 A 34 ANOS
08/01/2016;DE 14:00 A 14:59;VIERNES;CENTRO                        ;CALLE DE ESPARTEROS NUM                                                                             ;4;2016/389;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 45 A 49 AÑOS
11/01/2016;DE 13:00 A 13:59;LUNES;TETUAN                        ;CALLE DE BERRUGUETE - CALLE DE BURGOS                                                               ;0;2016/674;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
11/01/2016;DE 15:00 A 15:59;LUNES;RETIRO                        ;CALLE DEL DOCTOR VELASCO - PASEO DE LA INFANTA ISABEL                                               ;0;2016/403;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
12/01/2016;DE 15:00 A 15:59;MARTES;SAN BLAS                      ;CALLE DE JULIAN CAMARILLO - CALLE DE SAN ROMUALDO                                                   ;0;2016/438;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
13/01/2016;DE 20:00 A 20:59;MIERCOLES;SALAMANCA                     ;CALLE DE ALCALA NUM                                                                                 ;199;2016/496;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
14/01/2016;DE 15:00 A 15:59;JUEVES;TETUAN                        ;AVENIDA DE ASTURIAS - CALLE DE SINESIO DELGADO                                                      ;0;2016/714;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
14/01/2016;DE 16:00 A 16:59;JUEVES;CARABANCHEL                   ;CALLE DE EVORA - CALLE DE SANTA LUCRECIA                                                            ;0;2016/706;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
15/01/2016;DE 15:00 A 15:59;VIERNES;VILLA DE VALLECAS             ;CALLE DE GONZALEZ DAVILA NUM                                                                        ;2;2016/543;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
15/01/2016;DE 23:00 A 23:59;VIERNES;CIUDAD LINEAL                 ;CALLE DE JOSE MARIA PEREDA - CALLE DE LOS COLLADOS                                                  ;0;2016/664;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;OTRAS CAUSAS                            ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 18 A 20 AÑOS
15/01/2016;DE 23:00 A 23:59;VIERNES;CIUDAD LINEAL                 ;CALLE DE JOSE MARIA PEREDA - CALLE DE LOS COLLADOS                                                  ;0;2016/664;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;OTRAS CAUSAS                            ;BICICLETA                               ;VIAJERO                                 ;MUJER;HL                                      ;DE 10 A 14 AÑOS
16/01/2016;DE 10:00 A 10:59;SABADO;RETIRO                        ;PASEO DEL PRADO NUM                                                                                 ;3;2016/571;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 30 A 34 ANOS
16/01/2016;DE 12:00 A 12:59;SABADO;CIUDAD LINEAL                 ;CALLE DE FELIX RODRIGUEZ DE LA FUENTE NUM                                                           ;91;2016/602;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
16/01/2016;DE 23:00 A 23:59;SABADO;CENTRO                        ;CALLE DE APODACA - CALLE DE FUENCARRAL                                                              ;0;2016/890;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
17/01/2016;DE 7:00 A 7:59;DOMINGO;CENTRO                        ;CALLE DE SOMBRERETE - CALLE DEL MESON DE PAREDES                                                    ;0;2016/604;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
17/01/2016;DE 10:00 A 10:59;DOMINGO;MONCLOA-ARAVACA               ;CALLE  30  08RE - CALLE DE ARROYOFRESNO                                                             ;0;2016/612;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
17/01/2016;DE 11:00 A 11:59;DOMINGO;LATINA                        ;AVENIDA DE LOS POBLADOS NUM                                                                         ;44;2016/615;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 15 A 17 AÑOS
17/01/2016;DE 11:00 A 11:59;DOMINGO;LATINA                        ;AVENIDA DE LOS POBLADOS NUM                                                                         ;44;2016/615;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
17/01/2016;DE 21:00 A 21:59;DOMINGO;CARABANCHEL                   ;CALLE DE SALVADOR ALLENDE NUM                                                                       ;34;2016/669;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
18/01/2016;DE 15:00 A 15:59;LUNES;HORTALEZA                     ;CALLE DE ANDRES OBISPO - GLORIETA DE FRANCISCO FERNANDEZ ORDOÑEZ                                    ;0;2016/665;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 21 A 24 AÑOS
18/01/2016;DE 19:00 A 19:59;LUNES;CHAMBERI                      ;CALLE DE ELOY GONZALO NUM                                                                           ;21;2016/717;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
19/01/2016;DE 9:00 A 9:59;MARTES;ARGANZUELA                    ;CALLE DEL GASOMETRO - PASEO DE LAS ACACIAS                                                          ;0;2016/691;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 25 A 29 AÑOS
19/01/2016;DE 17:00 A 17:59;MARTES;CHAMBERI                      ;CALLE DE LUCHANA NUM                                                                                ;22;2016/713;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 21 A 24 AÑOS
19/01/2016;DE 21:00 A 21:59;MARTES;CENTRO                        ;CALLE DE CONCEPCION JERONIMA - CALLE DE TOLEDO                                                      ;0;2016/683;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;3;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
21/01/2016;DE 14:00 A 14:59;JUEVES;VILLA DE VALLECAS             ;CALLE DE SAN JAIME NUM                                                                              ;2;2016/734;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
22/01/2016;DE 10:00 A 10:59;VIERNES;CENTRO                        ;CALLE DE CARRETAS NUM                                                                               ;19;2016/914;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
22/01/2016;DE 16:00 A 16:59;VIERNES;CENTRO                        ;PASEO DE LA REINA CRISTINA - PLAZA DEL EMPERADOR CARLOS V                                           ;0;2016/913;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 60 A 64 AÑOS
22/01/2016;DE 23:00 A 23:59;VIERNES;CENTRO                        ;CALLE  GRAN VIA NUM                                                                                 ;41;2016/777;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 25 A 29 AÑOS
23/01/2016;DE 19:00 A 19:59;SABADO;CARABANCHEL                   ;PASEO DE LA ERMITA DEL SANTO NUM                                                                    ;49;2016/806;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 10 A 14 AÑOS
24/01/2016;DE 13:00 A 13:59;DOMINGO;USERA                         ;PARQUE DE MADRID RIO (RIBERA OESTE) KM.                                                             ;6800;2016/989;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 6 A 9 AÑOS 
24/01/2016;DE 16:00 A 16:59;DOMINGO;CARABANCHEL                   ;CALLE DE SAN PATRICIO - CALLE DEL GENERAL RICARDOS                                                  ;0;2016/854;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
25/01/2016;DE 9:00 A 9:59;LUNES;CHAMBERI                      ;PASEO DEL GENERAL MARTINEZ CAMPOS NUM                                                               ;13;2016/905;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
25/01/2016;DE 9:00 A 9:59;LUNES;TETUAN                        ;PASEO DE LA CASTELLANA NUM                                                                          ;183;2016/958;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN MÚLTIPLE                       ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
25/01/2016;DE 13:00 A 13:59;LUNES;FUENCARRAL-EL PARDO           ;CARRETERA DE SOMONTES AL PALACIO DE LA REAL QUINTA NUM                                              ;5;2016/865;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
25/01/2016;DE 23:00 A 23:59;LUNES;MONCLOA-ARAVACA               ;CALLE DE LA PRINCESA - CALLE DEL REY FRANCISCO                                                      ;0;2016/867;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
26/01/2016;DE 9:00 A 9:59;MARTES;CENTRO                        ;CALLE DE ARRIAZA - CUESTA DE SAN VICENTE                                                            ;0;2016/870;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;CHOQUE CON OBJETO FIJO                  ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
