FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
01/01/2017;DE 6:00 A 6:59;DOMINGO;ARGANZUELA                    ;CALLE DE TOLEDO NUM                                                                                 ;120;2017/88;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CHOQUE CON OBJETO FIJO                  ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 21 A 24 AÑOS
02/01/2017;DE 21:00 A 21:59;LUNES;SAN BLAS                      ;CALLE DE MEQUINENZA NUM                                                                             ;14;2017/70;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
03/01/2017;DE 19:00 A 19:59;MARTES;CENTRO                        ;CALLE DE LA ESCALINATA NUM                                                                          ;8;2017/307;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
04/01/2017;DE 21:00 A 21:59;MIERCOLES;CENTRO                        ;CALLE DE LA CAVA DE SAN MIGUEL NUM                                                                  ;13;2017/124;NO;NO;NO;SI;NO;NO;SI;SI;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
05/01/2017;DE 8:00 A 8:59;JUEVES;MONCLOA-ARAVACA               ;PUENTE DE LOS FRANCESES                                                                             ;0;2017/206;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
05/01/2017;DE 12:00 A 12:59;JUEVES;LATINA                        ;CARRETERA DE BOADILLA DEL MONTE NUM                                                                 ;27;2017/239;NO;NO;NO;SI;NO;NO;SI;NO;NO;SI;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
05/01/2017;DE 14:00 A 14:59;JUEVES;TETUAN                        ;CALLE DE LA INFANTA MERCEDES NUM                                                                    ;27;2017/485;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 65 A 69 AÑOS
05/01/2017;DE 17:00 A 17:59;JUEVES;FUENCARRAL-EL PARDO           ;CALLE DE ANTONIO DE CABEZON NUM                                                                     ;91;2017/171;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
06/01/2017;DE 11:00 A 11:59;VIERNES;CENTRO                        ;CUESTA DE LA VEGA - PASEO DE LA CIUDAD DE PLASENCIA                                                 ;0;2017/191;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
06/01/2017;DE 17:00 A 17:59;VIERNES;SAN BLAS                      ;CALLE DE AREVALO LARA - CALLE DE TAMPICO                                                            ;0;2017/167;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
07/01/2017;DE 00:00 A 00:59;SABADO;CENTRO                        ;CALLE DE SAN FELIPE NERI - PLAZA DE LOS HERRADORES                                                  ;0;2017/156;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 21 A 24 AÑOS
07/01/2017;DE 11:00 A 11:59;SABADO;BARAJAS                       ;CALLE DE LA RIBERA DEL SENA - GLORIETA DE LUXEMBURGO                                                ;          ;2017/165;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
07/01/2017;DE 14:00 A 14:59;SABADO;FUENCARRAL-EL PARDO           ;CALLE DE FREUD - CALLE DE MARX                                                                      ;0;2017/182;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
08/01/2017;DE 13:00 A 13:59;DOMINGO;ARGANZUELA                    ;RONDA DE TOLEDO NUM                                                                                 ;14;2017/194;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
08/01/2017;DE 20:00 A 20:59;DOMINGO;CENTRO                        ;CALLE DE SEGOVIA NUM                                                                                ;16;2017/339;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 21 A 24 AÑOS
09/01/2017;DE 14:00 A 14:59;LUNES;TETUAN                        ;CALLE DE BRAVO MURILLO NUM                                                                          ;101;2017/615;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
