FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
07/01/2011;DE 15:00 A 15:59;VIERNES;SALAMANCA                     ;CALLE DE ALCALA NUM                                                                                 ;198;2011/283;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
12/01/2011;DE 18:00 A 18:59;MIERCOLES;CHAMARTIN                     ;AVENIDA DE CONCHA ESPINA NUM                                                                        ;57;2011/388;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
13/01/2011;DE 9:00 A 9:59;JUEVES;MONCLOA-ARAVACA               ;CALLE DE RAMIRO DE MAEZTU                                                                           ;0;2011/380;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 25 A 29 AÑOS
15/01/2011;DE 10:00 A 10:59;SABADO;MONCLOA-ARAVACA               ;CARRETERA DE LA CIUDAD UNIVERSITARIA - CAMINO DE VALDEZA                                            ;0;2011/515;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 65 A 69 AÑOS
15/01/2011;DE 12:00 A 12:59;SABADO;LATINA                        ;AVENIDA DE LOS POBLADOS - CALLE DE VALMOJADO                                                        ;0;2011/443;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
15/01/2011;DE 13:00 A 13:59;SABADO;CHAMARTIN                     ;AVENIDA DE AMERICA - CALLE DE CORAZON DE MARIA                                                      ;0;2011/581;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
15/01/2011;DE 17:00 A 17:59;SABADO;CHAMBERI                      ;PASEO DE LA CASTELLANA NUM                                                                          ;63;2011/435;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 30 A 34 ANOS
18/01/2011;DE 15:00 A 15:59;MARTES;PUENTE DE VALLECAS            ;CALLE DE JOSE PAULETE - CALLE DE BOADA                                                              ;0;2011/566;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
18/01/2011;DE 18:00 A 18:59;MARTES;CENTRO                        ;CALLE DE LA RIBERA DE CURTIDORES - CALLE DE MIRA EL SOL                                             ;0;2011/568;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 21 A 24 AÑOS
24/01/2011;DE 18:00 A 18:59;LUNES;MONCLOA-ARAVACA               ;CALLE DE LA GOLONDRINA - CALLE DE LAS ROSAS DE ARAVACA                                              ;0;2011/768;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
28/01/2011;DE 13:00 A 13:59;VIERNES;CHAMARTIN                     ;CALLE DEL PRINCIPE DE VERGARA NUM                                                                   ;248;2011/908;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
29/01/2011;DE 17:00 A 17:59;SABADO;CARABANCHEL                   ;CALLE DE LA DOBLA - AVENIDA DE LOS POBLADOS                                                         ;0;2011/895;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
01/02/2011;DE 16:00 A 16:59;MARTES;CENTRO                        ;CALLE DE SEGOVIA - PASEO DE LA VIRGEN DEL PUERTO                                                    ;0;2011/979;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
02/02/2011;DE 19:00 A 19:59;MIERCOLES;CIUDAD LINEAL                 ;CALLE DE FRANCISCO LARGO CABALLERO - CALLE DE NICOLAS SALMERON                                      ;0;2011/1030;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 35 A 39 AÑOS
03/02/2011;DE 15:00 A 15:59;JUEVES;PUENTE DE VALLECAS            ;AVENIDA DE LA ALBUFERA NUM                                                                          ;144;2011/1064;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
06/02/2011;DE 12:00 A 12:59;DOMINGO;CARABANCHEL                   ;AVENIDA DE LOS POBLADOS NUM                                                                         ;135;2011/1215;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 18 A 20 AÑOS
06/02/2011;DE 20:00 A 20:59;DOMINGO;RETIRO                        ;PASEO DEL ESTANQUE                                                                                  ;0;2011/1204;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 30 A 34 ANOS
