FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
02/01/2013;DE 12:00 A 12:59;MIERCOLES;VILLAVERDE                    ;CARRETERA DE CARABANCHEL A VILLAVERDE - CALLE DE VILLALONSO                                         ;0;2013/31;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 70 A 74 AÑOS
03/01/2013;DE 17:00 A 17:59;JUEVES;LATINA                        ;CALLE DE CAMARENA NUM                                                                               ;164;2013/114;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 15 A 17 AÑOS
04/01/2013;DE 11:00 A 11:59;VIERNES;CHAMARTIN                     ;PASEO DE LA CASTELLANA NUM                                                                          ;214;2013/141;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CHOQUE CON OBJETO FIJO                  ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 30 A 34 ANOS
04/01/2013;DE 12:00 A 12:59;VIERNES;USERA                         ;AVENIDA DE LOS POBLADOS - AVENIDA DE LA PRINCESA JUANA DE AUSTRIA                                   ;0;2013/258;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 65 A 69 AÑOS
05/01/2013;DE 10:00 A 10:59;SABADO;USERA                         ;AVENIDA DE RAFAELA YBARRA - CALLE DE TOLOSA                                                         ;0;2013/261;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
08/01/2013;DE 11:00 A 11:59;MARTES;VILLA DE VALLECAS             ;CALLE DE LUIS I NUM                                                                                 ;60;2013/221;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
10/01/2013;DE 8:00 A 8:59;JUEVES;CIUDAD LINEAL                 ;CALLE DE SANTA PRISCA NUM                                                                           ;5;2013/298;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 35 A 39 AÑOS
10/01/2013;DE 9:00 A 9:59;JUEVES;SALAMANCA                     ;CALLE DE DIEGO DE LEON NUM                                                                          ;69;2013/396;NO;NO;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 50 A 54 AÑOS
10/01/2013;DE 13:00 A 13:59;JUEVES;MONCLOA-ARAVACA               ;PARQUE DE LA DEHESA DE LA VILLA                                                                     ;          ;2013/273;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 50 A 54 AÑOS
15/01/2013;DE 19:00 A 19:59;MARTES;RETIRO                        ;AVENIDA DE LA CIUDAD DE BARCELONA NUM                                                               ;1;2013/447;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 30 A 34 ANOS
15/01/2013;DE 23:00 A 23:59;MARTES;RETIRO                        ;PLAZA DE MARIANO DE CAVIA NUM                                                                       ;1;2013/449;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
16/01/2013;DE 18:00 A 18:59;MIERCOLES;CIUDAD LINEAL                 ;CALLE DEL CONDADO DE TREVIÑO NUM                                                                    ;32;2013/531;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
19/01/2013;DE 13:00 A 13:59;SABADO;HORTALEZA                     ;AVENIDA DE NICETO ALCALA ZAMORA - CALLE DE ANA DE AUSTRIA                                           ;0;2013/687;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 30 A 34 ANOS
23/01/2013;DE 17:00 A 17:59;MIERCOLES;CIUDAD LINEAL                 ;AVENIDA DEL MARQUES DE CORBERA - AUTOVIA  M-30 CALZADA 2                                            ;0;2013/800;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
24/01/2013;DE 8:00 A 8:59;JUEVES;ARGANZUELA                    ;PASEO DE LA CHOPERA NUM                                                                             ;39;2013/775;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
25/01/2013;DE 10:00 A 10:59;VIERNES;CENTRO                        ;CALLE DE BASTERO NUM                                                                                ;10;2013/924;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
26/01/2013;DE 14:00 A 14:59;SABADO;CHAMARTIN                     ;CALLE DE LOS CAIDOS DE LA DIVISION AZUL NUM                                                         ;1;2013/891;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 50 A 54 AÑOS
27/01/2013;DE 15:00 A 15:59;DOMINGO;LATINA                        ;GLORIETA DEL PUENTE DE SEGOVIA NUM                                                                  ;1;2013/1063;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
30/01/2013;DE 15:00 A 15:59;MIERCOLES;TETUAN                        ;PASEO DE LA DIRECCION NUM                                                                           ;338;2013/1368;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
31/01/2013;DE 8:00 A 8:59;JUEVES;CIUDAD LINEAL                 ;CALLE DE LOS HERMANOS DE PABLO - CALLE DE LA VIRGEN DEL PORTILLO                                    ;0;2013/971;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
31/01/2013;DE 8:00 A 8:59;JUEVES;SALAMANCA                     ;CALLE DE SERRANO - CALLE DE GOYA                                                                    ;0;2013/1011;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 21 A 24 AÑOS
31/01/2013;DE 22:00 A 22:59;JUEVES;CENTRO                        ;PASEO DEL PRADO NUM                                                                                 ;40;2013/1003;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 21 A 24 AÑOS
01/02/2013;DE 18:00 A 18:59;VIERNES;SAN BLAS                      ;PLAZA DE GRECIA - AVENIDA DE ARCENTALES                                                             ;0;2013/2003;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
03/02/2013;DE 14:00 A 14:59;DOMINGO;SAN BLAS                      ;CALLE DE SUECIA - CALLE DE MARSELLA                                                                 ;0;2013/1181;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 35 A 39 AÑOS
03/02/2013;DE 15:00 A 15:59;DOMINGO;SAN BLAS                      ;CALLE DE SAMANIEGO NUM                                                                              ;2;2013/1125;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
03/02/2013;DE 18:00 A 18:59;DOMINGO;CHAMBERI                      ;PASEO DE SAN FRANCISCO DE SALES NUM                                                                 ;44;2013/1119;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
04/02/2013;DE 12:00 A 12:59;LUNES;RETIRO                        ;PASEO DEL PRADO - CALLE DE CLAUDIO MOYANO                                                           ;0;2013/1112;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 35 A 39 AÑOS
04/02/2013;DE 15:00 A 15:59;LUNES;CARABANCHEL                   ;CALLE  VIA LUSITANA NUM                                                                             ;1;2013/1131;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
05/02/2013;DE 11:00 A 11:59;MARTES;CARABANCHEL                   ;AVENIDA DE LOS POBLADOS - AVENIDA DE LA PRINCESA JUANA DE AUSTRIA                                   ;0;2013/1174;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
05/02/2013;DE 17:00 A 17:59;MARTES;VILLAVERDE                    ;AVENIDA DE LOS ROSALES - CALLE DE MIGUEL SOLAS                                                      ;0;2013/1165;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
