FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;* Nº VICTIMAS;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
15/02/2018;DE 20:00 A 20:59;JUEVES;SAN BLAS                      ;CALLE DE ALBASANZ NUM                                                                               ;71;2018/1827;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
16/02/2018;DE 9:00 A 9:59;VIERNES;CENTRO                        ;PLAZA DE LA PUERTA DEL SOL NUM                                                                      ;1;2018/1908;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
18/02/2018;DE 3:00 A 3:59;DOMINGO;CARABANCHEL                   ;CALLE DE LA VIA NUM                                                                                 ;48;2018/1867;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
18/02/2018;DE 12:00 A 12:59;DOMINGO;VILLA DE VALLECAS             ;AVENIDA DEL MAYORAZGO - CALLE DE VILLAMANTA                                                         ;0;2018/1948;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 60 A 64 AÑOS
19/02/2018;DE 13:00 A 13:59;LUNES;HORTALEZA                     ;CALLE DE ARTURO SORIA - CAMINO DE LA HUERTA                                                         ;0;2018/1943;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
21/02/2018;DE 9:00 A 9:59;MIERCOLES;TETUAN                        ;CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE - PASEO DE LA CASTELLANA                                     ;0;2018/2279;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
21/02/2018;DE 18:00 A 18:59;MIERCOLES;CIUDAD LINEAL                 ;CALLE DE ASCAO NUM                                                                                  ;45;2018/2011;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CHOQUE CON OBJETO FIJO                  ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
22/02/2018;DE 7:00 A 7:59;JUEVES;RETIRO                        ;CALLE DE MAIQUEZ - CALLE DEL ALCALDE SAINZ DE BARANDA                                               ;0;2018/2054;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
22/02/2018;DE 13:00 A 13:59;JUEVES;FUENCARRAL-EL PARDO           ;CARRETERA DE FUENCARRAL A ALCOBENDAS KM.                                                            ;1200;2018/2058;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
22/02/2018;DE 14:00 A 14:59;JUEVES;PUENTE DE VALLECAS            ;AVENIDA DE BUENOS AIRES - AVENIDA DE MIGUEL HERNANDEZ                                               ;0;2018/2179;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
23/02/2018;DE 12:00 A 12:59;VIERNES;USERA                         ;CALLE DE DOLORES BARRANCO - CALLE DEL OLVIDO                                                        ;0;2018/2252;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
23/02/2018;DE 13:00 A 13:59;VIERNES;CENTRO                        ;CALLE DE LA BENEFICENCIA NUM                                                                        ;8;2018/2371;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DESCONOCIDA
24/02/2018;DE 14:00 A 14:59;SABADO;CHAMARTIN                     ;CALLE DEL PADRE DAMIAN NUM                                                                          ;5;2018/2258;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
24/02/2018;DE 20:00 A 20:59;SABADO;PUENTE DE VALLECAS            ;CALLE DE BENJAMIN PALENCIA NUM                                                                      ;18;2018/2189;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 55 A 59 AÑOS
25/02/2018;DE 10:00 A 10:59;DOMINGO;LATINA                        ;PARQUE DE LA CASA DE CAMPO                                                                          ;0;2018/2156;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
25/02/2018;DE 12:00 A 12:59;DOMINGO;SAN BLAS                      ;AVENIDA DE CANILLEJAS A VICALVARO NUM                                                               ;1;2018/2142;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 45 A 49 AÑOS
25/02/2018;DE 23:00 A 23:59;DOMINGO;SALAMANCA                     ;CALLE DE ALCALA - CALLE DE VELAZQUEZ                                                                ;0;2018/2313;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
26/02/2018;DE 19:00 A 19:59;LUNES;CHAMBERI                      ;CALLE DE ALONSO CANO - CALLE DE CRISTOBAL BORDIU                                                    ;0;2018/2226;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
26/02/2018;DE 21:00 A 21:59;LUNES;RETIRO                        ;CALLE DEL DOCTOR VELASCO NUM                                                                        ;4;2018/2216;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
