FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;* Nº VICTIMAS;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
02/02/2018;DE 13:00 A 13:59;VIERNES;CHAMBERI                      ;GLORIETA DE CUATRO CAMINOS NUM                                                                      ;1;2018/1300;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
02/02/2018;DE 19:00 A 19:59;VIERNES;SALAMANCA                     ;CALLE DE VILLANUEVA NUM                                                                             ;2;2018/1341;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
02/02/2018;DE 20:00 A 20:59;VIERNES;CHAMBERI                      ;CALLE DE ELOY GONZALO - GLORIETA DE QUEVEDO                                                         ;0;2018/1306;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
04/02/2018;DE 5:00 A 5:59;DOMINGO;SALAMANCA                     ;CALLE DE VELAZQUEZ NUM                                                                              ;30;2018/1346;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
05/02/2018;DE 17:00 A 17:59;LUNES;RETIRO                        ;AVENIDA DE LA ALBUFERA - AVENIDA DE LA CIUDAD DE BARCELONA                                          ;0;2018/1383;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
06/02/2018;DE 9:00 A 9:59;MARTES;SALAMANCA                     ;CALLE DE ALCALA - CALLE DE O'DONNELL                                                                ;0;2018/1460;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 30 A 34 ANOS
06/02/2018;DE 12:00 A 12:59;MARTES;CHAMBERI                      ;CALLE DE ALMAGRO NUM                                                                                ;22;2018/1459;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
06/02/2018;DE 17:00 A 17:59;MARTES;CIUDAD LINEAL                 ;CALLE DE GARCIA QUINTANILLA - CALLE DEL GENERAL ARANAZ                                              ;0;2018/1475;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 30 A 34 ANOS
07/02/2018;DE 19:00 A 19:59;MIERCOLES;CENTRO                        ;PASEO DEL PRADO - PLAZA DE CANOVAS DEL CASTILLO                                                     ;0;2018/1522;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
08/02/2018;DE 18:00 A 18:59;JUEVES;SALAMANCA                     ;PASEO DE LA CASTELLANA NUM                                                                          ;48;2018/1524;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
08/02/2018;DE 19:00 A 19:59;JUEVES;CENTRO                        ;CALLE  GRAN VIA NUM                                                                                 ;32;2018/1621;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
09/02/2018;DE 12:00 A 12:59;VIERNES;SALAMANCA                     ;CALLE DE VELAZQUEZ NUM                                                                              ;28;2018/1607;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
10/02/2018;DE 19:00 A 19:59;SABADO;CENTRO                        ;CALLE DE ARGUMOSA NUM                                                                               ;28;2018/1658;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
12/02/2018;DE 13:00 A 13:59;LUNES;CENTRO                        ;CALLE  GRAN VIA NUM                                                                                 ;37;2018/1995;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
13/02/2018;DE 8:00 A 8:59;MARTES;CHAMBERI                      ;CALLE DE JOSE ABASCAL - CALLE DE SANTA ENGRACIA                                                     ;0;2018/1712;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 25 A 29 AÑOS
14/02/2018;DE 2:00 A 2:59;MIERCOLES;RETIRO                        ;CALLE DE O'DONNELL - CALLE DEL DOCTOR ESQUERDO                                                      ;0;2018/1730;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
14/02/2018;DE 18:00 A 18:59;MIERCOLES;CHAMBERI                      ;CALLE DE BRAVO MURILLO NUM                                                                          ;9;2018/1798;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
14/02/2018;DE 21:00 A 21:59;MIERCOLES;SALAMANCA                     ;CALLE DE GOYA - PASEO DE LA CASTELLANA                                                              ;0;2018/1785;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 21 A 24 AÑOS
15/02/2018;DE 4:00 A 4:59;JUEVES;RETIRO                        ;CALLE DE ALFONSO XII NUM                                                                            ;68;2018/1774;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
15/02/2018;DE 18:00 A 18:59;JUEVES;MONCLOA-ARAVACA               ;CALLE DE FERRAZ NUM                                                                                 ;5;2018/1832;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
