FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
08/01/2014;DE 17:00 A 17:59;MIERCOLES;USERA                         ;CALLE DEL ANGELUS NUM                                                                               ;3;2014/334;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
09/01/2014;DE 7:00 A 7:59;JUEVES;LATINA                        ;AVENIDA DE LOS POBLADOS NUM                                                                         ;66;2014/290;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
09/01/2014;DE 10:00 A 10:59;JUEVES;SAN BLAS                      ;CALLE DE EMILIO MUÑOZ NUM                                                                           ;21;2014/251;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 30 A 34 ANOS
11/01/2014;DE 18:00 A 18:59;SABADO;CIUDAD LINEAL                 ;CALLE DE LOS HERMANOS GARCIA NOBLEJAS - CALLE DE MALMOE                                             ;          ;2014/370;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
13/01/2014;DE 19:00 A 19:59;LUNES;CENTRO                        ;CALLE  GRAN VIA NUM                                                                                 ;54;2014/390;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN MÚLTIPLE                       ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
14/01/2014;DE 12:00 A 12:59;MARTES;CARABANCHEL                   ;CALLE DE ERVIGIO - CALLE DEL SOLDADO JOSE MARIA REY                                                 ;0;2014/458;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
14/01/2014;DE 19:00 A 19:59;MARTES;MONCLOA-ARAVACA               ;CALLE DEL MARQUES DE URQUIJO - PASEO DEL PINTOR ROSALES                                             ;0;2014/426;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
14/01/2014;DE 20:00 A 20:59;MARTES;CARABANCHEL                   ;CALLE DE ANTONIO DE LEYVA NUM                                                                       ;23;2014/517;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
14/01/2014;DE 20:00 A 20:59;MARTES;SAN BLAS                      ;CALLE DE MEQUINENZA NUM                                                                             ;10;2014/507;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 35 A 39 AÑOS
16/01/2014;DE 00:00 A 00:59;JUEVES;CENTRO                        ;PLAZA DE ESPAÑA NUM                                                                                 ;7;2014/521;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
