CODIGO;NOMBRE;INSTITUCION;DIRECCION;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;COMUNIDAD_AUTONOMA;PAIS;TRANSPORTE;AÑO_FUNDACION;HORARIO;TIPO_ACCESO;NOTAS_ACCESO;TIPO_BIBLIOTECA;TIPO_DEPENDENCIA;PRESTAMO_INTERBIBLIOTECARIO;CATALOGOS_IMPRESOS;OBSERVACIONES
X41000101;Instituto Cervantes. Biblioteca (Londres, Reino Unido);Instituto Cervantes;15-19 Devereux Court;WC2R 3JJ;Londres;;;Reino Unido;;;;Acceso libre;;Especializada;Administración pública central
X64000201;Instituto Cervantes. Biblioteca (Fez, Marruecos);Instituto Cervantes;5 Rue Douiat. Résidence Walili;30 000;Fez;;;Marruecos;;;;Acceso libre;;Especializada;Administración pública central
X64000301;Instituto Cervantes. Biblioteca (Rabat, Marruecos);Instituto Cervantes;5 Rue Zankat Madnine;10000;Rabat;;;Marruecos;;1965;Martes-viernes de 8'30-13 y de 15-17'30, Sábados de 9-13;Acceso restringido;con carnet de la biblioteca;Especializada;Administración pública central
X64000401;Instituto Cervantes. Biblioteca (Tánger, Marruecos);Instituto Cervantes;Av. Sidi Mohamed Ben Abdellah 99;90010;Tánger;;;Marruecos;;;;Acceso libre;;Especializada;Administración pública central
X64000501;Instituto Cervantes. Biblioteca (Tetuán, Marruecos);Instituto Cervantes;Mohamed Torres 3;93000;Tetuán;;;Marruecos;;;;Acceso libre;;Especializada;Administración pública central
X65000101;Instituto Cervantes. Biblioteca (Argel, Argelia);Instituto Cervantes;9 Rue Rhelifa Boukhalfa;16000;Argel;;;Argelia;;;;Acceso libre;;Especializada;Administración pública central
X74700101;Instituto Cervantes. Biblioteca (Nueva York, Estados Unidos);Instituto Cervantes;211 East 49th Street;NY 10017;Nueva York;;;Estados Unidos;;1994;Martes-jueves de 12-19'30, Viernes de 12-17'30, Sábados de 9'45-13'45;Acceso libre;;Especializada;Administración pública central
010010078;Biblioteca Pública Municipal Ernestina de Chapourcin (Alegria-Dulantzi, Álava);Ayuntamiento de Alegria-Dulantzi;Herriko Enparantza 2;01240;Alegría-Dulantzi;Álava;País Vasco;España;;2005;Lunes-viernes de 16'30-20'30, sábados de 11-13'30;Acceso libre;;General/Pública;Administración local municipal
010010157;Colegio Público Dulantzi (Alegría-Dulantzi, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Ntra. Sra. de Aiala s/n;01240;Alegría-Dulantzi;Álava;País Vasco;España;;1985;Lunes-viernes de 9'30-17'30;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010020042;Biblioteca Pública Municipal (Amurrio, Álava);Ayuntamiento de Amurrio;Aldai 1;01470;Amurrio;Álava;País Vasco;España;;1958;Lunes-viernes de 10-15 y de 17-21, sábados de 10-13;Acceso libre;;General/Pública;Administración local municipal
010020158;Colegio Público Zabaleko (Amurrio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;San José Artesano s/n;01470;Amurrio;Álava;País Vasco;España;;1957;;Acceso restringido;para alumnos y profesores;Escolar;Administración autonómica
010020159;Colegio Público Lucas Rey Matías Landaburu (Amurrio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Lucas Rey 15;01470;Amurrio;Álava;País Vasco;España;;1936;Lunes-jueves de 10-13'30;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010020238;Instituto de Educación Secundaria. IES Zaraobe (Amurrio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Etxebarriaur 8;01470;Amurrio;Álava;País Vasco;España;;1953;Lunes-miércoles de 12'40-14'30;Acceso restringido;para alumnos;Escolar;Administración autonómica
010030011;Biblioteca Pública Municipal (Aramaio, Álava);Ayuntamiento de Aramaio;Nardeaga 36;01160;Aramaio;Álava;País Vasco;España;;1962;;Acceso libre;;General/Pública;Administración local municipal
010040012;Biblioteca Pública Municipal (Artziniega, Álava);Ayuntamiento de Artziniega;Cantón de la Iglesia;01474;Artziniega;Álava;País Vasco;España;;1975;Lunes-viernes de 18-20'30;Acceso libre;;General/Pública;Administración local municipal
