FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
04/12/2012;DE 16:00 A 16:59;MARTES;SALAMANCA                     ;CALLE DE ALCALA NUM                                                                                 ;178;2012/11002;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 35 A 39 AÑOS
05/12/2012;DE 12:00 A 12:59;MIERCOLES;CIUDAD LINEAL                 ;CALLE DE ALCALA NUM                                                                                 ;281;2012/10987;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
05/12/2012;DE 13:00 A 13:59;MIERCOLES;SAN BLAS                      ;CARRETERA DE ACCESO A LA ESTACION DE O'DONNELL - CALLE DE POLIMNIA                                  ;0;2012/11255;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
08/12/2012;DE 13:00 A 13:59;SABADO;HORTALEZA                     ;CALLE DE SANTA SUSANA NUM                                                                           ;55;2012/11176;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
09/12/2012;DE 13:00 A 13:59;DOMINGO;HORTALEZA                     ;AVENIDA DEL ALCALDE CONDE DE MAYALDE NUM                                                            ;23;2012/11184;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 40 A 44 AÑOS
10/12/2012;DE 15:00 A 15:59;LUNES;MONCLOA-ARAVACA               ;AVENIDA  COMPLUTENSE NUM                                                                            ;22;2012/11199;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 21 A 24 AÑOS
10/12/2012;DE 18:00 A 18:59;LUNES;LATINA                        ;PARQUE DE MADRID RIO (RIBERA OESTE) KM.                                                             ;2200;2012/11202;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
13/12/2012;DE 10:00 A 10:59;JUEVES;MONCLOA-ARAVACA               ;PASEO  AZUL - PASEO DEL EMBARCADERO                                                                 ;0;2012/11350;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
15/12/2012;DE 11:00 A 11:59;SABADO;HORTALEZA                     ;CALLE DE FRANCISCO MOREJON NUM                                                                      ;1;2012/11418;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
15/12/2012;DE 11:00 A 11:59;SABADO;HORTALEZA                     ;CALLE DE FRANCISCO MOREJON NUM                                                                      ;1;2012/11418;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
