FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
03/01/2015;DE 18:00 A 18:59;SABADO;CENTRO                        ;CALLE DE BARBARA DE BRAGANZA - CALLE DEL MARQUES DE LA ENSENADA                                     ;0;2015/162;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
04/01/2015;DE 4:00 A 4:59;DOMINGO;RETIRO                        ;CALLE DEL ALCALDE SAINZ DE BARANDA NUM                                                              ;57;2015/77;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
04/01/2015;DE 12:00 A 12:59;DOMINGO;FUENCARRAL-EL PARDO           ;CARRETERA DE ALCOBENDAS KM.                                                                         ;4600;2015/91;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 55 A 59 AÑOS
04/01/2015;DE 12:00 A 12:59;DOMINGO;PUENTE DE VALLECAS            ;CALLE DE PICO CLAVERO NUM                                                                           ;8;2015/662;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
05/01/2015;DE 11:00 A 11:59;LUNES;CARABANCHEL                   ;CALLE DEL GENERAL RICARDOS NUM                                                                      ;168;2015/222;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 50 A 54 AÑOS
05/01/2015;DE 20:00 A 20:59;LUNES;CHAMBERI                      ;CALLE DE ANDRES MELLADO NUM                                                                         ;102;2015/133;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
06/01/2015;DE 11:00 A 11:59;MARTES;HORTALEZA                     ;CALLE DE BACARES - CALLE DE PURCHENA                                                                ;0;2015/180;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
06/01/2015;DE 12:00 A 12:59;MARTES;CARABANCHEL                   ;AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS                                   ;0;2015/224;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
09/01/2015;DE 16:00 A 16:59;VIERNES;LATINA                        ;CALLE DE SAAVEDRA FAJARDO NUM                                                                       ;30;2015/259;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
10/01/2015;DE 12:00 A 12:59;SABADO;FUENCARRAL-EL PARDO           ;CALLE DE ISABEL COLBRAND - CALLE DE PALAS DE REY                                                    ;0;2015/256;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 6 A 9 AÑOS 
10/01/2015;DE 13:00 A 13:59;SABADO;CHAMBERI                      ;PASEO DE LA CASTELLANA - PLAZA DE SAN JUAN DE LA CRUZ                                               ;          ;2015/271;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 30 A 34 ANOS
11/01/2015;DE 11:00 A 11:59;DOMINGO;CHAMARTIN                     ;CALLE DE JUAN BAUTISTA DE TOLEDO - CALLE DE ZABALETA                                                ;0;2015/304;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
12/01/2015;DE 11:00 A 11:59;LUNES;TETUAN                        ;CALLE DE JOAQUIN DICENTA NUM                                                                        ;22;2015/431;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
12/01/2015;DE 21:00 A 21:59;LUNES;FUENCARRAL-EL PARDO           ;CALLE DE FERMIN CABALLERO - CALLE DE GINZO DE LIMIA                                                 ;0;2015/392;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
13/01/2015;DE 9:00 A 9:59;MARTES;RETIRO                        ;CALLE DEL ALCALDE SAINZ DE BARANDA - CALLE DEL DOCTOR ESQUERDO                                      ;0;2015/333;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 40 A 44 AÑOS
13/01/2015;DE 14:00 A 14:59;MARTES;CENTRO                        ;CALLE DE LA INDEPENDENCIA - CALLE DEL ESPEJO                                                        ;0;2015/380;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 25 A 29 AÑOS
13/01/2015;DE 20:00 A 20:59;MARTES;ARGANZUELA                    ;CALLE DE SAN ISIDORO DE SEVILLA - PASEO DE LOS OLMOS                                                ;0;2015/349;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN MÚLTIPLE                       ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
13/01/2015;DE 22:00 A 22:59;MARTES;SALAMANCA                     ;CALLE DE ALCALA - PLAZA DE LA INDEPENDENCIA                                                         ;0;2015/354;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
14/01/2015;DE 21:00 A 21:59;MIERCOLES;USERA                         ;CALLE  GRAN AVENIDA NUM                                                                             ;2;2015/617;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
14/01/2015;DE 22:00 A 22:59;MIERCOLES;CARABANCHEL                   ;CALLE DEL GENERAL RICARDOS NUM                                                                      ;7;2015/387;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
16/01/2015;DE 12:00 A 12:59;VIERNES;USERA                         ;CALLE DEL DOCTOR TOLOSA LATOUR NUM                                                                  ;17;2015/423;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 40 A 44 AÑOS
16/01/2015;DE 15:00 A 15:59;VIERNES;CENTRO                        ;CALLE  GRAN VIA - CALLE DE SAN BERNARDO                                                             ;0;2015/432;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 35 A 39 AÑOS
16/01/2015;DE 19:00 A 19:59;VIERNES;RETIRO                        ;CALLE DE ALFONSO XII NUM                                                                            ;44;2015/443;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 35 A 39 AÑOS
16/01/2015;DE 21:00 A 21:59;VIERNES;TETUAN                        ;CALLE DE HERNANI NUM                                                                                ;16;2015/489;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 25 A 29 AÑOS
18/01/2015;DE 12:00 A 12:59;DOMINGO;BARAJAS                       ;CAMINO DEL MONTE                                                                                    ;0;2015/479;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
18/01/2015;DE 13:00 A 13:59;DOMINGO;CENTRO                        ;CALLE DE LA MONTERA NUM                                                                             ;16;2015/556;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
19/01/2015;DE 18:00 A 18:59;LUNES;FUENCARRAL-EL PARDO           ;PASEO DE LA VAGUADA NUM                                                                             ;1;2015/576;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
20/01/2015;DE 15:00 A 15:59;MARTES;RETIRO                        ;CALLE DE TELLEZ - CALLE DEL COMERCIO                                                                ;0;2015/579;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
20/01/2015;DE 20:00 A 20:59;MARTES;MORATALAZ                     ;CALLE DE MARIO CABRE - CALLE DEL PICO DE LOS ARTILLEROS                                             ;0;2015/590;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
21/01/2015;DE 19:00 A 19:59;MIERCOLES;PUENTE DE VALLECAS            ;CALLE DEL ARROYO DEL OLIVAR NUM                                                                     ;16;2015/643;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;MUJER;IL                                      ;DE 18 A 20 AÑOS
25/01/2015;DE 10:00 A 10:59;DOMINGO;HORTALEZA                     ;AVENIDA DE FRANCISCO JAVIER SÁENZ DE OIZA - GLORIETA DE ANTONIO BONET                               ;0;2015/804;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE MAS DE 74 AÑOS 
25/01/2015;DE 11:00 A 11:59;DOMINGO;PUENTE DE VALLECAS            ;AVENIDA DE MIGUEL HERNANDEZ - CALLE DE LOS LEONESES                                                 ;0;2015/741;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
26/01/2015;DE 21:00 A 21:59;LUNES;CHAMARTIN                     ;CALLE DE ANTONIO PEREZ NUM                                                                          ;13;2015/782;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
27/01/2015;DE 18:00 A 18:59;MARTES;VILLAVERDE                    ;CALLE DE LA LAGUNA DEL MARQUESADO - CALLE DE SAN ERASMO                                             ;0;2015/784;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
28/01/2015;DE 13:00 A 13:59;MIERCOLES;MONCLOA-ARAVACA               ;CALLE DEL ARROYO DE POZUELO - GLORIETA DE SIERRA PARAMERA                                           ;0;2015/827;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 60 A 64 AÑOS
28/01/2015;DE 14:00 A 14:59;MIERCOLES;ARGANZUELA                    ;CALLE DE LA BATALLA DEL SALADO - PASEO DE SANTA MARIA DE LA CABEZA                                  ;0;2015/839;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 21 A 24 AÑOS
30/01/2015;DE 15:00 A 15:59;VIERNES;USERA                         ;AVENIDA DE LOS POBLADOS - CALLE DE GUETARIA                                                         ;0;2015/1013;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 21 A 24 AÑOS
30/01/2015;DE 16:00 A 16:59;VIERNES;CENTRO                        ;CALLE DE SAN ANDRES NUM                                                                             ;12;2015/963;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 25 A 29 AÑOS
31/01/2015;DE 14:00 A 14:59;SABADO;CARABANCHEL                   ;CALLE DE FERNANDO DELGADO - CALLE DE MONSEÑOR OSCAR ROMERO                                          ;0;2015/904;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
01/02/2015;DE 3:00 A 3:59;DOMINGO;RETIRO                        ;AVENIDA DE LA CIUDAD DE BARCELONA NUM                                                               ;108;2015/914;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 30 A 34 ANOS
