Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;Longitud;Latitud;Direccion
439715,2806642660;4475011,9510720700;43434;01  CENTRO;01-05 UNIVERSIDAD;REYES, CALLE, DE LOS;18;Camara Entrada;32 e;40;-3.7106507;40.423556;REYES, CALLE, DE LOS,18
439710,8223309330;4474976,2427387400;43434;01  CENTRO;01-01 PALACIO;GRAN VIA, CALLE;73;Camara Entrada;33.1 e;41;-3.7106999;40.423234;GRAN VIA, CALLE,73
439712,7389975990;4474978,8260720700;43434;01  CENTRO;01-01 PALACIO;GRAN VIA, CALLE;73;Camara Entrada;33.2 e;42;-3.7106775;40.4232575;GRAN VIA, CALLE,73
439679,6556642660;4474965,7427387400;43434;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;Camara Entrada;34 e;43;-3.7110662;40.4231372;LEGANITOS, CALLE, DE,47
439539,5723309330;4474664,7427387400;43434;01  CENTRO;01-01 PALACIO;MARINA ESPAÑOLA, PLAZA, DE LA;8;Camara Entrada;35 e;44;-3.7126888;40.4204155;MARINA ESPAÑOLA, PLAZA, DE LA,8
439563,3223309330;4474563,2427387400;43434;01  CENTRO;01-01 PALACIO;SAN QUINTIN, CALLE, DE;6;Camara Entrada;36 e;45;-3.7123993;40.4195028;SAN QUINTIN, CALLE, DE,6
439525,7806642660;4474298,5760720700;43434;01  CENTRO;01-01 PALACIO;REQUENA, CALLE, DE;7;Camara Entrada;37 e;46;-3.7128166;40.4171159;REQUENA, CALLE, DE,7
439579,2389975990;4474085,4094054000;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;77;Camara Entrada;38.1 e;47;-3.7121662;40.4151995;MAYOR, CALLE,77
439577,8223309330;4474085,0760720700;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;77;Camara Entrada;38.2;48;-3.7121829;40.4151964;MAYOR, CALLE,77
439188,4889975990;4473936,4927387400;43439;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;39;Camara Entrada;39 e;49;-3.7167573;40.4138295;SEGOVIA, CALLE, DE,39
439451,2806642660;4473837,0760720700;43434;01  CENTRO;01-01 PALACIO;ANGOSTA DE LOS MANCEBOS, CALLE;8;Camara Entrada;40 e;50;-3.7136507;40.4129531;ANGOSTA DE LOS MANCEBOS, CALLE,8
439432,9889975990;4473843,3260720700;43439;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;10;Camara Entrada;41 e;51;-3.7138669;40.4130081;MORERIA, CALLE, DE LA,10
439426,4056642660;4473769,4927387400;43434;01  CENTRO;01-01 PALACIO;YESEROS, CALLE, DE LOS;3;Camara Entrada;42 e;52;-3.7139374;40.4123424;YESEROS, CALLE, DE LOS,3
439444,2806642660;4473711,0760720700;43434;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;16;Camara Entrada;43.1 e;53;-3.7137212;40.4118175;DON PEDRO, CALLE, DE,16
439442,3223309330;4473711,2427387400;43480;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;16;Camara Entrada;43.2 e;54;-3.7137443;40.4118188;DON PEDRO, CALLE, DE,16
439389,9056642660;4473598,9927387400;43435;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;1;Camara Entrada;44 e;55;-3.7143513;40.4108038;SAN BUENAVENTURA, CALLE, DE,1
439449,5723309330;4473576,4927387400;43434;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;15;Camara Entrada;45 e;56;-3.7136461;40.4106055;SAN FRANCISCO, CARRERA, DE,15
439455,6556642660;4473549,3260720700;43435;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;42;Camara Entrada;46 e;57;-3.7135717;40.4103612;CALATRAVA, CALLE, DE,42
439432,8223309330;4473475,6594054000;43437;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;5;Camara Entrada;47 e;58;-3.7138339;40.4096959;ROSARIO, CALLE, DEL,5
439510,6556642660;4473383,4510720700;43434;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;25;Camara Entrada;48 e;59;-3.7129078;40.4088709;AGUILA, CALLE, DEL,25
439472,2806642660;4473350,3260720700;43434;01  CENTRO;01-01 PALACIO;VENTOSA, CALLE, DE LA;S/N;Camara Entrada;49 e;60;-3.7133569;40.4085698;VENTOSA, CALLE, DE LA,S/N
439657,9612198220;4473262,7982942900;43434;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;104;Camara Salida;50 s;61;-3.7111604;40.4077947;TOLEDO, CALLE, DE,104
439812,0347014720;4473121,5712077000;43434;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;6;Camara Salida;51 s;62;-3.7093314;40.4065336;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL,6
439992,9056642660;4473079,6594054000;43480;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N;Camara Salida;52.1 s;63;-3.7071959;40.4061691;RIBERA DE CURTIDORES, CALLE, DE LA,S/N
439995,7978288620;4473079,5135597500;43434;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N;Camara Salida;52.2 s;64;-3.7071618;40.406168;RIBERA DE CURTIDORES, CALLE, DE LA,S/N
439998,4056642660;4473080,4927387400;43480;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N;Camara Salida;52.3 s;65;-3.7071312;40.406177;RIBERA DE CURTIDORES, CALLE, DE LA,S/N
440421,3514988780;4473007,8940088800;43434;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;25;Camara Salida;53 s;66;-3.7021403;40.4055534;MIGUEL SERVET, CALLE, DE,25
440504,7609423590;4473030,1772828200;43441;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;85;Camara Salida;54 s;67;-3.7011594;40.4057601;MESON DE PAREDES, CALLE, DEL,85
440577,4056642660;4473064,4927387400;43434;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;100;Camara Salida;55 s;68;-3.7003065;40.4060744;AMPARO, CALLE, DE,100
440780,4889975990;4473140,4094054000;43434;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;6;Camara Salida;56 s;69;-3.6979204;40.4067728;MALLORCA, CALLE, DE,6
440950,2806642660;4473200,5760720700;43434;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;43;Camara Salida;57 s;70;-3.6959251;40.4073269;ARGUMOSA, CALLE, DE,43
441224,6556642660;4473418,9510720700;43434;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;120;Camara Salida;58.1 s;71;-3.6927118;40.4093135;ATOCHA, CALLE, DE,120
441226,6556642660;4473421,4510720700;43434;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;120;Camara Salida;58.2 s;72;-3.6926885;40.4093362;ATOCHA, CALLE, DE,120
441178,9056642660;4473589,8260720700;43434;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;Camara Salida;59 s;73;-3.6932668;40.4108496;ALMADEN, CALLE, DE,28
441160,9889975990;4473653,9927387400;43434;01  CENTRO;01-03 CORTES;GOBERNADOR, CALLE, DEL;32;Camara Salida;60 s;74;-3.6934839;40.4114264;GOBERNADOR, CALLE, DEL,32
441036,7389975990;4474021,8260720700;43434;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;44;Camara Salida;61 s;75;-3.6949823;40.4147312;CERVANTES, CALLE, DE,44
441019,9889975990;4474106,2427387400;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Camara Salida;62.1 s;76;-3.6951876;40.4154905;CORTES, PLAZA, DE LAS,6
441020,9889975990;4474109,5760720700;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Camara Salida;62.2 s;77;-3.6951761;40.4155206;CORTES, PLAZA, DE LAS,6
441095,4056642660;4474504,4094054000;43434;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;S/N;Camara Salida;63.1 s;78;-3.6943355;40.4190827;ALCALA, CALLE, DE,S/N
441094,6556642660;4474507,4094054000;43434;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;S/N;Camara Salida;63.2 s;79;-3.6943446;40.4191097;ALCALA, CALLE, DE,S/N
441093,8223309330;4474510,2427387400;43435;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;51;Camara Salida;63.3 s;80;-3.6943548;40.4191351;ALCALA, CALLE, DE,51
441093,2389975990;4474512,7427387400;43480;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;51;Camara Salida;63.4 s;81;-3.6943619;40.4191576;ALCALA, CALLE, DE,51
441254,0723309330;4474881,9094054000;43434;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;29;Camara Salida;64 s;82;-3.6925003;40.4224946;ALMIRANTE, CALLE, DEL,29
441273,9612198220;4474977,7982942900;43434;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;14;Camara Salida;65 s;83;-3.6922747;40.4233599;BARBARA DE BRAGANZA, CALLE, DE,14
441160,5306642660;4475292,7010720700;43434;01  CENTRO;01-04 JUSTICIA;GENERAL CASTAÑOS, CALLE, DEL;15;Camara Salida;66 s;84;-3.6936409;40.4261886;GENERAL CASTAÑOS, CALLE, DEL,15
441036,5051724010;4475365,4024057800;43441;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;17;Camara Salida;67 s;85;-3.6951096;40.4268348;CAMPOAMOR, CALLE, DE,17
440937,2945531550;4475407,4094054000;43434;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3;Camara Salida;68.1 s;86;-3.6962831;40.4272062;SANTA BARBARA, PLAZA, DE,3
440934,4056642660;4475409,1871831800;43434;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3;Camara Salida;68.2 s;87;-3.6963172;40.427222;SANTA BARBARA, PLAZA, DE,3
440852,8501087110;4475450,0205165200;43434;01  CENTRO;01-04 JUSTICIA;HERMANOS ALVAREZ QUINTERO, CALLE, DE LOS;6;Camara Salida;69 s;88;-3.6972824;40.427584;HERMANOS ALVAREZ QUINTERO, CALLE, DE LOS,6
440682,8501087110;4475498,3538498500;43434;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;21;Camara Salida;70.1 s;89;-3.6992909;40.4280073;MEJIA LEQUERICA, CALLE, DE,21
440679,7389975990;4475498,5760720700;43438;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;21;Camara Salida;70.2 s;90;-3.6993276;40.4280091;MEJIA LEQUERICA, CALLE, DE,21
440511,6556642660;4475548,8260720700;43439;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;25;Camara Salida;71 s;91;-3.7013137;40.4284498;CHURRUCA, CALLE, DE,25
440423,5723309330;4475563,8260720700;43434;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;1;Camara Salida;72 s;92;-3.7023535;40.4285786;MANUELA MALASAÑA, CALLE, DE,1
440346,3223309330;4475604,3260720700;43434;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;44;Camara Salida;73 s;93;-3.703268;40.4289379;SAN ANDRES, CALLE, DE,44
440214,4889975990;4475620,4094054000;43434;01  CENTRO;01-05 UNIVERSIDAD;MONTELEON, CALLE, DE;19;Camara Salida;74 s;94;-3.7048235;40.4290733;MONTELEON, CALLE, DE,19
440115,1556642660;4475592,4927387400;43480;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;88;Camara Salida;75.1 s;96;-3.7059918;40.4288147;SAN BERNARDO, CALLE, DE,88
440112,2389975990;4475593,6594054000;43434;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;88;Camara Salida;75.2 s;96;-3.7060264;40.428825;SAN BERNARDO, CALLE, DE,88
439848,2389975990;4475647,7427387400;43434;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;44;Camara Salida;76 s;97;-3.7091436;40.4292931;CONDE DUQUE, CALLE, DEL,44
439557,8223309330;4475644,2427387400;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9;Camara Salida;77.1 s;98;-3.7125668;40.4292405;MARTIRES DE ALCALA, CALLE, DE LOS,9
439555,0723309330;4475645,8260720700;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9;Camara Salida;77.2 s;99;-3.7125994;40.4292547;MARTIRES DE ALCALA, CALLE, DE LOS,9
439552,5723309330;4475647,0760720700;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9;Camara Salida;77.3 s;100;-3.712629;40.4292657;MARTIRES DE ALCALA, CALLE, DE LOS,9
439551,5306642660;4475314,9510720700;43434;01  CENTRO;01-05 UNIVERSIDAD;DUQUE DE LIRIA, CALLE, DEL;6;Camara Salida;78 s;101;-3.7126097;40.4262737;DUQUE DE LIRIA, CALLE, DEL,6
439675,6556642660;4475141,7010720700;43434;01  CENTRO;01-05 UNIVERSIDAD;SAN LEONARDO, CALLE, DE;10;Camara Salida;79 s;102;-3.71113;40.424722;SAN LEONARDO, CALLE, DE,10
439746,7389975990;4474958,4927387400;43437;01  CENTRO;01-05 UNIVERSIDAD;GRAN VIA, CALLE;76;Camara Salida;80.1 s;103;-3.7102748;40.4230767;GRAN VIA, CALLE,76
439745,0723309330;4474955,8260720700;43434;01  CENTRO;01-05 UNIVERSIDAD;GRAN VIA, CALLE;76;Camara Salida;80.2 s;104;-3.7102942;40.4230526;GRAN VIA, CALLE,76
439562,7389975990;4474573,8260720700;43434;01  CENTRO;01-01 PALACIO;SAN QUINTIN, CALLE, DE;6;Camara Salida;81 s;105;-3.7124071;40.4195982;SAN QUINTIN, CALLE, DE,6
439523,5306642660;4474299,3260720700;43434;01  CENTRO;01-01 PALACIO;REQUENA, CALLE, DE;7;Camara Salida;82 s;106;-3.7128432;40.4171225;REQUENA, CALLE, DE,7
439515,7806642660;4474081,5760720700;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;86;Camara Salida;83.1 s;107;-3.7129138;40.4151604;MAYOR, CALLE,86
439516,4056642660;4474078,5760720700;43434;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;86;Camara Salida;83.2 s;108;-3.7129061;40.4151334;MAYOR, CALLE,86
439248,9889975990;4473949,7427387400;43439;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;37;Camara Salida;84 s;109;-3.7160456;40.4139532;SEGOVIA, CALLE, DE,37
439471,1556642660;4473850,8260720700;43434;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;11;Camara Salida;85 s;110;-3.7134177;40.4130784;MORERIA, CALLE, DE LA,11
439403,4056642660;4473718,4094054000;43434;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;18;Camara Salida;86 s;111;-3.7142036;40.4118806;DON PEDRO, CALLE, DE,18
439405,1556642660;4473641,0760720700;43434;01  CENTRO;01-01 PALACIO;VISTILLAS, TRAVESIA, DE LAS;2;Camara Salida;87 s;112;-3.7141756;40.4111841;VISTILLAS, TRAVESIA, DE LAS,2
439466,8223309330;4473592,5760720700;43434;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16;Camara Salida;88 s;113;-3.7134443;40.4107517;SAN FRANCISCO, CARRERA, DE,16
439428,4889975990;4473411,9094054000;43434;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;13;Camara Salida;89 s;114;-3.7138788;40.4091213;SAN BERNABE, CALLE, DE,13
439537,4056642660;4473343,9510720700;43434;01  CENTRO;01-01 PALACIO;ISABEL TINTERO, CALLE, DE;2;Camara Salida;90 s;115;-3.7125888;40.408517;ISABEL TINTERO, CALLE, DE,2
