Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;Longitud;Latitud;Direccion
439654,6834420440;4473220,4094054000;43434;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;1;Camara Entrada;1.1 e;1;-3.7111951;40.4074126;CAPITAN SALAZAR MARTINEZ, CALLE, DEL,1
439655,6556642660;4473220,2427387400;43434;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;125;Camara Entrada;1.2 e;2;-3.7111835;40.4074112;TOLEDO, CALLE, DE,125
439795,4257352600;4473105,8387040900;43434;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;S/N;Camara Entrada;2 e;3;-3.7095255;40.4063907;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL,S/N
439924,3457812710;4473071,2311696900;43434;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;5;Camara Entrada;3 e;4;-3.708003;40.4060882;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL,5
440363,6802599980;4473006,7546075000;43434;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;53;Camara Entrada;4 e;5;-3.7028198;40.405539;EMBAJADORES, CALLE, DE,53
440646,3223309330;4473056,0760720700;43434;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;25;Camara Entrada;5 e;6;-3.6994937;40.4060035;VALENCIA, CALLE, DE,25
440951,5306642660;4473204,4510720700;43434;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;43;Camara Entrada;6 e;7;-3.6959107;40.4073618;ARGUMOSA, CALLE, DE,43
441223,2806642660;4473436,2010720700;43434;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;127;Camara Entrada;7.1 e;8;-3.6927297;40.4094688;ATOCHA, CALLE, DE,127
441221,7806642660;4473433,4510720700;43434;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;127;Camara Entrada;7.2 e;9;-3.6927471;40.4094439;ATOCHA, CALLE, DE,127
441147,2389975990;4473784,9094054000;43434;01  CENTRO;01-03 CORTES;PLATERIA DE MARTINEZ, PLAZA, DE LA;1;Camara Entrada;8 e;10;-3.6936581;40.4126048;PLATERIA DE MARTINEZ, PLAZA, DE LA,1
441137,7389975990;4473799,1594054000;43434;01  CENTRO;01-03 CORTES;PLATERIA DE MARTINEZ, PLAZA, DE LA;3;Camara Entrada;9 e;11;-3.6937713;40.4127325;PLATERIA DE MARTINEZ, PLAZA, DE LA,3
441110,3223309330;4473933,1594054000;43434;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;51;Camara Entrada;10 e;12;-3.6941069;40.4139377;LOPE DE VEGA, CALLE, DE,51
441042,5723309330;4474107,9927387400;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Camara Entrada;11.1 e;13;-3.6949216;40.4155078;CORTES, PLAZA, DE LAS,6
441041,2389975990;4474105,3260720700;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Camara Entrada;11.2 e;14;-3.694937;40.4154838;CORTES, PLAZA, DE LAS,6
441067,4889975990;4474240,4927387400;43434;01  CENTRO;01-03 CORTES;ZORRILLA, CALLE, DE;31;Camara Entrada;12 e;15;-3.6946402;40.4167032;ZORRILLA, CALLE, DE,31
441088,8223309330;4474328,2427387400;43434;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;29;Camara Entrada;13 e;16;-3.6943969;40.4174952;LOS MADRAZO, CALLE, DE,29
441102,1556642660;4474525,4094054000;43434;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51;Camara Entrada;14.1 e;17;-3.6942579;40.4192724;ALCALA, CALLE, DE,51
441102,4889975990;4474522,5760720700;43434;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51;Camara Entrada;14.2;18;-3.6942538;40.4192469;ALCALA, CALLE, DE,51
441102,5723309330;4474519,9927387400;43434;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51;Camara Entrada;14.3 e;19;-3.6942526;40.4192236;ALCALA, CALLE, DE,51
441255,2389975990;4474817,4094054000;43434;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;14;Camara Entrada;15 e;20;-3.6924806;40.4219137;PRIM, CALLE, DE,14
441311,1834420440;4474973,9649609600;43434;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;13;Camara Entrada;16 e;21;-3.6918357;40.4233279;BARBARA DE BRAGANZA, CALLE, DE,13
441293,7806642660;4475221,4510720700;43434;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;3;Camara Entrada;17 e;22;-3.6920636;40.4255562;MARQUES DE LA ENSENADA, CALLE, DEL,3
441140,0167753770;4475338,3538498500;43434;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;30;Camara Entrada;18 e;23;-3.6938869;40.4265984;ARGENSOLA, CALLE, DE,30
440931,6834420440;4475411,5205165200;43434;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3;Camara Entrada;19 e;24;-3.6963496;40.4272428;SANTA BARBARA, PLAZA, DE,3
440788,8501087110;4475495,0760720700;43434;01  CENTRO;01-04 JUSTICIA;ANTONIO FLORES, CALLE, DE;6;Camara Entrada;20 e;25;-3.6980411;40.4279854;ANTONIO FLORES, CALLE, DE,6
440668,9056642660;4475529,3538498500;43434;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;23;Camara Entrada;21.1 e;26;-3.6994582;40.4282856;MEJIA LEQUERICA, CALLE, DE,23
440671,7389975990;4475529,7427387400;43434;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;23;Camara Entrada;21.2 e;27;-3.6994248;40.4282893;MEJIA LEQUERICA, CALLE, DE,23
440577,6834420440;4475554,5205165200;43434;01  CENTRO;01-04 JUSTICIA;LARRA, CALLE, DE;23;Camara Entrada;22 e;28;-3.700536;40.4285058;LARRA, CALLE, DE,23
440430,4889975990;4475590,4094054000;43434;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;107;Camara Entrada;23 e;29;-3.7022744;40.4288186;FUENCARRAL, CALLE, DE,107
440308,6556642660;4475620,3260720700;43434;01  CENTRO;01-05 UNIVERSIDAD;RUIZ, CALLE, DE;23;Camara Entrada;24 e;30;-3.7037134;40.4290794;RUIZ, CALLE, DE,23
440120,7389975990;4475636,0760720700;43434;01  CENTRO;01-05 UNIVERSIDAD;RUIZ JIMENEZ, GLORIETA, DE;8;Camara Entrada;25.1 e;31;-3.7059302;40.4292077;RUIZ JIMENEZ, GLORIETA, DE,8
440121,6556642660;4475635,9094054000;43434;01  CENTRO;01-05 UNIVERSIDAD;RUIZ JIMENEZ, GLORIETA, DE;8;Camara Entrada;25.2 e;32;-3.7059193;40.4292063;RUIZ JIMENEZ, GLORIETA, DE,8
439963,4889975990;4475680,9927387400;43434;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;41;Camara Entrada;26 e;33;-3.7077881;40.429601;ACUERDO, CALLE, DEL,41
439736,0723309330;4475718,1594054000;43434;01  CENTRO;01-05 UNIVERSIDAD;BALTASAR GRACIAN, CALLE, DE;6;Camara Entrada;27 e;34;-3.7104726;40.4299194;BALTASAR GRACIAN, CALLE, DE,6
439566,0723309330;4475675,1594054000;43434;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24 B;Camara Entrada;28.1 e;35;-3.7124725;40.4295197;SANTA CRUZ DE MARCENADO, CALLE, DE,24 B
439563,4056642660;4475672,2427387400;43434;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24 B;Camara Entrada;28.2 e;36;-3.7125036;40.4294932;SANTA CRUZ DE MARCENADO, CALLE, DE,24 B
439423,2806642660;4475507,8260720700;43434;01  CENTRO;01-05 UNIVERSIDAD;SEMINARIO DE NOBLES, CALLE, DEL;2;Camara Entrada;29 e;37;-3.7141399;40.4280019;SEMINARIO DE NOBLES, CALLE, DEL,2
439452,0306642660;4475451,0760720700;43434;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;2;Camara Entrada;30 e;38;-3.7137955;40.4274928;MARTIRES DE ALCALA, CALLE, DE LOS,2
439518,2806642660;4475351,4510720700;43434;01  CENTRO;01-05 UNIVERSIDAD;DUQUE DE LIRIA, CALLE, DEL;S/N;Camara Entrada;31 e;39;-3.7130051;40.4266001;DUQUE DE LIRIA, CALLE, DEL,S/N
