PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANIO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;30;28079008_30_59;2019;10;02;000.5;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;001.0;V;001.0;V;001.0;V;001.0;V;000.5;V;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.7;V;00000;N;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2019;10;02;004.2;V;003.1;V;003.0;V;003.1;V;002.8;V;002.5;V;002.4;V;002.4;V;002.6;V;002.8;V;004.1;V;012.4;V;013.4;V;005.1;V;002.6;V;003.3;V;004.1;V;004.4;V;004.5;V;004.4;V;00000;N;00000;N;00000;N;00000;N
28;079;8;42;28079008_42_2;2019;10;02;01.60;V;01.58;V;01.57;V;01.57;V;01.56;V;01.58;V;01.58;V;01.59;V;01.62;V;01.65;V;01.70;N;-0.01;N;00.25;N;01.58;V;01.61;V;01.64;V;01.65;V;01.66;V;01.64;V;01.65;V;00000;N;00000;N;00000;N;00000;N
28;079;8;43;28079008_43_2;2019;10;02;01.48;V;01.47;V;01.47;V;01.47;V;01.47;V;01.47;V;01.48;V;01.48;V;01.49;V;01.49;V;01.49;N;-0.05;N;00.22;N;01.49;V;01.47;V;01.47;V;01.47;V;01.47;V;01.47;V;01.48;V;00000;N;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2019;10;02;00.12;V;00.11;V;00.10;V;00.10;V;00.09;V;00.11;V;00.10;V;00.11;V;00.14;V;00.17;V;00.21;N;00.04;N;00.04;N;00.09;V;00.14;V;00.17;V;00.19;V;00.19;V;00.17;V;00.18;V;00000;N;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2019;10;02;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00003;V;00012;V;00037;V;00043;V;00015;V;00008;V;00014;V;00011;V;00014;V;00005;V;00011;V;00014;V;00005;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2019;10;02;00013;V;00010;V;00007;V;00005;V;00005;V;00006;V;00016;V;00037;V;00072;V;00075;V;00035;V;00028;V;00032;V;00029;V;00032;V;00019;V;00029;V;00031;V;00024;V;00029;V;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2019;10;02;00015;V;00011;V;00009;V;00006;V;00008;V;00008;V;00021;V;00056;V;00128;V;00141;V;00059;V;00040;V;00054;V;00046;V;00053;V;00027;V;00045;V;00052;V;00031;V;00031;V;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2019;10;02;001.0;V;001.0;V;000.7;V;000.9;V;000.9;V;000.6;V;000.6;V;001.2;V;004.0;V;005.8;V;003.6;V;001.9;V;001.4;V;001.9;V;002.8;V;001.5;V;001.7;V;002.2;V;001.3;V;001.1;V;00000;N;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.4;V;000.8;V;000.4;V;000.2;V;000.1;V;000.2;V;000.3;V;000.2;V;000.2;V;000.4;V;000.4;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2019;10;02;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.5;V;000.3;V;000.2;V;000.1;V;000.2;V;000.3;V;000.2;V;000.1;V;000.1;V;000.2;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.4;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2019;10;02;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00008;V;00012;V;00020;V;00004;V;00005;V;00005;V;00003;V;00003;V;00001;V;00002;V;00001;V;00004;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2019;10;02;00009;V;00004;V;00003;V;00003;V;00003;V;00004;V;00014;V;00038;V;00060;V;00068;V;00024;V;00024;V;00015;V;00011;V;00012;V;00009;V;00008;V;00007;V;00015;V;00027;V;00000;N;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2019;10;02;00010;V;00006;V;00005;V;00005;V;00004;V;00005;V;00016;V;00051;V;00078;V;00099;V;00030;V;00031;V;00022;V;00015;V;00017;V;00011;V;00011;V;00009;V;00022;V;00028;V;00000;N;00000;N;00000;N;00000;N
28;079;16;14;28079016_14_6;2019;10;02;46.65;V;55.48;V;51.16;V;50.13;V;52.24;V;51.10;V;45.85;V;28.89;V;08.41;V;03.99;V;19.51;V;29.00;V;37.82;V;45.47;V;49.78;V;53.30;V;56.09;V;57.27;V;50.29;V;39.78;V;00000;N;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2019;10;02;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00009;V;00009;V;00010;V;00010;V;00009;V;00010;V;00008;V;00008;V;00007;V;00006;V;00004;V;00005;V;00005;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2019;10;02;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00006;V;00013;V;00010;V;00009;V;00011;V;00012;V;00006;V;00006;V;00004;V;00004;V;00004;V;00003;V;00002;V;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2019;10;02;00013;V;00009;V;00006;V;00006;V;00006;V;00009;V;00017;V;00033;V;00041;V;00036;V;00029;V;00031;V;00039;V;00022;V;00022;V;00020;V;00020;V;00021;V;00020;V;00028;V;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2019;10;02;00016;V;00011;V;00008;V;00007;V;00008;V;00012;V;00022;V;00041;V;00061;V;00052;V;00043;V;00048;V;00056;V;00032;V;00031;V;00027;V;00026;V;00028;V;00024;V;00031;V;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2019;10;02;64.59;V;70.99;V;71.39;V;71.24;V;64.42;N;60.33;N;54.63;N;40.38;N;32.54;N;36.56;N;41.16;N;39.52;N;39.88;N;00000;N;66.49;V;72.46;V;77.48;V;75.98;V;74.55;V;61.00;V;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2019;10;02;00006;V;00006;V;00006;V;00005;V;00006;V;00006;V;00006;V;00006;V;00005;V;00006;V;00006;V;00009;V;00011;V;00012;V;00013;V;00012;V;00010;V;00009;V;00008;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2019;10;02;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2019;10;02;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00002;V;00005;V;00006;V;00007;V;00010;V;00014;V;00006;V;00005;V;00003;V;00003;V;00002;V;00002;V;00003;V;00000;N;00000;N;00000;N;00000;N
28;079;18;8;28079018_8_8;2019;10;02;00010;V;00006;V;00005;V;00005;V;00004;V;00004;V;00010;V;00015;V;00027;V;00028;V;00027;V;00026;V;00029;V;00020;V;00019;V;00016;V;00014;V;00015;V;00021;V;00039;V;00000;N;00000;N;00000;N;00000;N
28;079;18;10;28079018_10_47;2019;10;02;00007;V;00007;V;00008;V;00009;V;00009;V;00006;V;00008;V;00009;V;00011;V;00011;V;00011;V;00013;V;00010;V;00007;V;00005;V;00014;V;00020;V;00013;V;00001;V;00008;V;00000;N;00000;N;00000;N;00000;N
28;079;18;12;28079018_12_8;2019;10;02;00012;V;00008;V;00006;V;00006;V;00007;V;00005;V;00012;V;00018;V;00034;V;00037;V;00038;V;00041;V;00050;V;00028;V;00026;V;00021;V;00018;V;00019;V;00025;V;00044;V;00000;N;00000;N;00000;N;00000;N
28;079;18;14;28079018_14_6;2019;10;02;66.45;V;72.58;V;71.81;V;69.43;V;67.98;V;67.22;V;60.52;V;52.97;V;41.69;V;39.09;V;44.45;V;50.42;V;52.53;V;63.93;V;68.89;V;78.17;V;83.52;V;82.20;V;73.78;V;53.63;V;00000;N;00000;N;00000;N;00000;N
28;079;18;20;28079018_20_59;2019;10;02;001.0;V;000.8;V;000.7;V;000.8;V;000.8;V;000.4;V;000.5;V;000.6;V;000.7;V;001.4;V;001.9;V;001.6;V;002.7;V;001.3;V;001.4;V;001.1;V;000.8;V;000.9;V;000.8;V;001.1;V;00000;N;00000;N;00000;N;00000;N
28;079;18;30;28079018_30_59;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.5;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;18;35;28079018_35_59;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.2;V;000.4;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;24;1;28079024_1_38;2019;10;02;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N
28;079;24;6;28079024_6_48;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;24;7;28079024_7_8;2019;10;02;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00005;V;00005;V;00006;V;00004;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;24;8;28079024_8_8;2019;10;02;00003;V;00002;V;00002;V;00002;V;00001;V;00002;V;00003;V;00006;V;00013;V;00019;V;00019;V;00017;V;00021;V;00015;V;00011;V;00009;V;00005;V;00006;V;00010;V;00021;V;00000;N;00000;N;00000;N;00000;N
28;079;24;9;28079024_9_47;2019;10;02;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00001;N;00004;N;00007;V;00003;V;00001;V;00002;V;00003;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;24;10;28079024_10_47;2019;10;02;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00001;N;00007;N;00014;V;00010;V;00006;V;00006;V;00008;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2019;10;02;00004;V;00004;V;00003;V;00004;V;00003;V;00003;V;00005;V;00008;V;00015;V;00023;V;00026;V;00024;V;00030;V;00021;V;00015;V;00012;V;00006;V;00007;V;00012;V;00022;V;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2019;10;02;80.48;V;81.94;V;79.37;V;76.05;V;76.09;V;74.27;V;69.50;V;64.69;V;56.94;V;52.17;V;54.75;V;62.07;V;62.05;V;71.01;V;79.71;V;87.49;V;94.47;V;93.66;V;84.93;V;69.61;V;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2019;10;02;000.1;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.4;V;000.6;V;001.0;V;001.4;N;00000;N;000.8;N;000.6;V;000.4;V;000.3;V;000.4;V;000.7;V;00000;N;00000;N;00000;N;00000;N
28;079;24;30;28079024_30_59;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;N;00000;N;000.1;N;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2019;10;02;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;N;00000;N;000.1;N;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2019;10;02;01.16;V;01.16;V;01.17;V;01.16;V;01.16;V;01.16;V;01.16;V;01.16;V;01.16;V;01.17;V;01.18;V;01.20;V;01.21;V;01.21;V;01.20;V;01.20;V;01.19;V;01.18;V;01.19;V;01.19;V;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2019;10;02;01.10;V;01.10;V;01.10;V;01.09;V;01.09;V;01.09;V;01.09;V;01.10;V;01.09;V;01.09;V;01.10;V;01.12;V;01.13;V;01.14;V;01.14;V;01.14;V;01.13;V;01.12;V;01.11;V;01.12;V;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2019;10;02;00.06;V;00.06;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.06;V;00.07;V;00.08;V;00.08;V;00.08;V;00.08;V;00.07;V;00.06;V;00.06;V;00.06;V;00.06;V;00.08;V;00.08;V;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2019;10;02;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00007;V;00008;V;00026;V;00033;V;00017;V;00005;V;00006;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2019;10;02;00052;V;00028;V;00006;V;00005;V;00004;V;00007;V;00044;V;00058;V;00086;V;00073;V;00046;V;00019;V;00020;V;00016;V;00013;V;00017;V;00016;V;00023;V;00026;V;00034;V;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2019;10;02;00054;V;00030;V;00007;V;00006;V;00006;V;00008;V;00055;V;00071;V;00127;V;00123;V;00072;V;00027;V;00028;V;00022;V;00017;V;00023;V;00022;V;00030;V;00032;V;00041;V;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2019;10;02;35.55;V;56.51;V;71.48;V;69.15;V;67.21;V;64.45;V;39.57;V;23.91;V;05.53;V;16.90;V;38.60;V;58.22;V;62.21;V;70.91;V;79.11;V;76.29;V;77.82;V;71.92;V;68.05;V;57.15;V;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2019;10;02;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00008;V;00009;V;00012;V;00017;V;00020;V;00017;V;00017;V;00017;V;00017;V;00017;V;00017;V;00017;V;00018;V;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2019;10;02;000.8;V;000.8;V;000.8;V;000.8;V;000.8;V;000.8;V;000.8;V;000.8;V;000.9;N;000.9;N;000.8;V;000.8;V;000.8;V;000.8;V;000.8;V;000.7;V;000.7;V;000.7;V;000.8;V;000.8;V;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2019;10;02;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00004;V;00005;V;00011;V;00015;V;00015;V;00027;V;00020;V;00015;V;00010;V;00007;V;00008;V;00010;V;00009;V;00008;V;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2019;10;02;00016;V;00017;V;00010;V;00008;V;00009;V;00008;V;00020;V;00032;V;00053;V;00049;V;00045;V;00051;V;00044;V;00037;V;00031;V;00027;V;00029;V;00038;V;00037;V;00049;V;00000;N;00000;N;00000;N;00000;N
28;079;35;12;28079035_12_8;2019;10;02;00019;V;00020;V;00012;V;00010;V;00011;V;00009;V;00027;V;00039;V;00069;V;00072;V;00068;V;00091;V;00075;V;00061;V;00047;V;00039;V;00042;V;00052;V;00051;V;00061;V;00000;N;00000;N;00000;N;00000;N
28;079;35;14;28079035_14_6;2019;10;02;63.05;V;65.49;V;65.88;V;64.18;V;61.32;V;63.08;V;52.22;V;39.60;V;24.71;V;26.21;V;36.22;V;33.50;V;37.97;V;47.03;V;57.35;V;65.89;V;65.00;V;54.38;V;57.44;V;40.64;V;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2019;10;02;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2019;10;02;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.4;V;000.4;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2019;10;02;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00010;V;00015;V;00025;V;00011;V;00010;V;00007;V;00005;V;00004;V;00006;V;00005;V;00005;V;00004;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2019;10;02;00009;V;00004;V;00003;V;00003;V;00002;V;00004;V;00011;V;00031;V;00051;V;00056;V;00028;V;00028;V;00015;V;00012;V;00009;V;00014;V;00012;V;00013;V;00013;V;00027;V;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2019;10;02;00012;N;00013;N;00014;N;00015;N;00014;N;00011;N;00010;N;00013;N;00015;N;00021;N;00029;V;00010;V;00015;V;00006;V;00010;V;00017;V;00009;V;00003;V;00002;N;00020;V;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2019;10;02;00013;V;00007;V;00006;V;00006;V;00005;V;00007;V;00016;V;00047;V;00074;V;00094;V;00045;V;00043;V;00027;V;00020;V;00015;V;00023;V;00019;V;00020;V;00020;V;00038;V;00000;N;00000;N;00000;N;00000;N
28;079;38;1;28079038_1_38;2019;10;02;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00009;V;00007;V;00007;V;00007;V;00007;V;00007;V;00006;V;00006;V;00006;V;00006;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;38;7;28079038_7_8;2019;10;02;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00009;V;00029;V;00039;V;00025;V;00020;V;00018;V;00014;V;00016;V;00012;V;00017;V;00014;V;00012;V;00023;V;00000;N;00000;N;00000;N;00000;N
28;079;38;8;28079038_8_8;2019;10;02;00011;V;00004;V;00005;V;00004;V;00004;V;00005;V;00015;V;00032;V;00059;V;00061;V;00042;V;00035;V;00032;V;00032;V;00029;V;00027;V;00034;V;00033;V;00032;V;00066;V;00000;N;00000;N;00000;N;00000;N
28;079;38;9;28079038_9_47;2019;10;02;00002;V;00002;V;00002;V;00003;V;00001;V;00002;V;00003;V;00001;V;00002;V;00009;V;00007;V;00001;V;00002;V;00006;V;00013;V;00011;V;00005;V;00004;V;00004;V;00005;V;00000;N;00000;N;00000;N;00000;N
28;079;38;10;28079038_10_47;2019;10;02;00008;V;00009;V;00009;V;00008;V;00006;V;00007;V;00008;V;00004;V;00008;V;00018;V;00017;V;00011;V;00010;V;00016;V;00023;V;00018;V;00011;V;00009;V;00012;V;00016;V;00000;N;00000;N;00000;N;00000;N
28;079;38;12;28079038_12_8;2019;10;02;00015;V;00005;V;00006;V;00005;V;00005;V;00006;V;00019;V;00045;V;00104;V;00121;V;00080;V;00066;V;00059;V;00054;V;00053;V;00046;V;00060;V;00054;V;00050;V;00101;V;00000;N;00000;N;00000;N;00000;N
28;079;38;20;28079038_20_59;2019;10;02;000.7;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.6;V;001.4;V;001.7;V;001.6;V;001.8;V;001.7;V;001.8;V;001.7;V;001.3;V;001.4;V;001.3;V;001.6;V;00000;N;00000;N;00000;N;00000;N
28;079;38;30;28079038_30_59;2019;10;02;000.3;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;38;35;28079038_35_59;2019;10;02;004.0;V;003.9;V;003.4;V;003.5;V;003.5;V;003.2;V;003.3;V;003.4;V;003.8;V;004.0;V;004.6;V;006.5;V;005.3;V;004.4;V;004.1;V;004.1;V;004.0;V;004.1;V;004.3;V;004.4;V;00000;N;00000;N;00000;N;00000;N
28;079;39;6;28079039_6_48;2019;10;02;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;001.2;V;001.1;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;39;7;28079039_7_8;2019;10;02;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00011;V;00021;V;00010;V;00005;V;00005;V;00006;V;00005;V;00004;V;00005;V;00002;V;00002;V;00002;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;39;8;28079039_8_8;2019;10;02;00005;V;00003;V;00003;V;00003;V;00003;V;00004;V;00015;V;00049;V;00065;V;00044;V;00022;V;00021;V;00023;V;00018;V;00017;V;00015;V;00010;V;00018;V;00022;V;00034;V;00000;N;00000;N;00000;N;00000;N
28;079;39;12;28079039_12_8;2019;10;02;00007;V;00004;V;00004;V;00004;V;00005;V;00005;V;00018;V;00066;V;00098;V;00060;V;00030;V;00029;V;00031;V;00026;V;00024;V;00023;V;00012;V;00021;V;00025;V;00036;V;00000;N;00000;N;00000;N;00000;N
28;079;39;14;28079039_14_6;2019;10;02;89.28;V;88.92;V;84.24;V;78.46;V;76.86;V;76.22;V;68.89;V;37.19;V;25.76;V;40.92;V;62.43;V;64.30;V;67.89;V;78.33;V;86.27;V;94.36;V;96.63;V;89.56;V;80.69;V;66.94;V;00000;N;00000;N;00000;N;00000;N
