PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANIO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2019;10;02;00012;V;00011;V;00008;V;00009;V;00011;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00007;V;00006;V;00006;V;00008;V;00007;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2019;10;02;000.2;V;000.3;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2019;10;02;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00008;V;00021;V;00023;V;00020;V;00014;V;00012;V;00014;V;00009;V;00008;V;00006;V;00005;V;00005;V;00005;V;00000;N;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2019;10;02;00013;V;00007;V;00007;V;00011;V;00006;V;00006;V;00011;V;00035;V;00059;V;00057;V;00041;V;00031;V;00026;V;00029;V;00023;V;00020;V;00018;V;00021;V;00023;V;00026;V;00000;N;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2019;10;02;00015;V;00009;V;00009;V;00015;V;00007;V;00007;V;00013;V;00047;V;00092;V;00092;V;00071;V;00052;V;00044;V;00050;V;00037;V;00033;V;00027;V;00029;V;00031;V;00033;V;00000;N;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2019;10;02;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00000;N;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2019;10;02;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2019;10;02;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00011;V;00015;V;00024;V;00014;V;00005;V;00004;V;00011;V;00008;V;00004;V;00005;V;00006;V;00006;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2019;10;02;00017;V;00013;V;00011;V;00010;V;00007;V;00010;V;00021;V;00054;V;00060;V;00057;V;00055;V;00050;V;00044;V;00033;V;00030;V;00022;V;00024;V;00032;V;00040;V;00054;V;00000;N;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2019;10;02;00006;V;00009;V;00005;V;00004;V;00004;V;00001;V;00005;V;00004;V;00001;V;00011;V;00014;N;00000;N;00001;N;00001;N;00005;N;00004;V;00003;V;00007;V;00009;V;00011;V;00000;N;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2019;10;02;00013;V;00016;V;00008;V;00010;V;00012;V;00003;V;00010;V;00011;V;00011;V;00022;V;00028;N;00000;N;00001;N;00001;N;00008;N;00011;V;00010;V;00016;V;00016;V;00017;V;00000;N;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2019;10;02;00020;V;00014;V;00013;V;00012;V;00008;V;00013;V;00025;V;00071;V;00083;V;00094;V;00075;V;00058;V;00050;V;00050;V;00043;V;00028;V;00032;V;00042;V;00050;V;00063;V;00000;N;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2019;10;02;68.97;V;74.19;V;68.78;V;69.92;V;70.49;V;66.33;V;55.68;V;27.62;V;22.74;V;26.21;V;14.00;V;05.74;V;18.64;V;59.67;V;68.61;V;79.14;V;79.61;V;70.37;V;62.13;V;46.58;V;00000;N;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2019;10;02;002.1;V;001.6;V;001.2;V;001.2;V;001.0;V;001.0;V;001.0;V;001.5;V;002.7;V;004.7;V;006.8;V;005.4;V;004.9;V;002.6;V;002.9;V;002.3;V;002.2;V;003.0;V;002.9;V;003.0;V;00000;N;00000;N;00000;N;00000;N
