select distinct ?property count(distinct ?value)
where{
	?x a <http://dbpedia.org/ontology/Politician>.
	?x ?property ?value
	FILTER(rdf:type != ?property)
} LIMIT 150

property	callret-1
http://es.dbpedia.org/property/estilopiedetabla	1
http://es.dbpedia.org/property/inicioSesiones	1
http://es.dbpedia.org/property/lider	3
http://es.dbpedia.org/property/salonRes	1
http://es.dbpedia.org/property/salonSesionesBaja	1
http://es.dbpedia.org/property/sedeBaja	2
http://es.dbpedia.org/property/tipoCámara	1
http://es.dbpedia.org/property/tipoLider	3
http://es.dbpedia.org/property/hija	1
http://es.dbpedia.org/property/abortos	1
http://es.dbpedia.org/property/deputyFirstminister	1
http://es.dbpedia.org/property/firstminister	2
http://es.dbpedia.org/property/vástago	1
http://es.dbpedia.org/property/webPage	1
http://es.dbpedia.org/property/gobrnador	1
http://es.dbpedia.org/property/tamanoimagen	1
http://es.dbpedia.org/property/aB	1
http://es.dbpedia.org/property/adjunto	1
http://es.dbpedia.org/property/causaDeLaMuerte	1
http://es.dbpedia.org/property/oficios	1
http://es.dbpedia.org/property/almaMaster	1
http://es.dbpedia.org/property/cargoAnterior	1
http://es.dbpedia.org/property/novia	1
http://es.dbpedia.org/property/sufijo	1
http://es.dbpedia.org/property/alongside	3
http://es.dbpedia.org/property/estudiosPrimariosYSecundarios	1
http://es.dbpedia.org/property/pocupación	1
http://es.dbpedia.org/property/predesor	1
http://es.dbpedia.org/property/nombreCorrecto	1
http://es.dbpedia.org/property/nominator	1
http://es.dbpedia.org/property/relativos	3
http://es.dbpedia.org/property/preTexto	1
http://es.dbpedia.org/property/zar	1
http://es.dbpedia.org/property/webSite	1
http://es.dbpedia.org/property/participóEn	1
http://es.dbpedia.org/property/distrto	1
http://es.dbpedia.org/property/parliament	1
http://es.dbpedia.org/property/educacion	2
http://es.dbpedia.org/property/institución	1
http://es.dbpedia.org/property/designadoCargo	1
http://es.dbpedia.org/property/distritoElectoral	1
http://es.dbpedia.org/property/prefijoHonrífico	1
http://es.dbpedia.org/property/presidencia	1
http://es.dbpedia.org/property/inico	1
http://es.dbpedia.org/property/apartado	2
http://es.dbpedia.org/property/audio	1
http://es.dbpedia.org/property/class	1
http://es.dbpedia.org/property/leyenda	1
http://es.dbpedia.org/property/parlamento	1
http://es.dbpedia.org/property/pmc	1
http://es.dbpedia.org/property/state	1
http://es.dbpedia.org/property/lugarmuertec	2
http://es.dbpedia.org/property/presidenteDelBancoCentralDelUruguay	1
http://es.dbpedia.org/property/causadelamuerte	1
http://es.dbpedia.org/property/precesor	1
http://es.dbpedia.org/property/tituloNobiliario	1
http://es.dbpedia.org/property/area	2
http://es.dbpedia.org/property/conocido	10
http://es.dbpedia.org/property/créditos	1
http://es.dbpedia.org/property/derrotas	1
http://es.dbpedia.org/property/empates	1
http://es.dbpedia.org/property/fechaFallecimiento	3
http://es.dbpedia.org/property/genero	1
http://es.dbpedia.org/property/medallistaOlímpico	1
http://es.dbpedia.org/property/noPresentado	1
http://es.dbpedia.org/property/nota	4
http://es.dbpedia.org/property/authorformat	2
http://es.dbpedia.org/property/batallas/guerras	4
http://es.dbpedia.org/property/parientes	2
http://es.dbpedia.org/property/servicioMilitar	5
http://es.dbpedia.org/property/antes	1
