select distinct ?property count(distinct ?value)
where{
	?x a <http://dbpedia.org/ontology/Politician>.
http://es.dbpedia.org/property/estadoCivíl	1
http://es.dbpedia.org/property/midaImatge	1
http://es.dbpedia.org/property/comando	5
http://es.dbpedia.org/property/estudiosEn	1
http://es.dbpedia.org/property/gobernadora	1
http://es.dbpedia.org/property/pSon30ieimagen	1
http://es.dbpedia.org/property/servicioMilitary	2
http://es.dbpedia.org/property/cargos	1
http://es.dbpedia.org/property/promoción	1
http://es.dbpedia.org/property/entierro	2
http://es.dbpedia.org/property/actor	1
http://es.dbpedia.org/property/presidenteRegional	1
http://es.dbpedia.org/property/vicedirectora	1
http://es.dbpedia.org/property/cargoActual	3
http://es.dbpedia.org/property/almámater	1
http://es.dbpedia.org/property/nacionality	1
http://es.dbpedia.org/property/prefijoHonorifico	1
http://es.dbpedia.org/property/sufijoHonorifico	1
http://dbpedia.org/ontology/militaryCommand	1
http://dbpedia.org/ontology/serviceEndYear	1
http://dbpedia.org/ontology/serviceStartYear	1
http://es.dbpedia.org/property/1a	25
http://es.dbpedia.org/property/1pp	3
http://es.dbpedia.org/property/1y	14
http://es.dbpedia.org/property/2a	27
http://es.dbpedia.org/property/2p	9
http://es.dbpedia.org/property/2y	21
http://es.dbpedia.org/property/bg	1
http://es.dbpedia.org/property/causa	1
http://es.dbpedia.org/property/label2Size	1
http://es.dbpedia.org/property/label3Size	1
http://es.dbpedia.org/property/label4Size	1
http://es.dbpedia.org/property/labelSize	1
http://es.dbpedia.org/property/lat	4
http://es.dbpedia.org/property/long	4
http://es.dbpedia.org/property/month	1
http://es.dbpedia.org/property/paginaWeb	1
http://es.dbpedia.org/property/periódico	1
http://es.dbpedia.org/property/primera	1
http://es.dbpedia.org/property/frase	1
http://es.dbpedia.org/property/almamaters	1
http://es.dbpedia.org/property/exCargo	1
http://es.dbpedia.org/property/fechalugar	2
http://es.dbpedia.org/property/paritdo	1
http://es.dbpedia.org/property/apodo(s)_	1
http://es.dbpedia.org/property/art	3
http://es.dbpedia.org/property/beatificación	1
http://es.dbpedia.org/property/c	4
http://es.dbpedia.org/property/club	2
http://es.dbpedia.org/property/creador	1
http://es.dbpedia.org/property/creenciasReligiosas	1
http://es.dbpedia.org/property/descendencia	4
http://es.dbpedia.org/property/editor3First	1
http://es.dbpedia.org/property/editor3Last	2
http://es.dbpedia.org/property/empresa	4
http://es.dbpedia.org/property/estudiantesDoctorales	4
http://es.dbpedia.org/property/etnia	7
http://es.dbpedia.org/property/float	1
http://es.dbpedia.org/property/grupo	1
http://es.dbpedia.org/property/idiomas	2
http://es.dbpedia.org/property/label	4
http://es.dbpedia.org/property/lema	2
http://es.dbpedia.org/property/logo	1
http://es.dbpedia.org/property/mandato	7
http://es.dbpedia.org/property/mandos	2
http://es.dbpedia.org/property/medium	1
http://es.dbpedia.org/property/municipio	1
http://es.dbpedia.org/property/nacido	2
http://es.dbpedia.org/property/nombradoPor	1
http://es.dbpedia.org/property/partidosinternacionales	1
http://es.dbpedia.org/property/patrimonio	3
http://es.dbpedia.org/property/pos	2
http://es.dbpedia.org/property/position	1
http://es.dbpedia.org/property/premio	1
http://es.dbpedia.org/property/tesisAño	2
http://es.dbpedia.org/property/tesisTítulo	3
http://es.dbpedia.org/property/transTitle	3
http://es.dbpedia.org/property/término	1
http://es.dbpedia.org/property/urlCapítulo	1
