





ID-EVENTO TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
11017429;"100 a�os de la Gran V�a";"";"0";"0";"";"";"2019-10-25 00:00:00.0";"2019-10-25 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=674907298aa2d610VgnVCM1000001d4a900aRCRD";"100 a�os de la Gran V�a";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48fb6ad2754da610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=697c598d1351c010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal La Elipa (Ciudad Lineal)";"444705";"4474959";"40.42342659084215";"-3.651841641389484";"CIUDAD LINEAL";"/contenido/actividades/ExcursionesItinerariosVisitas";"";
11019275;"11 Simposio En Red. De cuerpo y experimento";"";"0";"1";"J,V,S";"";"2019-10-24 00:00:00.0";"2019-10-26 23:59:00.0";"00:00";"diagrama sobre ergonom�a";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43f300141de3d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79f59dacff4d7110VgnVCM1000000b205a0aRCRD";"Medialab - Prado";"441135";"4473558";"40.410560776119";"-3.6937931079230744";"CENTRO";"";"";
11028463;"14 kil�metros";"";"1";"0";"";"";"2019-10-11 00:00:00.0";"2019-10-11 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cf57127ac2d6d610VgnVCM2000001f4a900aRCRD";"Creafest";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=efc36b2a4ba1d610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa de Vacas (Retiro)";"441967";"4474495";"40.41906024374356";"-3.6840615387926956";"RETIRO";"/contenido/actividades/CineActividadesAudiovisuales";"";
11019983;"33� Certamen Coreogr�fico de Madrid";"12  euros general / 10  euros reducida";"0";"1";"M,X,J,V,S";"";"2019-12-11 00:00:00.0";"2019-12-15 23:59:00.0";"";"Danza";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d50a0c279f3d610VgnVCM1000001d4a900aRCRD";"33� Certamen Coreogr�fico de Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c160a0c279f3d610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Conde Duque";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"CENTRO";"/contenido/actividades/DanzaBaile";"";
11014008;"A DOUBLE LIFE / CRONOFOBIA";"";"0";"0";"";"";"2019-10-13 00:00:00.0";"2019-10-13 23:59:00.0";"";"A DOUBLE LIFE (Job, Joris &amp;amp; Marieke / Pa�ses Bajos / 2018 / 3?) PREMIERE MADRID �� Una exquisita comedia negra sobre una pareja cuyas ideas sobre la conformidad de g�nero lleva a una inesperada confrontaci�n.  Trailer  Sin di�logos  CRONOFOBIA (Francesco Rizzi / Suiza / 2018 / 93?) Suter es un hombre misterioso y solitario, que est� en constante movimiento huyendo siempre de s� mismo. Durante el d�a viaja a trav�s de Suiza en una an�nima furgoneta blanca. De noche, observa en secreto la vida de Anna, una mujer de car�cter rebelde, que intenta con dificultad superar un gran trauma. Tras descubrir la obsesi�n de Suter, Anna consigue establecer con �l una forma peculiar de intimidad, que r�pidamente se convierte en una relaci�n tierna y perturbadora al mismo tiempo. Pero este delicado equilibrio se ve amenazado por un oscuro secreto?  Trailer  Versi�n original �italiano subtitulado en espa�ol e ingl�sPresentaci�n y coloquio a cargo del director Francesco Rizzi.�";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0479a4e0fe91d610VgnVCM1000001d4a900aRCRD";"28.� Festival de Cine de Madrid. Plataforma Nuevos Realizadores (PNR).";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4e9a4e0fe91d610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"440946";"4471394";"40.391053041229135";"-3.6958079719260075";"ARGANZUELA";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11026235;"A la vuelta de la esquina";"";"1";"0";"";"";"2019-10-05 00:00:00.0";"2019-10-05 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=828fb608d026d610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Buero Vallejo (San Blas - Canillejas)";"448023";"4477305";"40.44477474902185";"-3.6129105844633775";"SAN BLAS-CANILLEJAS";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11032303;"A Mano";"";"0";"0";"";"";"2019-11-30 00:00:00.0";"2019-11-30 23:59:00.0";"00:00";"S�bado a las 12:30 y 18 horas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cdff23f64f68d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD";"Espacio Abierto Quinta de los Molinos";"446636";"4477644";"40.44774002225867";"-3.6292874542291638";"SAN BLAS-CANILLEJAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os";
11032304;"A Mano";"";"0";"0";"";"";"2019-12-01 00:00:00.0";"2019-12-01 23:59:00.0";"00:00";"Domingo a las 12:30 horas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=531023f64f68d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD";"Espacio Abierto Quinta de los Molinos";"446636";"4477644";"40.44774002225867";"-3.6292874542291638";"SAN BLAS-CANILLEJAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os";
11030291;"Abiertamente";"";"1";"0";"";"";"2019-10-25 00:00:00.0";"2019-10-25 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e0157cb7b17d610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Francisco Fatou (Villa de Vallecas)";"447107";"4470075";"40.379584618162156";"-3.623110349262379";"VILLA DE VALLECAS";"/contenido/actividades/Musica";"";
10995310;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-10-16 00:00:00.0";"2019-10-16 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=041517f605b3c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=89a40a47f441f010VgnVCM2000000c205a0aRCRD";"Biblioteca P�blica Municipal Portazgo (Puente de Vallecas)";"444376";"4471605";"40.393189968014696";"-3.6554147649183943";"PUENTE DE VALLECAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10995283;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-11-28 00:00:00.0";"2019-11-28 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=086217f605b3c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5c548d20675e010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal Pablo Neruda (Ciudad Lineal)";"445570";"4475617";"40.42941133441142";"-3.6416899839787695";"CIUDAD LINEAL";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
