Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
72;443219,95;4474136,22;23-06-14;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;99;BiciMAD;24;-36.692.614;404.159.135;DOCTOR ESQUERDO, CALLE, DEL, 99
73;443229,99;4473642,11;23-06-14;03  RETIRO;03-03 ESTRELLA;ASTROS, PLAZA, DE LOS;S/N;BiciMAD;24;-3.669.099;40.411.463;ASTROS, PLAZA, DE LOS, S/N
74;442595,78;4473679,92;23-06-14;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-36.765.768;404.117.601;MENENDEZ PELAYO, AVENIDA, DE, S/N
75;442436,91;4473301,34;23-06-14;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-36.784.149;404.083.387;MENENDEZ PELAYO, AVENIDA, DE, S/N
76;442712,67;4473182,27;23-06-14;03  RETIRO;03-06 NIÑO JESÚS;JUAN DE URBIETA, CALLE, DE;48;BiciMAD;24;-36.751.544;404.072.851;JUAN DE URBIETA, CALLE, DE, 48
77;443083,53;4473073,95;23-06-14;03  RETIRO;03-01 PACÍFICO;CONDE DE CASAL, PLAZA, DEL;8;BiciMAD;24;-36.707.742;404.063.347;CONDE DE CASAL, PLAZA, DEL, 8
78;442755,86;4472436,57;23-06-14;03  RETIRO;03-02 ADELFAS;CERRO DE LA PLATA, CALLE, DEL;2;BiciMAD;24;-36.745.783;404.005.704;CERRO DE LA PLATA, CALLE, DEL, 2
79;442252,73;4472937,49;23-06-14;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;38;BiciMAD;24;-36.805.524;404.050.482;MENENDEZ PELAYO, AVENIDA, DE, 38
080a;441417,53;4473211,23;23-06-14;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-36.904.197;404.074.558;CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N
080b;441394,74;4473233,56;23-06-14;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-36.906.904;404.076.554;CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N
81;441288,14;4473447,57;23-06-14;03  RETIRO;03-05 JERÓNIMOS;PRADO, PASEO, DEL;S/N;BiciMAD;24;-36.919.663;404.095.758;PRADO, PASEO, DEL, S/N
82;443177,93;4473311,29;23-06-14;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;2;BiciMAD;24;-3.669.683;404.084.793;LIRA, CALLE, DE LA, 2
83;442770,38;4473844,96;23-06-14;03  RETIRO;03-06 NIÑO JESÚS;PIO BAROJA, CALLE, DE;8 B;BiciMAD;24;-36.745.339;404.132.589;PIO BAROJA, CALLE, DE, 8 B
