Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
155;440572,97;4478750,49;01-07-15;06  TETUÁN;06-02 CUATRO CAMINOS;SAN GERMÁN, CALLE, DE;55;BiciMAD;24;-37.008.905;404.572.961;SAN GERMÁN, CALLE, DE, 55
156;441385,88;4478959,93;01-07-15;06  TETUÁN;06-03 CASTILLEJOS;SOR ANGELA DE LA CRUZ, CALLE, DE;S/N;BiciMAD;24;-36.913.229;404.592.406;SOR ANGELA DE LA CRUZ, CALLE, DE, S/N
157;441554,84;4478963,2;01-07-15;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-36.893.305;40.459.282;CASTELLANA, PASEO, DE LA, S/N
158;441946,46;4478886,67;01-07-15;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;ALBERTO ALCOCER, AVENIDA, DE;22 A;BiciMAD;24;-36.847.049;4.045.862;ALBERTO ALCOCER, AVENIDA, DE, 22 A
159;442024,96;4478401,51;01-07-15;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;LA HABANA, PASEO, DE;63;BiciMAD;24;-36.837.348;404.542.549;LA HABANA, PASEO, DE, 63
160;442637,46;4478722,46;01-07-15;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;COLOMBIA, CALLE, DE;7;BiciMAD;24;-36.765.407;404.571.887;COLOMBIA, CALLE, DE, 7
161;438748,24;4474860,98;01-07-15;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FLORIDA, PASEO, DE LA;8;BiciMAD;24;-3.722.035;404.221.254;FLORIDA, PASEO, DE LA, 8
162;439688,47;4472787,76;01-07-15;02  ARGANZUELA;02-02 ACACIAS;OLMOS, PASEO, DE LOS;28;BiciMAD;24;-37.107.559;404.035.176;OLMOS, PASEO, DE LOS, 28
163;440055,04;4472797,85;01-07-15;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;0,083333333;BiciMAD;24;-37.064.372;404.036.349;ESPERANZA, PASEO, DE LA, 0,0833333333333333
164;441064,15;4472071,33;01-07-15;02  ARGANZUELA;02-05 DELICIAS;DELICIAS, PASEO, DE LAS;92;BiciMAD;24;-36.944.786;403.971.621;DELICIAS, PASEO, DE LAS, 92
165;440779,23;4471608,61;01-07-15;02  ARGANZUELA;02-03 CHOPERA;CHOPERA, PASEO, DE LA;47;BiciMAD;24;-36.977.928;403.929.735;CHOPERA, PASEO, DE LA, 47
166;439477,71;4473947,39;23-06-16;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;26;BiciMAD;24;-37.133.497;404.139.487;SEGOVIA, CALLE, DE, 26
167;439117,28;4473925,6;22-05-17;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, CALLE, DE;45;BiciMAD;24;-37.175.955;404.137.262;SEGOVIA, CALLE, DE, 45
