X,Y,OBJECTID,ID_EVENTO,TITULO,PRECIO,GRATUITO,LARGA_DURA,DIAS_SEMAN,DIAS_EXCLU,FECHA,HORA,DESCRIPCIO,CONTENT_UR,TITULO_ACT,URL_ACTIVI,URL_INSTAL,NOMBRE_INS,COORDENADA,COORDENA_1,LATITUD,LONGITUD,TIPO,Fecha1,Fecha2
-3.642028326446052,40.47686309055922,345,7684486,Guiñol. El flautista de Hamelin, ,1,0,"L,M,X,J,V,S,D", ,02-11-2014,12:00,Compañía: Tras el Telón,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b420765bc2319410VgnVCM2000000c205a0aRCRD,Actividades para niños. Centro Cultural Hortaleza. Noviembre 2014,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b41c765bc2319410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Hortaleza,445689,4481092,40476859845900000,-36420353342300000,/contenido/actividades/CuentacuentosTiteresMarionetas,2014-11-02 00:00:00.0,2014-11-02 23:59:00.0
-3.64652995849076,40.406098839989511,346,7655326,Homenaje a la Copla y cosas de Madrid. Actuación de los Chulapos de Puente de Vallecas, ,0,0,"L,M,X,J,V,S,D", ,31-10-2014,19:00, ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1daa33a6601c8410VgnVCM1000000b205a0aRCRD,Actividades Centro Cultural El Torito (Moratalaz). Octubre 2014,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=84a8b87c8a6a8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural el Torito (Moratalaz),445250,4473240,4040609591860000,-3646536107060000,/contenido/actividades/ConferenciasColoquios,2014-10-31 00:00:00.0,2014-10-31 23:59:00.0
-3.671859849552391,40.386296782070872,347,7653119,"Humor. Burlas, chanzas y donaires", ,0,0,"L,M,X,J,V,S,D", ,29-10-2014,18:00,Fernando Lago,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3636baf7571b8410VgnVCM2000000c205a0aRCRD,Actividades. Centro Cultural Lope de Vega (Puente de Vallecas). Octubre 2014,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8f801605451b8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Lope de Vega (Puente de Vallecas),443084,4471058,40386293684800000,-36718658006700000,/contenido/actividades/EspectaculosHumorMagia,2014-10-29 00:00:00.0,2014-10-29 23:59:00.0
-3.676224151523343,40.448109833002434,348,7657695,I Encuentro Coral Centro Cultural Nicolás Salmerón, ,1,0,"L,M,X,J,V,S,D", ,25-10-2014,18:00,"  Participan:   
 
 Coral Municipal de Villar del Olmo. Director Luis Rondán 
 Coral Canticum Novum de San Sebastián de los Reyes. Director: Pedro Nebreda 
 Coro Cantores de Iberia (Madrid). Directora Mari Luz Pérez  
  Organiza:  Coro Cantores de Ibe",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7500617d2f5c8410VgnVCM2000000c205a0aRCRD,Actividades. Centro Cultural Nicolás Salmerón (Chamartín). Octubre 2014,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f2d9ebc2d65c8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Nicolás Salmerón (Chamartín),442766,4477922,4044810636200000,-36762309620100000,/contenido/actividades/Conciertos,2014-10-25 00:00:00.0,2014-10-25 23:59:00.0
-3.709852618603406,40.414106528493562,349,7670429,"II Premio Nacional de Poesía Poeta de Cabra, en la Biblioteca Pública Municipal Iván de Vargas", ,1,0,"L,M,X,J,V,S,D", ,19-10-2014,11:30, ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3bab4670945e8410VgnVCM1000000b205a0aRCRD,"II Premio Nacional Poeta de Cabra, en la Biblioteca Pública Municipal Iván de Vargas",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7b273093045e8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),439884,4474170,4041410290840000,-37098591212700000, ,2014-10-19 00:00:00.0,2014-10-19 23:59:00.0
-3.730932521418708,40.417912348775928,350,6564867,Itinerario guiado. Paseo de bienestar entre árboles, ,1,0,"L,M,X,J,V,S,D", ,23-11-2014,11:00,"  Contenido:  este recorrido nos acerca a conocer la vegetación del Parque y nos permite tener una visión más global de la importancia tanto de la historia, como del valor cultural y social de la Casa de Campo.     
  Celebración:  domingo 23 de novi",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98db181bbc9b9310VgnVCM2000000c205a0aRCRD,Hábitat Madrid otoño. Itinerarios y senderismo guiados. Casa de Campo,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2f7b181bbc9b9310VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8a22598d1351c010VgnVCM1000000b205a0aRCRD,Centro de Educación Ambiental de Casa de Campo,438099,4474607,4041789950040000,-37309390858900000,/contenido/actividades/ItinerariosOtrasActividadesAmbientales,2014-11-23 00:00:00.0,2014-11-23 23:59:00.0
,,351,7154199,IV Carrera de los Emprendedores, ,0,0,"L,M,X,J,V,S,D", ,23-11-2014,9:00, ,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8f8bda38ffad1410VgnVCM1000000b205a0aRCRD,IV Carrera de los Emprendedores,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5b21e7c38aad1410VgnVCM1000000b205a0aRCRD, , ,0,0,0,0, ,2014-11-23 00:00:00.0,2014-11-23 23:59:00.0
-3.654425938606153,40.460892764189794,352,7683615,Jazz. Encuentos culturales Portugalete ¡Zas! Trío, ,1,0,"L,M,X,J,V,S,D", ,28-11-2014,19:00,"Carlos Sir Cherles González, Marcelo Peralta, Baldo Martínez",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c3559cc479e09410VgnVCM1000000b205a0aRCRD,Actividades. Centro Cultural Carril del Conde (Hortaleza). Noviembre de 2014,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dba89cc479e09410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD,Centro Cultural Carril del Conde (Hortaleza),444625,4479327,4046088946850000,-3654432812840000,/contenido/actividades/Conciertos,2014-11-28 00:00:00.0,2014-11-28 23:59:00.0
-3.650561361117866,40.464986621135722,353,7633846,Loca ciencia loca, ,1,0,"L,M,X,J,V,S,D", ,17-10-2014,18:30,Compañía Los Hermanos Flores,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70c306d2e8468410VgnVCM2000000c205a0aRCRD,Actividades para niños. Centro Cultural Federico Chueca (Hortaleza). Octubre 2014,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6aa806d2e8468410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=90573d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Federico Chueca (Hortaleza),444956,4479779,4046498334630000,-3650568266580000,/contenido/actividades/ActividadesInfantiles,2014-10-17 00:00:00.0,2014-10-17 23:59:00.0
-3.700091109117352,40.394517086494375,354,7617059,Madrid Activa en Arganzuela. Boomer, ,1,0,"L,M,X,J,V,S,D", ,25-10-2014,12:30," Obra de teatro para niños. 
 Edad recomendada: a partir de 4 años. 
 Compañía: Los Taps.",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03b1faf6dd618410VgnVCM1000000b205a0aRCRD,Programa Madrid Activa. Distrito de Arganzuela,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55809d446c618410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa del Reloj (Arganzuela),440695,4471989,4039451366530000,-370009728519000,/contenido/actividades/ActividadesInfantiles,2014-10-25 00:00:00.0,2014-10-25 23:59:00.0
-3.700091109117352,40.394517086494375,355,7617096,Madrid Activa en Arganzuela. Cello solo, ,1,0,"L,M,X,J,V,S,D", ,23-11-2014,12:30," Concierto. 
 Compañia: Matthieu Saglio",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca2b12ca2f618410VgnVCM1000000b205a0aRCRD,Programa Madrid Activa. Distrito de Arganzuela,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55809d446c618410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa del Reloj (Arganzuela),440695,4471989,4039451366530000,-370009728519000,/contenido/actividades/Conciertos,2014-11-23 00:00:00.0,2014-11-23 23:59:00.0
-3.700091109117352,40.394517086494375,356,7617065,Madrid Activa en Arganzuela. Cine para dos y un terrón de jazz, ,1,0,"L,M,X,J,V,S,D", ,16-11-2014,12:30," Concierto. 
  Compañía : Vaivén Producciones",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bf44faf6dd618410VgnVCM1000000b205a0aRCRD,Programa Madrid Activa. Distrito de Arganzuela,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55809d446c618410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa del Reloj (Arganzuela),440695,4471989,4039451366530000,-370009728519000,/contenido/actividades/Conciertos,2014-11-16 00:00:00.0,2014-11-16 23:59:00.0
-3.700091109117352,40.394517086494375,357,7617075,Madrid Activa en Arganzuela. En mi casa infinita, ,1,0,"L,M,X,J,V,S,D", ,22-11-2014,12:30," Obra de teatro para niños. 
 Edad recomendada: a partir de 4 años. 
  Compañía : Larumbe Danza",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb86faf6dd618410VgnVCM1000000b205a0aRCRD,Programa Madrid Activa. Distrito de Arganzuela,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55809d446c618410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa del Reloj (Arganzuela),440695,4471989,4039451366530000,-370009728519000,/contenido/actividades/ActividadesInfantiles,2014-11-22 00:00:00.0,2014-11-22 23:59:00.0
-3.700091109117352,40.394517086494375,358,7617019,Madrid Activa en Arganzuela. Escríbeme un cuento, ,1,0,"L,M,X,J,V,S,D", ,18-10-2014,18:00," Obra de teatro para niños. 
  Compañía : Arrieritos 
 Edad recomendada: a partir de 4 años.",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1dfafaf6dd618410VgnVCM1000000b205a0aRCRD,Programa Madrid Activa. Distrito de Arganzuela,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55809d446c618410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa del Reloj (Arganzuela),440695,4471989,4039451366530000,-370009728519000,/contenido/actividades/ActividadesInfantiles,2014-10-18 00:00:00.0,2014-10-18 23:59:00.0
-3.700091109117352,40.394517086494375,359,7617106,Madrid Activa en Arganzuela. Ópera, ,1,0,"L,M,X,J,V,S,D", ,30-11-2014,12:30," Concierto. 
  Intérprete : Raúl Barrio",http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7bec12ca2f618410VgnVCM1000000b205a0aRCRD,Programa Madrid Activa. Distrito de Arganzuela,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=55809d446c618410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa del Reloj (Arganzuela),440695,4471989,4039451366530000,-370009728519000,/contenido/actividades/Conciertos,2014-11-30 00:00:00.0,2014-11-30 23:59:00.0
