5. For each of the properties, except rdf:type, that can be applied to instances of the Politician class, how many distinct values do they take in those instances?

select ?p count(distinct ?z)
{
  ?x a* <http://dbpedia.org/ontology/Politician>.
  ?x ?p ?z.
  FILTER(?p != rdf:type)
}LIMIT 50

ANSWER:
p	callret-1
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	21036
http://es.dbpedia.org/property/cadena	2
http://es.dbpedia.org/property/description	2
http://www.w3.org/2002/07/owl#sameAs	101862
http://es.dbpedia.org/property/dimensiones	1
http://es.dbpedia.org/property/partidopolítico	1
http://es.dbpedia.org/property/sitio	3
http://es.dbpedia.org/property/piedeimagen	6
http://es.dbpedia.org/property/hijo	4
http://es.dbpedia.org/property/abortos	1
http://es.dbpedia.org/property/diputadaFederalLxiiiLegislatura	1
http://es.dbpedia.org/property/audio	1
http://es.dbpedia.org/property/abortado	1
http://es.dbpedia.org/property/cédulaDeCiudadanía	1
http://es.dbpedia.org/property/secretarioGeneral	1
http://es.dbpedia.org/property/asin	1
http://es.dbpedia.org/property/antes	1
http://es.dbpedia.org/property/d	2
http://es.dbpedia.org/property/conexiones	3
http://es.dbpedia.org/property/piefoto	1
http://es.dbpedia.org/property/nacionalidad	71
http://es.dbpedia.org/property/4a	4
http://es.dbpedia.org/property/cargos	1
http://es.dbpedia.org/property/educacionSecundaria	1
http://es.dbpedia.org/property/colwidth	2
http://es.dbpedia.org/property/smallimage	1
http://es.dbpedia.org/property/aportaciones	1
http://es.dbpedia.org/property/nombreCompleto	28
http://es.dbpedia.org/property/participóEn	1
http://es.dbpedia.org/property/hangul	21
http://es.dbpedia.org/property/patrimonio	3
http://es.dbpedia.org/property/relacionados	3
http://es.dbpedia.org/property/lccn	8
http://es.dbpedia.org/property/empleos	9
http://es.dbpedia.org/property/tipocabecera	2
http://es.dbpedia.org/property/nombreDeNacimiento	309
http://es.dbpedia.org/property/3pp	1
http://es.dbpedia.org/property/anterior	2
http://es.dbpedia.org/property/luarmuerte	1
http://es.dbpedia.org/property/ciudadanía	2
http://es.dbpedia.org/property/encurso	1
http://es.dbpedia.org/property/empates	1
http://es.dbpedia.org/property/publisher	184
http://dbpedia.org/ontology/occupation	542
http://es.dbpedia.org/property/chapter	6
http://es.dbpedia.org/property/capítulo	289
http://dbpedia.org/ontology/nationality	101
http://es.dbpedia.org/property/edition	10
http://es.dbpedia.org/property/almamater	26
http://es.dbpedia.org/property/procedencia	4
