X,Y,OBJECTID_1,OBJECTID,ID_EVENTO,EVENTO,GRATUITO,DIAS_SEMANA,FECHA,HORA,TIPO,ACTIVIDAD,INSTALACION,CONTENT_UR,URL_ACTIVI,URL_INSTAL
-3.710967319999952,40.38109929500007,1,1,7638138,14ª Exposición Ropero Solidario de Usera,Sí,"L,M,X,J,V,S,D",14-10-2014,0:00,/contenido/actividades/Exposiciones,Actividades culturales. Centro Cultural Usera. Octubre de 2014,Centro Cultural Usera 1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f8a3b2146e78410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5e6eae405e78410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=54fb1e79ee71c010VgnVCM1000000b205a0aRCRD
-3.698776928999962,40.425858683000058,2,2,7662340,Actividad infantil. Cuentacuentos Tembloríficos,Sí,"L,M,X,J,V,S,D",02-11-2014,0:00,/contenido/actividades/ActividadesInfantiles,Actividad infantil. Cuentacuentos Tembloríficos,Museo del Romanticismo,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f40d2b2e900d8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fd9b2b2e900d8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=706cef4d7f71c010VgnVCM1000000b205a0aRCRD
-3.62127587599997,40.399831518000042,3,3,7654370,Actividad infantil. Ulises de James Joyce. Compañía Infima Arts,No,"L,M,X,J,V,S,D",18-10-2014,12:00,/contenido/actividades/ActividadesInfantiles,Actividad infantil. Ulises de James Joyce. Compañía Infima Arts,Centro Cultural Valdebernardo (Vicálvaro),http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c4d6ee6d650c8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=45c9ee6d650c8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=69188899fc81c010VgnVCM1000000b205a0aRCRD
-3.690837608999971,40.422996390000037,4,4,7578252,Actividad para familas. 3 ventanas a una historia,Sí,"L,M,X,J,V,S,D",18-10-2014,11:00,/contenido/actividades/ActividadesInfantiles,Actividad para familas. Tres ventanas a una historia. Biblioteca Nacional de España,Biblioteca Nacional de España,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1992d5cbfc937410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=68b8d5cbfc937410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b8d995a8bf5d010VgnVCM2000000c205a0aRCRD
-3.679586640999958,40.41661244900007,5,5,7578161,Actividad para niños. Cuentos infantiles,Sí,"L,M,X,J,V,S,D",18-10-2014,12:00,/contenido/actividades/CuentacuentosTiteresMarionetas,Cuentos infantiles. Biblioteca Pública Eugenio Trías,Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0fe67251fb937410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=91727251fb937410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD
-3.606169930999954,40.382857195000042,6,6,7664529,Actividad para niños. Fosforita y su abuelo Margarito,No,"L,M,X,J,V,S,D",31-10-2014,18:00,/contenido/actividades/ObrasTeatro,Actividad para niños. Fosforita y su abuelo Margarito,Centro Cultural Zazuar (Villa de Vallecas),http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9d7b538f9f0d8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a6c8538f9f0d8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD
-3.71714493099995,40.39153882100004,7,7,7672061,Actividad para niños. Rock-roll kids (Carabanchel),Sí,"L,M,X,J,V,S,D",19-10-2014,12:00,/contenido/actividades/ActividadesInfantiles,Actividad para niños. Rock-roll kids (Carabanchel),Centro Cultural Fernando Lázaro Carreter (Carabanchel),http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dc2c055be4ae8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fea506cc14ae8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD
-3.572746243999973,40.446811770000068,8,8,7649357,Actividades infantiles en el Centro Cultural José Luis López Vázquez. Cuentacuentos. Duende Brinco y el libro de los cuentos. Asociación Educativa Alere,No,"L,M,X,J,V,S,D",26-10-2014,12:00,/contenido/actividades/ActividadesInfantiles,Actividades infantiles en el Centro Cultural José Luis López Vázquez. Cuentacuentos. Duende Brinco y el libro de los cuentos. Asociación Educativa Alere,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=36a8dd08896a8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=17f633f9486a8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD
-3.658033350999972,40.452241660000027,9,9,7672478,Actividades infantiles. Centro Cultural San Juan Bautista (Ciudad Lineal). Noviembre 2014. Escondite /Amagatall,Sí,"L,M,X,J,V,S,D",28-11-2014,18:00,/contenido/actividades/ActividadesInfantiles,Actividades infantiles. Centro Cultural San Juan Bautista (Ciudad Lineal). Noviembre 2014. Escondite /Amagatall,Centro Cultural San Juan Bautista (Ciudad Lineal),http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8bf2e2df57ae8410VgnVCM2000000c205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d0a6ab1386ae8410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD
-3.654425938999964,40.46089276400005,10,10,7684071,Actividades para niños. Centro Cultural Carril del Conde (Hortaleza). Noviembre 2014,Sí,"L,M,X,J,V,S,D",02-11-2014,18:00,/contenido/actividades/CuentacuentosTiteresMarionetas,Actividades para niños. Centro Cultural Carril del Conde (Hortaleza). Noviembre 2014,Centro Cultural Carril del Conde (Hortaleza),http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c7e9a2206c219410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c799cc479e09410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD
