Año,Evento,Número de asistentes
2012,Conferencias de artes plásticas,3777
2012,Exposiciones Centro de Arte,16593
2012,Talleres de Cultura en Familia,863
2012,"Visitas guiadas ""Arte en la Ciudad""",675
2013,Conferencias de artes plásticas,3788
2013,Exposiciones Centro de Arte,25339
2013,Talleres de Cultura en Familia,777
2013,"Visitas guiadas ""Arte en la Ciudad""",639
2014,Conferencias de artes plásticas,4256
2014,Exposiciones Centro de Arte,37302
2014,Talleres de Cultura en Familia,371
2014,"Visitas guiadas ""Arte en la Ciudad""",1190
2015,Conferencias de artes plásticas,3894
2015,Exposiciones Centro de Arte,36667
2015,Talleres de Cultura en Familia,920
2015,"Visitas guiadas ""Arte en la Ciudad""",625
2016,Conferencias de artes plásticas,4390
2016,Exposiciones Centro de Arte,43159
2016,Talleres de Cultura en Familia,691
2016,"Visitas guiadas ""Arte en la Ciudad""",532
2017,Conferencias de artes plásticas,
2017,Exposiciones Centro de Arte,56056
2017,Talleres de Cultura en Familia,871
2017,"Visitas guiadas ""Arte en la Ciudad""",641
