NÈMERO CATµLOGO;CATALOGACI‡N PG97;CATALOGACI‡N A 27/07/18;BIC_BIP;DENOMINACI‡N;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
22490;No Catalogado;Ambiental;;INSTALACIONES MILITARES CAMPAMENTO: PICADERO CUBIERTO;;PASEO;EXTREMADURA;447;A;433794,14;4471026,34
25118;No Catalogado;Parcial;;;;CALLE;JORGE MANRIQUE;12;;441579,08;4477200,76
30652;No Catalogado;Parcial;;;;CALLE;VIEJA DE PINTO;17;;439816,55;4466550,88
22485;No Catalogado;Estructural;;;;CALLE;MENENDEZ PIDAL;3;B;442109,37;4478969,9
30653;No Catalogado;Estructural;;;;CALLE;OXIGENO;4;;439971,35;4466516,52
30651;No Catalogado;Ambiental;;;;PLAZA;MAYOR DE VILLAVERDE;4;;439929,88;4466551,94
30650;No Catalogado;Ambiental;;;;AVENIDA;REAL DE PINTO;18;;440005,67;4466535,98
04894;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;CABEZA;36;;440505,81;4473711,93
14980;Parcial;Desaparecido por demolici¢n total;;;;CALLE;GENERAL DIAZ PORLIER;83;;442604,02;4476006,11
06146;Parcial;Desaparecido por demolici¢n total;;;;CALLE;AGUILA;17;;439537,58;4473421,02
14982;Parcial;Ambiental;;;;CALLE;JUAN BRAVO;43;;442585,22;4475999,56
01244;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;SANTA BARBARA;1;;440544,64;4475079,36
15175;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;JOSE ORTEGA Y GASSET;73;;442910,53;4475694,45
04386;Parcial;Estructural;;;;CALLE;AMOR DE DIOS;17;;440740,26;4473770,98
04585;Parcial;Ambiental;;;;CALLE;ALMADEN;21;;441149,8;4473602,63
05891;Parcial;Integral;;;;CALLE;LUCIENTE;4;;439685,14;4473558,34
03809;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;CONDE DE ROMANONES;14;;440175,72;4473819,88
04678;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;MARQUES DE TOCA;10;;440924,33;4473496,09
20386;Parcial;Ambiental;;;;CALLE;PALOS DE LA FRONTERA;31;;441085,6;4472743,01
10249;Parcial;Ambiental;;;;CALLE;PABLO ARANDA;6;;441897,64;4477029,6
04904;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;OLMO;21;;440551,19;4473676,38
10871;Parcial;Descatalogado;;;;CALLE;BOIX Y MORER;20;;440103,9;4476957,39
01168;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;BALLESTA;20;;440332,72;4474828,99
05035;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;AMPARO;21;;440301,08;4473549,18
10870;Parcial;Descatalogado;;;;CALLE;BOIX Y MORER;18;;440103,07;4476949,42
15775;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;LAGASCA;46;;441873,27;4475240,97
05452;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;SOMBRERETE;3;;440449,05;4473360,01
05527;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;ESPINO;4;;440470,41;4473195,81
08662;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;MARTIN DE LOS HEROS;8;;439492,13;4475090,32
03845;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;CRUZ;20;;440422,75;4474087,81
