id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6369,"Rooftop terrace room with ensuite bathroom, Airc.",13660,Simon,Chamartín,Hispanoamérica,40.45628,-3.67763,Private room,70,3,64,2019-05-14,0.56,1,86
20185,CENTRAL MADRID.UP TO 10,76357,Francisco,Centro,Embajadores,40.41043,-3.70156,Entire home/apt,82,1,9,2011-09-13,0.08,8,364
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40341,-3.74084,Private room,17,4,33,2018-07-15,0.57,2,0
23148,MODERN.AMAZING.COLOURFUL.APARTMENT,76357,Francisco,Centro,Justicia,40.42174,-3.69945,Entire home/apt,76,1,17,2012-01-19,0.15,8,365
24805,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202,-3.70395,Entire home/apt,85,5,2,2017-07-03,0.04,1,358
24836,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.41995,-3.69764,Entire home/apt,115,3,63,2019-07-01,0.64,1,270
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985,-3.69011,Private room,25,2,134,2019-06-16,1.20,1,324
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552,-3.70346,Entire home/apt,65,5,167,2019-06-05,1.52,3,323
30478,Nice little room @ La Latina,130502,Patricia,Centro,Embajadores,40.40926,-3.70505,Private room,18,14,3,2015-07-17,0.04,3,354
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41111,-3.70269,Entire home/apt,54,3,8,2017-05-30,0.16,1,0
38209,"45M2, 2 BEDROOM BOHEMIAN APARTMENT",76357,Francisco,Centro,Embajadores,40.40824,-3.70042,Entire home/apt,70,1,1,2011-08-22,0.01,8,365
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,175752,Sofia,Centro,Justicia,40.41978,-3.6973,Entire home/apt,55,3,160,2019-06-24,1.47,1,262
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096,-3.70428,Entire home/apt,90,3,37,2019-06-17,0.35,3,354
59923,Habitación para féminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.41971,-3.71256,Private room,40,1,15,2019-05-09,0.16,1,311
60894,CENTRALLY LOCATED FLAT.GRAN VIA,76357,Francisco,Centro,Universidad,40.42387,-3.70184,Entire home/apt,55,1,35,2012-02-04,0.34,8,364
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.4208,-3.69878,Private room,45,1,56,2019-07-07,3.93,2,362
64131,Habitación Metro Lacoma,313365,Gina,Fuencarral - El Pardo,Peñagrande,40.48409,-3.72257,Private room,20,2,23,2019-06-22,0.42,2,364
70059,"PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright",353616,Diana,Centro,Universidad,40.42365,-3.70889,Entire home/apt,58,4,82,2019-05-21,0.80,3,118
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42321,-3.70143,Entire home/apt,65,28,18,2019-05-19,0.18,5,347
70315,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40.42138,-3.71101,Entire home/apt,80,28,3,2016-06-01,0.04,5,342
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40.42111,-3.7101,Entire home/apt,75,28,6,2019-01-02,0.12,5,347
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.41119,-3.7047,Entire home/apt,110,2,92,2019-06-13,0.90,4,176
72955,Madrid Apartment Prado Museum,378073,Alvaro,Centro,Cortes,40.41139,-3.69408,Entire home/apt,80,3,14,2019-06-24,0.24,9,162
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.41075,-3.70759,Entire home/apt,80,8,4,2019-06-21,0.17,1,32
75609,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40.40743,-3.69719,Entire home/apt,60,3,51,2019-05-30,0.58,1,192
76617,Plaza Comendadoras Lux,368907,Miguel,Centro,Universidad,40.42791,-3.70999,Entire home/apt,102,3,33,2019-06-23,0.35,3,159
82481,"Retiro Park, Stay at cosy studio ",448981,Mercedes,Salamanca,Recoletos,40.42315,-3.68279,Entire home/apt,60,3,108,2017-11-29,1.09,1,0
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40865,-3.70534,Entire home/apt,50,3,178,2019-06-16,1.79,1,59
86042,Cozy attic flat with intimate rooftop terrace,364585,Vin,Centro,Embajadores,40.40894,-3.69766,Entire home/apt,100,2,137,2019-06-23,1.40,4,178
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42422,-3.69538,Private room,50,2,86,2019-06-09,0.87,1,332
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42462,-3.70352,Private room,32,1,584,2019-06-30,5.87,3,336
96807,"double room, bathroom",513331,Mark´S,Puente de Vallecas,Palomeras Bajas,40.38318,-3.65565,Private room,30,4,77,2019-07-07,0.78,4,365
100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40.50116,-3.67119,Entire home/apt,60,2,3,2016-06-24,0.08,1,0
101507,NICE FLAT IN THE CENTER OF MADRID,5795235,Elise,Centro,Embajadores,40.40858,-3.70301,Entire home/apt,65,3,56,2019-06-29,0.80,5,246
102040,Nice Single Room with wifi.,533936,Carlos Alberto,Ciudad Lineal,Pueblo Nuevo,40.43331,-3.64355,Private room,20,3,0,,,1,69
102091,Family Apartment Two Bedrooms& Two Bathroom,534128,Laura,Chamberí,Trafalgar,40.43158,-3.70071,Entire home/apt,194,3,8,2017-07-04,0.08,12,311
102194,CHIC APARTMENT CHUECA WiFi & AC,534515,Guillermo,Centro,Justicia,40.42153,-3.69923,Entire home/apt,95,2,17,2019-04-10,0.17,1,365
103541,CENTRAL AND COMFORT APTO. W/PARKING,361930,Maria,Chamberí,Almagro,40.43761,-3.69802,Entire home/apt,75,2,163,2019-06-23,1.67,4,318
109369,RENT ROOM FOR DAYS/ALQUILER HABITACION LUMINOSA,564773,Eva,Fuencarral - El Pardo,Pilar,40.48313,-3.71017,Private room,40,1,8,2019-06-13,0.89,1,341
112650,Madrid center 2 rooms 4 people,574498,Fernando,Centro,Universidad,40.42707,-3.70698,Entire home/apt,75,4,39,2019-06-04,0.74,1,40
114854,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamberí,Rios Rosas,40.43825,-3.69388,Entire home/apt,75,2,101,2019-05-29,1.07,4,243
117919,"Huge, perfect location, AC...!!",557423,Yacob,Centro,Embajadores,40.40743,-3.69828,Entire home/apt,57,3,426,2019-06-23,4.31,1,5
119389,Madrid Apartment Latina,378073,Alvaro,Centro,Palacio,40.40958,-3.71042,Entire home/apt,90,3,70,2019-05-27,0.74,9,162
120293,ROOM IN THE CENTER -LA LATINA- WIFI,605612,Ulises,Centro,Palacio,40.41112,-3.71025,Private room,35,1,180,2019-06-30,1.87,7,356
