id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
120762,SHINY ROOM in DOWNTOWN / MALASAÑA!!,606925,Noelia,Centro,Universidad,40.42381,-3.70571,Private room,29,1,212,2019-06-27,2.14,3,270
123864,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,605612,Ulises,Centro,Embajadores,40.4112,-3.70762,Entire home/apt,43,1,507,2019-06-13,5.19,7,210
127819,140 m2 Architect flat center Madrid,632589,Janasor,Centro,Cortes,40.41466,-3.70162,Entire home/apt,200,2,63,2019-06-28,0.76,1,221
132428,Habitacion en Anton Martin,650803,Jose Luis,Centro,Embajadores,40.41034,-3.69836,Private room,30,2,76,2019-06-30,2.98,1,355
136058,"Calm, affordable room in Madrid.",666482,Cinthia,Villaverde,Los Angeles,40.35735,-3.69634,Private room,21,1,72,2018-12-16,0.74,1,160
150123,LOFT ELOISA,723539,Eloisa,Centro,Embajadores,40.40672,-3.70116,Entire home/apt,80,2,20,2019-07-01,0.52,9,81
153798,Apartamento a 20 min del aeropuerto.,739627,Isabel,Hortaleza,Pinar del Rey,40.47851,-3.64418,Private room,40,1,2,2019-06-16,1.82,1,363
154224,NICE FLAT SANTA ANA.45m2 WIFI (A),740087,Jesus&Sonia,Centro,Cortes,40.41493,-3.70105,Entire home/apt,69,3,81,2019-07-10,0.99,8,39
163429,Centrical loft in Madrid (Chamberi),780107,Sonia,Chamberí,Arapiles,40.43628,-3.70526,Entire home/apt,65,90,8,2019-03-17,0.08,1,362
169719,IN THE HEART OF MADRID WITH BALCONY,805726,Patricia,Centro,Cortes,40.41515,-3.70003,Private room,25,2,63,2019-06-09,0.65,4,326
170750,2-bedroom attic & rooftop terrace,814490,Rafael,Centro,Universidad,40.42481,-3.70374,Entire home/apt,90,25,190,2018-12-09,2.03,3,177
172348,IFEMA POOL ARTURO SORIA,584351,Pablo,San Blas - Canillejas,Salvador,40.44575,-3.63801,Entire home/apt,75,90,13,2018-06-24,0.16,5,221
176826,Habitacion 6,845399,Daniel,Centro,Universidad,40.4215,-3.70345,Private room,60,1,41,2019-03-30,0.49,12,364
176827,Habitacion 2,845399,Daniel,Centro,Universidad,40.42342,-3.70487,Private room,60,1,192,2019-02-17,2.12,12,356
177500,Fuencarral studio A,596469,Gabriel Avalos,Centro,Universidad,40.42762,-3.70323,Entire home/apt,80,5,24,2019-06-28,0.28,30,363
177523,Fuencarral Studio A1,596469,Gabriel Avalos,Centro,Universidad,40.42902,-3.70398,Entire home/apt,80,5,10,2017-11-07,0.11,30,365
177846,"HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ",850654,Laila,Centro,Universidad,40.42445,-3.70532,Private room,23,3,60,2019-06-19,0.62,3,363
177850,Small room in  center of madrid in Malasaña,850654,Laila,Centro,Universidad,40.42623,-3.70462,Private room,19,2,93,2017-12-10,1.01,3,354
179282,GRAN VIA STUDIO.UP TO 4 PEOPLE,76357,Francisco,Centro,Universidad,40.42143,-3.70449,Entire home/apt,55,1,6,2012-01-04,0.06,8,362
183309,CENTRAL REFURBISHED XIX CENTURY FLAT,877571,Lidia,Centro,Justicia,40.42397,-3.69463,Entire home/apt,90,1,6,2017-08-29,0.08,5,0
183346,ROOM IN CENTRAL REFURBISH FLAT,877571,Lidia,Centro,Justicia,40.42339,-3.69475,Private room,30,1,12,2016-05-29,0.17,5,0
183353,ROOM IN CENTRAL GENUINE CHARMINFLAT,877571,Lidia,Centro,Justicia,40.42259,-3.69394,Private room,30,1,40,2016-09-24,0.45,5,0
183435,CENTRAL REFURBISHED GENUINE XIXFLAT,877571,Lidia,Centro,Justicia,40.42396,-3.69545,Entire home/apt,89,1,0,,,5,0
191661,PLAZA MAYOR LOFT the genuine Madrid,927343,Jose,Centro,Sol,40.41516,-3.70731,Entire home/apt,70,3,202,2019-06-20,2.13,3,288
196197,Views of San Andres Baroque from a Central Madrid Apartment,852616,Meyling,Centro,Palacio,40.41088,-3.71098,Entire home/apt,75,3,235,2019-06-27,2.46,2,121
199016,Room in central top floor with 2 terraces,967721,Santi,Centro,Universidad,40.42538,-3.70505,Private room,25,1,23,2019-02-05,0.47,2,343
199201,"Converted theatre, historic centre",749212,Henrietta,Centro,Embajadores,40.41392,-3.70356,Private room,75,3,141,2019-06-17,1.48,1,269
200828,"FRENTE MAR, ZONA CALAS. PISCINA.",75944,Maite,Salamanca,Castellana,40.43186,-3.68515,Entire home/apt,140,7,0,,,1,119
201033,Shiny Room in Malasaña II/Center,606925,Noelia,Centro,Universidad,40.42384,-3.70686,Private room,40,1,43,2019-06-02,0.45,3,350
204570,Lovely 110m2 home - BEST LOCATION !,1004721,Alex,Centro,Cortes,40.41476,-3.69531,Entire home/apt,140,7,97,2019-06-30,1.02,1,363
205199,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42063,-3.70539,Entire home/apt,85,3,263,2019-06-23,2.76,2,288
207275,Bedroom with views ,124972,Luisa,Moncloa - Aravaca,Argüelles,40.42973,-3.72118,Private room,30,7,6,2019-02-07,0.07,7,365
209373,Attic in the Heart of Madrid-WIFI ,1031664,José,Centro,Embajadores,40.41273,-3.70324,Private room,30,25,32,2019-01-31,0.35,1,124
209780,The Mad B&B - Cool 3BD with Wifi & AC,669927,Diana,Carabanchel,Puerta Bonita,40.37987,-3.73215,Entire home/apt,95,2,170,2019-07-01,1.81,1,201
211444,Relax in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45856,-3.64811,Private room,55,2,93,2019-06-21,0.99,1,296
214000,Emblematic Plaza CHUECA. Quiet. Spacious. Design,927343,Jose,Centro,Justicia,40.42333,-3.69705,Entire home/apt,95,4,145,2019-06-09,1.54,3,311
217674,PENTH. PLAZA MAYOR ROOFTOP TERRACE,1732442,Anouk,Centro,Sol,40.41601,-3.70853,Entire home/apt,145,4,189,2019-06-10,2.03,12,348
219303,*** Malasaña B&B exterior***,499977,Charo,Centro,Universidad,40.42348,-3.70336,Private room,29,1,163,2019-07-09,1.73,3,344
224571,"RIGHT WHERE YOU  WANT TO BE+PC,WIFI",1168897,Carol,Centro,Embajadores,40.40916,-3.70799,Entire home/apt,75,365,8,2013-09-12,0.09,1,365
225462,Bright silent room in the center,1174648,Rebeca,Centro,Cortes,40.41518,-3.6998,Private room,30,2,140,2019-07-09,1.53,1,259
225489,Madrid City Center. Room for 1 or 2 people.,1172225,Eva,Chamberí,Arapiles,40.43423,-3.70703,Private room,25,4,56,2019-06-14,0.69,3,325
229664,Beautiful cozy loft madrid center,1130651,Sergio,Centro,Embajadores,40.40881,-3.70092,Entire home/apt,55,2,459,2019-06-23,4.86,3,343
231861,COMFORTABLE ROOM IN A GREAT AREA!!!,1212528,Silvia,Chamberí,Trafalgar,40.43684,-3.70225,Private room,30,1,0,,,1,88
240128,CHEAP  ROOM ONLY GIRLS OR COUPLES,630482,Raquel,Carabanchel,San Isidro,40.39376,-3.72483,Private room,25,5,76,2017-07-07,0.81,1,223
248918,BEAUTIFUL 1 BEDROOM FLAT. CENTRAL,76357,Francisco,Centro,Embajadores,40.4093,-3.7038,Entire home/apt,55,1,1,2012-01-03,0.01,8,365
256004,CASA ARCO CUCHILLEROS-BOTIN,1732442,Anouk,Centro,Sol,40.41523,-3.7065,Entire home/apt,80,2,130,2019-06-14,1.46,12,353
259249,2-bedroom flat right in the center.,814490,Rafael,Centro,Universidad,40.42586,-3.71049,Entire home/apt,50,15,86,2017-01-04,1.00,3,306
260656,Quiet duplex apartment in Lavapiés,1367452,Javier,Centro,Embajadores,40.40814,-3.70171,Entire home/apt,83,5,35,2019-06-14,0.39,1,264
260951,"Spectacular Loft ""A"" Ifema  Madrid",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47088,-3.62866,Entire home/apt,137,2,117,2019-06-21,1.33,4,335
261878,GREAT STUDIO! BEST REVIEWS! CENTRAL,1373873,Al,Centro,Universidad,40.42325,-3.70183,Entire home/apt,74,1,429,2019-06-25,4.61,1,45
261959,"ROOM WITH TV, PHONO,WIFI MADRID",1374415,Icar M.,Tetuán,Berruguete,40.45509,-3.70286,Private room,28,1,30,2016-11-27,0.32,2,71
263748,"LOFT ""C"" modern design loft IFEMA",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47198,-3.62952,Entire home/apt,58,2,95,2019-06-07,1.12,4,274
264054,"SINGULAR BUILDING, 5 FLOORS  250m2",1370007,Alvaro,Centro,Universidad,40.4262,-3.70319,Entire home/apt,480,2,16,2019-05-19,0.18,1,347
268275,Madrid center with balconies,1406073,Jose Antonio,Centro,Embajadores,40.41236,-3.70284,Entire home/apt,75,2,58,2019-04-08,0.64,1,320
280733,Gran Via apartment I,596469,Gabriel Avalos,Centro,Universidad,40.42419,-3.70835,Entire home/apt,90,5,27,2019-06-03,0.37,30,329
281224,UNIQUE in Opera Royal Palace!!!,1466005,Pe,Centro,Palacio,40.41635,-3.70986,Entire home/apt,72,2,81,2019-07-07,2.37,1,361
282195,Winter Offer 40m2 Wifi. Centre O,740087,Jesus&Sonia,Centro,Cortes,40.41365,-3.70072,Entire home/apt,59,3,34,2019-07-06,0.46,8,30
282196,"COZY FLAT, SANTA ANA,40m2,WIFI (I)",740087,Jesus&Sonia,Centro,Cortes,40.41454,-3.70121,Entire home/apt,59,3,60,2019-06-18,0.68,8,36
282715,"Cozy and Luxury penthouse, Madrid",1473247,Marta,Salamanca,Recoletos,40.42688,-3.6852,Entire home/apt,169,2,93,2019-07-08,1.07,1,291
283862,"CENTER
HISTORICAL, SOL, DUPLEX",1478367,Amalia,Centro,Sol,40.4179,-3.70819,Entire home/apt,85,1,25,2019-06-29,0.53,1,91
287660,Beatiful downtown room with balcony,1496188,Juanpe,Centro,Universidad,40.42555,-3.71087,Private room,30,1,11,2014-11-08,0.12,2,0
289555,Casa Museo del Prado-Private room.,901218,Myrko,Centro,Cortes,40.4176,-3.69808,Private room,48,2,164,2019-07-06,2.31,33,355
294520,rented room in the center of madrid,1522694,Isdel Pablo,Centro,Justicia,40.42283,-3.70064,Private room,60,2,16,2019-07-07,0.30,4,52
294529,Centro de Madrid. Room 3,1522694,Isdel Pablo,Centro,Justicia,40.42203,-3.69898,Private room,43,4,51,2019-06-13,0.56,4,365
296111,Habitacion 1,845399,Daniel,Centro,Universidad,40.4215,-3.70536,Private room,60,1,22,2019-06-02,0.27,12,362
296191,Room Callao Madrid center,845399,Daniel,Centro,Universidad,40.42288,-3.7034,Private room,60,1,10,2012-12-14,0.11,12,365
297017,Charming Prado Luxury,4677030,Jaime,Centro,Cortes,40.41472,-3.69533,Entire home/apt,110,3,37,2019-05-22,0.87,13,114
310333,"Central, cute & Art Apartment",1596220,Paloma,Centro,Embajadores,40.40779,-3.69614,Entire home/apt,80,3,85,2019-07-02,1.02,1,330
310678,Precioso apartamento en Gran Via,1598163,Soledad,Centro,Universidad,40.42248,-3.70891,Entire home/apt,68,3,293,2019-06-30,3.23,1,77
315682,QUIET and SPACIOUS .  Heart of Malasaña.Madrid.,1095831,Rosalind  & Tino,Centro,Universidad,40.42579,-3.70526,Entire home/apt,155,3,194,2019-07-07,2.19,4,345
316711,"OPERA, PALACIO REAL, CENTRO, SOL",162701,Nacho,Centro,Palacio,40.42027,-3.70755,Private room,23,15,14,2016-10-05,0.36,1,343
318826,Wonderful apartment. JUST REMODELED,1636378,Francisco Tomas,Latina,Aluche,40.39382,-3.75871,Entire home/apt,90,6,13,2019-04-15,0.15,1,307
322548,Terrace La Latina,1650712,Ximena,Centro,Embajadores,40.4112,-3.70741,Entire home/apt,84,2,28,2019-03-03,0.42,25,319
333974,Winter froml 34€per.Centric.Wifi E,740087,Jesus&Sonia,Centro,Cortes,40.41433,-3.70123,Entire home/apt,59,3,54,2019-06-29,0.65,8,30
334281,Heart of Madrid - 2 bedroom flat,1702905,Sió,Centro,Embajadores,40.41059,-3.7034,Entire home/apt,75,3,215,2019-07-02,2.54,1,307
336672,Great apartment ∞4 rooms∞ close to City Center,1716726,Jesús,Arganzuela,Delicias,40.39548,-3.69392,Entire home/apt,115,2,39,2019-07-01,2.02,5,80
336834,2 bedroom apartament in Chueca-Fuen,1713427,Helena,Centro,Justicia,40.42295,-3.69552,Entire home/apt,63,5,41,2019-07-01,0.46,1,173
336869,Direct to Plaza Mayor!,1713524,Oliver,Centro,Sol,40.41452,-3.70774,Private room,100,2,105,2018-10-09,1.20,2,0
337209,DISCOVER MADRID CENTRAL AREA WIFI,1714541,Ignacio,Retiro,Pacífico,40.4065,-3.67233,Private room,26,2,156,2019-06-11,1.87,9,145
337292,Principe de Vergara. Homey Room,1714866,Francisco,Chamartín,Ciudad Jardín,40.44859,-3.67746,Private room,35,2,7,2017-04-18,0.09,1,52
339144,COZY APARTMENT MADRID MALASAÑA,1721158,Pau&Patricia,Centro,Universidad,40.42836,-3.7056,Entire home/apt,70,20,123,2016-06-25,1.39,2,334
339171,PRADO MUSEUM AIR & OnSiteParking (*),1722284,Cesar,Centro,Cortes,40.41281,-3.6956,Entire home/apt,82,3,146,2019-06-18,1.66,2,167
339751,Madrid Centro 1to6 people Metro Bus wifi.TWO ROOMS,1721232,Juan Manuel,Latina,Puerta del Angel,40.40713,-3.73971,Private room,22,2,94,2019-07-07,2.31,1,142
341939,Self-catering Apartment in Madrid,1694537,Miguel Angel & Iaia,Centro,Embajadores,40.41047,-3.70207,Entire home/apt,55,3,163,2019-05-28,1.82,1,280
342095,Lovely apartment CENTRAL MADRID !,1703448,Elena,Centro,Embajadores,40.40872,-3.69919,Entire home/apt,78,3,31,2019-05-27,0.36,2,322
342557,Berlin's Park at your window. Parking included.,1738288,Jose Angel,Chamartín,Ciudad Jardín,40.44931,-3.67424,Private room,75,2,52,2019-06-03,0.75,1,365
342670,beautiful apartament & cozy terrace,1738846,Carlos,Arganzuela,Palos de Moguer,40.40522,-3.69454,Entire home/apt,65,3,29,2019-06-03,0.35,1,101
342952,Special price 29€ per.Center.Wifi U,740087,Jesus&Sonia,Centro,Cortes,40.4144,-3.70126,Entire home/apt,59,3,96,2019-06-08,1.10,8,34
344043,AC Charming attic.Perfect location,1745198,Mónica,Centro,Cortes,40.41205,-3.69542,Entire home/apt,110,2,225,2019-06-26,2.61,1,12
345195,DUPLO Heart of Madrid/Malasaña,1095831,Rosalind  & Tino,Centro,Universidad,40.42371,-3.70393,Entire home/apt,81,3,4,2019-04-11,0.05,4,348
345230,GOYA (Website hidden by Airbnb) of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.4238,-3.70467,Private room,70,3,4,2019-04-11,0.07,4,349
345233,MIRO (Website hidden by Airbnb) of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.42359,-3.70396,Private room,70,3,4,2018-12-15,0.06,4,349
345249,CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT,1751133,The Punset Family,Tetuán,Almenara,40.47293,-3.68945,Entire home/apt,160,2,27,2018-10-19,0.35,2,292
347510,Classy Central Family Alcalá Deluxe,1751133,The Punset Family,Salamanca,Guindalera,40.4302,-3.66484,Entire home/apt,140,2,41,2018-10-08,0.47,2,337
353713,PRIVATE ROOM. HEART OF MADRID.,1791341,Rosario,Centro,Palacio,40.41935,-3.71162,Private room,44,3,299,2019-06-24,5.10,2,73
353746,CENTRIC APT. MALSAÑA & CHUECA,1791341,Rosario,Centro,Universidad,40.42723,-3.70959,Entire home/apt,70,3,126,2019-06-25,2.70,2,103
354838,Entire apartment Plaza de España!,1496188,Juanpe,Centro,Universidad,40.42479,-3.70896,Entire home/apt,70,20,38,2018-07-03,0.43,2,0
356344,Gran Via Valverde IV,1803498,Skyline Apartments,Centro,Universidad,40.42113,-3.70181,Entire home/apt,215,3,29,2019-01-02,0.33,8,359
361053,"Cozy, luminous  excellenty placed",1729503,Ana,Retiro,Niño Jesús,40.40976,-3.67544,Entire home/apt,100,2,136,2019-06-25,1.54,3,101
361488,RETIRO PARK2 CHALET INDUSTRIAL-CHIC,1732442,Anouk,Retiro,Niño Jesús,40.40908,-3.67313,Entire home/apt,3000,5,0,,,12,0
363476,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,Sol,40.4175,-3.70676,Private room,49,2,348,2019-06-26,3.95,1,300
370815,Beautiful light attic! very central,1868359,Anna,Centro,Embajadores,40.41177,-3.69985,Entire home/apt,70,2,156,2019-03-19,1.77,1,38
372596,Gran Via Sol Montera II,1803498,Skyline Apartments,Centro,Sol,40.41889,-3.70116,Entire home/apt,150,3,11,2019-06-16,0.18,8,364
374465,ROOM  IN MADRID CENTRAL AREA,1714541,Ignacio,Retiro,Pacífico,40.40573,-3.67396,Private room,26,2,54,2019-05-28,0.62,9,155
375472,Host family in the center of Madrid,1888816,Margarita Y María,Arganzuela,Acacias,40.40266,-3.70374,Private room,24,6,136,2019-06-22,1.63,4,79
376232,Gran Via Sol Montera I,1803498,Skyline Apartments,Centro,Sol,40.41906,-3.70103,Entire home/apt,80,3,10,2018-09-12,0.12,8,339
376379,Great Studio for Rent in Madrid,1892467,Laura,Centro,Embajadores,40.40995,-3.6971,Entire home/apt,50,3,16,2019-04-22,0.24,3,210
377151,private house in elegant neiborhood,1895571,Lola,Salamanca,Fuente del Berro,40.42258,-3.66275,Private room,30,2,28,2019-06-25,0.40,1,37
378899,Your home in Madrid!,1902834,Enric,Arganzuela,Palos de Moguer,40.40442,-3.69256,Entire home/apt,70,5,28,2018-07-15,0.32,1,69
381679,Opera Royal Palace large groups,1719263,Leticia,Centro,Palacio,40.41593,-3.71118,Entire home/apt,180,3,32,2019-06-02,0.51,3,52
396532,"Apart. 25mts from Gran Via,exterior",1981346,Daniel,Centro,Universidad,40.42182,-3.70389,Entire home/apt,105,2,114,2019-06-02,1.31,1,159
397778,PUERTA DEL SOL VI - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41456,-3.70437,Entire home/apt,77,3,30,2019-04-13,0.40,56,318
398450,a special place with special views,2150362,Nuria,Centro,Universidad,40.4268,-3.71036,Entire home/apt,54,3,203,2019-07-01,2.32,1,267
399140,ATOCHA II - MADRID CITY CENTRE,1408525,Mad4Rent,Arganzuela,Palos de Moguer,40.40642,-3.6951,Entire home/apt,66,3,30,2019-06-10,0.37,56,282
400139,"Nice double room, near every where",1893660,Felipe,Retiro,Estrella,40.40782,-3.66904,Private room,21,29,137,2019-05-29,1.59,1,40
400279,DUPLEX 20% OFF!  last week. WIFI-AC,848461,Gabriel,Centro,Embajadores,40.40795,-3.70279,Entire home/apt,250,1,156,2019-06-02,1.77,1,90
402588,PUERTA DEL SOL l - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41596,-3.70302,Entire home/apt,82,3,124,2019-05-28,1.61,56,279
404569,GRAN VIA  -  Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Universidad,40.42342,-3.70454,Entire home/apt,88,3,38,2019-05-11,0.71,56,360
405037,Plaza Castilla 4 Torres,1803498,Skyline Apartments,Tetuán,Valdeacederas,40.46538,-3.69766,Entire home/apt,95,3,0,,,8,348
405677,Gran Via Grilo,1803498,Skyline Apartments,Centro,Universidad,40.42435,-3.70831,Entire home/apt,95,3,1,2015-10-11,0.02,8,364
405786,PLAZA DE LA CEBADA  -  SPACIOUS,1408525,Mad4Rent,Centro,Palacio,40.41043,-3.70944,Entire home/apt,85,5,11,2019-06-24,0.17,56,355
406341,"Quiet downtown Madrid, nearby all",2024487,Fernando,Salamanca,Goya,40.42823,-3.67776,Private room,24,3,109,2019-06-16,1.24,1,243
406697,Lovely & Cozy Apartment Center,1973909,Jose Y Ana,Centro,Cortes,40.41262,-3.69882,Entire home/apt,56,2,383,2019-03-23,4.34,1,0
410699,80m2 spacious bright loft apartment,2044655,Sylvia,Centro,Sol,40.41736,-3.70012,Entire home/apt,155,3,137,2019-07-01,1.56,6,262
413240,An oasis in the city of Madrid,2056009,Irma,Chamartín,Hispanoamérica,40.45337,-3.67086,Private room,48,2,94,2019-03-17,1.08,1,344
414763,LATINA - lV - STUDIO MADRID CENTRE,1408525,Mad4Rent,Centro,Palacio,40.41282,-3.70749,Entire home/apt,66,3,26,2019-06-27,0.32,56,298
415967, LAVAPIES CLASSY (CENTER TOWN),2068619,Alfonso,Centro,Embajadores,40.40781,-3.70245,Entire home/apt,75,2,153,2019-05-27,1.73,1,0
420039,Bonito estudio en pleno centro,9934732,Fernando Javier,Centro,Universidad,40.42602,-3.70502,Entire home/apt,38,1,567,2019-06-18,6.56,5,278
