MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
4746805;SITUADOS_APARCABICICLETAS - CALLE BOHEMIOS 16;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;14/03/18;CALLE;LOS BOHEMIOS;16;31009944;
4746836;SITUADO_APARCABICICLETAS -  CENTRO DE BACHILLERATO VALDECAS;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;OPERATIVO;15/03/18;CALLE;JAVIER DE MIGUEL;32;11094943;
4747303;SITUADO_APARCABICICLETAS -  OFICINA DE ATENCION AL CIUDADANO;13;PUENTE DE VALLECAS;132;SAN DIEGO;OPERATIVO;12/03/18;AVENIDA;ALBUFERA;42;11091966;
4748550;Situado Aparcabicicletas CENTRO DEPORTIVO MUNICIPAL CIUDAD DE LOS POETAS;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;;CALLE;ANTONIO MACHADO;14 A;20104474;
4748551;Situado Aparcabicicletas MERCADO DE VALDEZARZA;09;MONCLOA-ARAVACA;094;VALDEZARZA;OPERATIVO;;CALLE;ANTONIO MACHADO;14 A;20104474;
226835;Situado Aparcabicicletas COLEGIO PUBLICO MONTE EL PARDO;08;FUENCARRAL-EL PARDO;081;EL PARDO;OPERATIVO;;AVENIDA;GUARDIA;19;31022099;
4749607;SITUADOS_APARCABICICLETAS -  AVENIDA DE LOS ROSALES 135;17;VILLAVERDE;173;BUTARQUE;OPERATIVO;03/04/18;AVENIDA;LOS ROSALES;135;31045500;
4749612;SITUADOS_APARCABICICLETAS - DENTRO PARQUE PLATA Y CASTAÑAR;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;OPERATIVO;03/04/18;Paseo;Plata y Castanar;5;;
4749613;SITUADOS_APARCABICICLETAS - CALLE DE LA CANCION DEL OLVIDO 46;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;03/04/18;CALLE;LA CANCION DEL OLVIDO;46;11129066;
4749614;SITUADOS_APARCABICICLETAS - CALLE DE LA CANCION DEL OLVIDO 42;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;03/04/18;CALLE;LA CANCION DEL OLVIDO;42;11129064;
