"uri","description","distribution > byte size","distribution > title","distribution > uri","distribution > type","distribution > type > uri","distribution > uri","distribution > access URL","distribution > access URL > uri","distribution > uri","identifier","issued","modified","publisher","publisher > uri","theme","theme > uri","title","type","type > uri"
"http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas","Información relativa a la cantidad de peatones y bicicletas correspondientes a diferentes calles en diferentes días y horas de la semana.  Se realizan mediciones en determinadas calles en puntos concretos con periodicidad diaria cada 15 minutos.   Otros conjuntos de datos que pueden tener relación con este son:    Aforos de tráfico de la Ciudad de Madrid no permanentes    Aforos de tráfico de la Ciudad de Madrid permanentes .","15854592","2019. Peatones","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/20712582-14d9-4be9-9c8c-d073ea2f3600",,"http://www.w3.org/ns/dcat#Distribution","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/20712582-14d9-4be9-9c8c-d073ea2f3600","300321-0-aforos-peatones-bicicletas.xlsx","https://datos.madrid.es/egob/catalogo/300321-0-aforos-peatones-bicicletas.xlsx","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/20712582-14d9-4be9-9c8c-d073ea2f3600","https://datos.madrid.es/egob/catalogo/300321-0-aforos-peatones-bicicletas","2019-03-26T13:43:22+01:00","2019-07-17T09:51:54+02:00","L01280796","http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796","transporte","http://datos.gob.es/kos/sector-publico/sector/transporte","Aforos de peatones y bicicletas",,"http://www.w3.org/ns/dcat#Dataset"
"http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas","Información relativa a la cantidad de peatones y bicicletas correspondientes a diferentes calles en diferentes días y horas de la semana.  Se realizan mediciones en determinadas calles en puntos concretos con periodicidad diaria cada 15 minutos.   Otros conjuntos de datos que pueden tener relación con este son:    Aforos de tráfico de la Ciudad de Madrid no permanentes    Aforos de tráfico de la Ciudad de Madrid permanentes .","25866240","2019. Bicicletas","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/854afa8f-6e2b-440e-a33b-85683a55a69a",,"http://www.w3.org/ns/dcat#Distribution","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/854afa8f-6e2b-440e-a33b-85683a55a69a","300321-2-aforos-peatones-bicicletas.xlsx","https://datos.madrid.es/egob/catalogo/300321-2-aforos-peatones-bicicletas.xlsx","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/854afa8f-6e2b-440e-a33b-85683a55a69a","https://datos.madrid.es/egob/catalogo/300321-0-aforos-peatones-bicicletas","2019-03-26T13:43:22+01:00","2019-07-17T09:51:54+02:00","L01280796","http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796","transporte","http://datos.gob.es/kos/sector-publico/sector/transporte","Aforos de peatones y bicicletas","Dataset","http://www.w3.org/ns/dcat#Dataset"
"http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas","Información relativa a la cantidad de peatones y bicicletas correspondientes a diferentes calles en diferentes días y horas de la semana.  Se realizan mediciones en determinadas calles en puntos concretos con periodicidad diaria cada 15 minutos.   Otros conjuntos de datos que pueden tener relación con este son:    Aforos de tráfico de la Ciudad de Madrid no permanentes    Aforos de tráfico de la Ciudad de Madrid permanentes .","72165376","2019. Bicicletas","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/db3d9e53-c6db-45ef-b291-831fff7c7205",,"http://www.w3.org/ns/dcat#Distribution","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/db3d9e53-c6db-45ef-b291-831fff7c7205","300321-3-aforos-peatones-bicicletas.csv","https://datos.madrid.es/egob/catalogo/300321-3-aforos-peatones-bicicletas.csv","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/db3d9e53-c6db-45ef-b291-831fff7c7205","https://datos.madrid.es/egob/catalogo/300321-0-aforos-peatones-bicicletas","2019-03-26T13:43:22+01:00","2019-07-17T09:51:54+02:00","L01280796","http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796","transporte","http://datos.gob.es/kos/sector-publico/sector/transporte","Aforos de peatones y bicicletas","Dataset","http://www.w3.org/ns/dcat#Dataset"
"http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas","Información relativa a la cantidad de peatones y bicicletas correspondientes a diferentes calles en diferentes días y horas de la semana.  Se realizan mediciones en determinadas calles en puntos concretos con periodicidad diaria cada 15 minutos.   Otros conjuntos de datos que pueden tener relación con este son:    Aforos de tráfico de la Ciudad de Madrid no permanentes    Aforos de tráfico de la Ciudad de Madrid permanentes .","36711424","2019. Peatones","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/f695f417-8c52-410b-827c-e5a2e8a9981a",,"http://www.w3.org/ns/dcat#Distribution","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/f695f417-8c52-410b-827c-e5a2e8a9981a","300321-1-aforos-peatones-bicicletas.csv","https://datos.madrid.es/egob/catalogo/300321-1-aforos-peatones-bicicletas.csv","http://datos.gob.es/catalogo/l01280796-aforos-de-peatones-y-bicicletas/resource/f695f417-8c52-410b-827c-e5a2e8a9981a","https://datos.madrid.es/egob/catalogo/300321-0-aforos-peatones-bicicletas","2019-03-26T13:43:22+01:00","2019-07-17T09:51:54+02:00","L01280796","http://datos.gob.es/recurso/sector-publico/org/Organismo/L01280796","transporte","http://datos.gob.es/kos/sector-publico/sector/transporte","Aforos de peatones y bicicletas","Dataset","http://www.w3.org/ns/dcat#Dataset"
