FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/07/19;ES26;2=;262;322;288;309;241;233;344;303;277;244;147;114
01/07/19;ES27;1-;362;237;160;143;185;410;1389;898;1384;1675;1694;1683
01/07/19;ES27;1=;1644;1549;1395;1544;1655;1619;1593;1596;1508;1059;910;819
01/07/19;ES27;2-;372;323;254;281;324;551;1021;1054;1098;1116;1200;1332
01/07/19;ES27;2=;1262;1394;1346;1136;1272;1277;1198;1095;916;755;709;856
01/07/19;ES28;1-;107;87;42;42;103;328;722;804;835;819;770;891
01/07/19;ES28;1=;909;1167;1117;862;1007;1128;1052;810;610;426;329;194
01/07/19;ES28;2-;163;72;47;60;186;658;1428;1594;1539;1297;986;1041
01/07/19;ES28;2=;1082;1079;992;988;1027;1066;957;798;701;492;332;198
01/07/19;ES29;1-;531;340;235;217;473;1238;2445;2563;2431;2313;2217;2178
01/07/19;ES29;1=;2261;2389;2151;2116;2194;2286;2179;2059;1726;1329;1095;828
01/07/19;ES29;2-;466;244;0;142;310;851;1975;2239;2349;2319;2265;2190
01/07/19;ES29;2=;2145;2162;2027;2119;2218;2340;2436;2090;1798;1306;1001;747
01/07/19;ES30;1-;116;68;46;36;43;120;286;449;471;572;525;554
01/07/19;ES30;1=;595;580;536;543;495;517;579;580;475;423;283;229
01/07/19;ES30;2-;247;94;73;140;111;294;785;920;874;1240;1115;905
01/07/19;ES30;2=;920;880;778;790;730;885;837;871;691;570;295;217
01/07/19;ES31;1-;77;64;47;41;25;42;50;168;244;281;255;315
01/07/19;ES31;1=;320;367;403;313;274;255;287;318;320;278;164;137
01/07/19;ES31;2-;73;58;24;27;16;40;72;216;451;504;358;322
01/07/19;ES31;2=;295;273;250;261;274;275;300;258;220;197;119;75
01/07/19;ES32;1-;158;102;73;73;92;284;697;729;939;829;776;736
01/07/19;ES32;1=;747;701;596;591;673;726;688;664;622;490;393;298
01/07/19;ES32;2-;195;115;74;57;78;152;267;368;319;481;543;606
01/07/19;ES32;2=;627;658;671;633;631;585;642;637;546;433;338;248
01/07/19;ES33;1-;232;113;58;73;69;133;519;1815;1899;1852;526;1149
01/07/19;ES33;1=;1219;1118;1352;1270;1126;1085;1222;1187;1054;904;622;389
01/07/19;ES33;2-;251;96;62;42;39;59;173;628;1158;930;739;655
01/07/19;ES33;2=;697;780;1145;1372;1244;1197;1366;1249;1029;741;439;265
01/07/19;ES34;1-;127;104;121;140;99;182;311;336;523;366;332;530
01/07/19;ES34;1=;291;437;224;291;274;435;445;400;366;340;193;243
01/07/19;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES36;1-;271;185;120;85;151;634;2228;2626;2210;1852;1838;1961
01/07/19;ES36;1=;2117;2305;2150;1958;1833;2199;2218;2031;1461;969;737;507
01/07/19;ES36;2-;231;152;68;56;171;564;2009;2692;2539;2366;2198;2132
01/07/19;ES36;2=;2049;2125;2553;2427;2172;2405;2207;1882;1420;885;665;360
01/07/19;ES37;1-;210;133;87;70;129;339;1540;1993;1586;1417;1517;1570
01/07/19;ES37;1=;1732;2151;1941;1703;1721;1905;1746;1635;1101;782;546;390
01/07/19;ES37;2-;133;65;41;41;177;668;1586;2479;2398;2026;1874;1731
01/07/19;ES37;2=;1816;1801;2101;1994;1916;1923;1678;1513;1186;698;420;252
01/07/19;ES38;1-;94;48;26;14;8;7;225;270;501;477;459;496
01/07/19;ES38;1=;502;580;632;638;549;589;605;562;479;361;241;146
01/07/19;ES38;2-;83;44;22;13;18;41;275;848;823;340;403;409
01/07/19;ES38;2=;386;397;401;359;517;454;506;431;376;287;142;109
01/07/19;ES39;1-;543;548;203;85;55;71;173;1394;2794;3073;2762;1789
01/07/19;ES39;1=;1528;1512;1559;2055;2040;1641;1623;1711;1569;1533;1175;736
01/07/19;ES39;2-;443;392;190;106;55;64;143;585;2006;2134;1648;1452
01/07/19;ES39;2=;1514;1613;1800;2170;2564;2360;2107;2089;1916;1676;1211;853
01/07/19;ES40;1-;352;138;99;105;217;735;2747;3006;2893;2575;2424;2292
01/07/19;ES40;1=;2466;2664;2546;2306;2395;2351;2335;2064;1492;946;595;430
01/07/19;ES40;2-;322;114;106;95;217;693;1917;2215;2039;1811;1963;1888
01/07/19;ES40;2=;1935;2229;2235;2101;2155;2431;2191;1924;1413;892;598;411
01/07/19;ES41;1-;226;168;106;120;172;379;1346;1488;1165;1093;1075;1225
01/07/19;ES41;1=;1201;1155;945;964;1049;1058;1126;1091;768;560;407;296
01/07/19;ES41;2-;168;113;74;86;141;282;663;890;1055;981;951;935
01/07/19;ES41;2=;938;949;1033;1029;1027;1036;942;777;669;486;332;250
01/07/19;ES42;1-;134;95;81;56;77;264;791;1162;952;844;903;974
01/07/19;ES42;1=;932;1009;980;874;879;989;1002;828;599;384;287;172
01/07/19;ES42;2-;132;86;54;36;67;253;872;1555;1564;1178;1243;1207
01/07/19;ES42;2=;1170;1196;1125;1141;1157;1213;1174;902;638;440;286;224
01/07/19;ES43;1-;278;147;86;70;82;108;397;788;970;927;819;796
01/07/19;ES43;1=;749;736;698;635;628;597;611;581;541;500;332;220
01/07/19;ES43;2-;320;206;111;70;55;66;165;378;563;327;488;532
01/07/19;ES43;2=;572;593;632;611;731;673;670;642;605;519;413;272
01/07/19;ES44;1-;345;235;172;147;290;654;1233;1855;1996;2036;2161;2223
01/07/19;ES44;1=;2243;2283;2359;2253;2182;2279;2227;2012;1561;1007;756;668
01/07/19;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES45;1-;327;196;119;124;209;621;2021;2292;2084;1939;1882;1888
01/07/19;ES45;1=;1926;2033;1788;1904;1992;2012;1944;1809;1502;973;834;699
01/07/19;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES46;1-;189;113;105;86;205;559;894;788;754;777;858;889
01/07/19;ES46;1=;919;983;825;728;856;960;973;899;719;538;317;204
01/07/19;ES46;2-;222;129;70;77;147;377;756;945;975;912;833;853
01/07/19;ES46;2=;906;906;945;872;930;992;928;846;703;601;377;242
01/07/19;ES47;1-;298;190;124;110;133;454;869;1037;851;949;941;994
01/07/19;ES47;1=;975;976;857;938;1018;999;986;887;769;661;477;371
01/07/19;ES47;2-;219;155;111;123;167;446;674;753;898;947;818;833
01/07/19;ES47;2=;858;895;926;896;916;890;841;704;609;516;357;296
01/07/19;ES48;1-;147;85;63;55;163;1250;2707;2607;1887;1129;985;981
01/07/19;ES48;1=;951;1007;919;834;904;904;865;768;609;526;282;163
01/07/19;ES48;2-;105;66;57;48;97;248;473;541;550;603;710;733
01/07/19;ES48;2=;802;1200;1130;848;1337;1490;1202;1000;686;504;320;187
01/07/19;ES49;1-;114;72;38;32;49;334;1200;1160;1038;752;800;731
01/07/19;ES49;1=;722;731;652;646;707;647;635;619;447;380;242;177
01/07/19;ES49;2-;146;92;47;34;33;41;55;185;372;412;452;453
01/07/19;ES49;2=;477;476;555;752;688;531;579;532;491;371;274;142
01/07/19;ES50;1-;110;63;47;34;41;69;569;307;370;429;475;495
01/07/19;ES50;1=;438;522;534;43;422;424;532;485;462;291;210;169
01/07/19;ES50;2-;109;76;59;47;34;61;90;314;528;587;465;561
01/07/19;ES50;2=;531;542;523;477;497;475;581;473;347;213;197;151
01/07/19;ES51;1-;113;60;46;48;34;48;110;297;555;632;640;590
01/07/19;ES51;1=;533;511;534;629;611;513;598;566;476;392;258;151
01/07/19;ES51;2-;102;65;48;36;27;42;92;670;556;460;638;687
01/07/19;ES51;2=;692;775;479;604;428;656;691;426;396;318;159;114
01/07/19;ES52;1-;65;29;18;16;36;86;378;710;692;640;615;583
01/07/19;ES52;1=;541;534;677;601;714;722;710;680;619;440;224;113
01/07/19;ES52;2-;186;36;19;33;36;98;362;389;366;272;344;313
01/07/19;ES52;2=;359;342;365;438;367;371;445;372;372;168;125;101
01/07/19;ES53;1-;207;98;91;45;50;48;109;177;201;149;258;280
01/07/19;ES53;1=;273;290;278;224;246;285;310;330;321;250;189;182
01/07/19;ES53;2-;228;141;145;99;88;138;332;473;421;438;474;479
01/07/19;ES53;2=;468;496;498;436;590;474;452;514;453;422;293;264
01/07/19;ES54;1-;105;49;31;31;26;54;149;265;279;164;246;264
01/07/19;ES54;1=;247;250;255;214;306;245;273;277;286;247;203;124
01/07/19;ES54;2-;204;94;62;49;23;45;63;196;299;224;315;340
01/07/19;ES54;2=;334;349;371;323;231;342;362;495;384;339;274;223
01/07/19;ES55;1-;99;53;29;10;17;26;77;182;245;242;239;268
01/07/19;ES55;1=;268;255;240;213;312;298;306;298;278;210;146;92
01/07/19;ES55;2-;63;41;28;14;20;39;123;160;232;121;187;205
01/07/19;ES55;2=;221;229;229;180;150;232;298;264;281;216;161;69
01/07/19;ES56;1-;57;28;17;19;41;113;322;396;353;286;290;302
01/07/19;ES56;1=;287;374;557;351;360;431;391;312;234;186;131;85
01/07/19;ES56;2-;42;23;0;16;38;141;576;630;388;244;260;273
01/07/19;ES56;2=;262;273;240;211;226;237;253;248;202;147;111;0
01/07/19;ES57;1-;72;42;22;26;51;219;714;851;643;523;524;560
01/07/19;ES57;1=;556;654;676;636;689;677;653;612;495;355;200;123
01/07/19;ES57;2-;60;36;18;17;54;209;531;564;276;375;555;559
01/07/19;ES57;2=;592;667;715;422;718;790;755;610;501;284;190;92
01/07/19;ES58;1-;51;32;15;24;40;138;378;601;472;392;351;426
01/07/19;ES58;1=;373;417;514;456;410;491;438;401;296;201;127;102
01/07/19;ES58;2-;37;14;8;19;41;79;235;392;294;240;291;251
01/07/19;ES58;2=;301;285;309;283;300;320;319;290;262;160;105;50
01/07/19;ES59;1-;47;26;17;13;34;85;131;143;157;168;174;190
01/07/19;ES59;1=;178;190;201;175;196;224;214;196;186;158;109;69
01/07/19;ES59;2-;26;19;16;17;47;131;217;222;222;188;197;211
01/07/19;ES59;2=;188;173;137;181;190;222;215;188;130;100;73;38
01/07/19;ES60;1-;62;35;26;38;53;254;763;765;693;613;566;543
01/07/19;ES60;1=;475;416;410;531;526;541;551;456;319;186;125;86
01/07/19;ES60;2-;98;59;29;33;41;123;326;667;635;556;569;640
01/07/19;ES60;2=;673;681;698;649;686;714;739;705;555;388;271;135
02/07/19;ES01;1-;384;160;102;87;183;805;2294;2683;2506;2111;2078;2275
02/07/19;ES01;1=;2460;2707;2176;2235;2237;2486;2453;2255;1661;1104;1055;939
02/07/19;ES01;2-;205;148;110;80;153;371;941;1650;1818;1618;1700;1619
02/07/19;ES01;2=;1558;1649;1924;1707;1651;1701;1643;1405;1067;724;617;544
02/07/19;ES02;1-;200;142;111;110;113;306;757;1145;1141;1138;1133;1121
02/07/19;ES02;1=;1086;1093;1133;978;994;1072;1100;1035;854;677;524;447
02/07/19;ES02;2-;429;188;158;148;200;555;1327;1371;1401;1136;1267;1163
02/07/19;ES02;2=;1195;1140;1141;1087;1177;1174;1164;1134;1124;984;807;599
02/07/19;ES03;1-;320;191;141;127;112;679;2524;2551;2729;2659;2168;1985
02/07/19;ES03;1=;1846;1773;1784;1949;1797;1918;2043;1894;1578;787;572;603
02/07/19;ES03;2-;185;163;63;84;58;172;554;1027;994;1122;1143;1486
02/07/19;ES03;2=;1711;1786;1906;1902;1730;1682;1859;1782;1614;1023;610;508
02/07/19;ES04;1-;118;97;38;47;72;301;1229;1258;1306;1274;1137;1084
02/07/19;ES04;1=;1056;1112;1021;1091;1063;1042;1062;1129;1098;528;360;407
02/07/19;ES04;2-;104;76;35;46;48;150;546;829;826;806;675;795
02/07/19;ES04;2=;757;825;1032;1023;762;873;990;976;872;395;273;229
02/07/19;ES05;1-;719;437;307;238;313;631;1272;1766;2073;2422;2581;2752
02/07/19;ES05;1=;2464;2876;3033;3226;2871;3108;3250;3174;3003;2495;1855;1550
02/07/19;ES05;2-;178;86;74;96;297;1146;2113;2157;2085;1932;1907;1328
02/07/19;ES05;2=;1639;1594;1736;1701;1718;1735;1805;1734;1610;1357;698;387
02/07/19;ES06;1-;73;37;28;24;59;280;987;1085;894;834;865;814
02/07/19;ES06;1=;811;923;984;891;854;969;841;763;561;347;270;200
02/07/19;ES06;2-;75;35;34;18;56;193;650;939;828;710;769;776
02/07/19;ES06;2=;756;868;1192;910;839;849;784;712;500;318;242;204
02/07/19;ES07;1-;639;476;196;150;94;196;792;1893;2405;2059;1835;2248
02/07/19;ES07;1=;2416;2785;3541;3741;3233;3305;3632;3294;2718;2189;1727;1152
02/07/19;ES07;2-;440;196;125;91;181;615;3884;5196;4302;3472;2631;2538
02/07/19;ES07;2=;2405;2453;2871;2717;2369;2334;2400;2315;2293;2088;1304;867
02/07/19;ES08;1-;480;353;304;271;346;488;702;824;814;828;808;853
02/07/19;ES08;1=;742;740;862;828;877;891;889;855;853;690;647;624
02/07/19;ES08;2-;452;310;274;277;335;503;894;1050;943;986;862;973
02/07/19;ES08;2=;998;974;933;1000;960;1001;958;943;906;844;800;670
02/07/19;ES09;1-;562;430;309;242;232;459;852;1059;854;960;960;1073
02/07/19;ES09;1=;1055;952;918;984;924;984;996;967;945;829;753;700
02/07/19;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES10;2-;176;137;78;81;81;154;413;639;579;569;568;483
02/07/19;ES10;2=;477;655;644;558;570;489;629;637;601;569;419;311
02/07/19;ES11;1-;1076;707;319;166;113;130;498;3519;5571;5379;4862;3692
02/07/19;ES11;1=;3395;3197;3437;4207;3824;3334;3416;3676;3516;3214;2615;1717
02/07/19;ES11;2-;1476;990;440;158;164;168;304;1304;2389;3998;2838;2971
02/07/19;ES11;2=;3511;3733;4551;5345;5265;4558;4996;5400;4748;4341;3245;2409
02/07/19;ES12;1-;355;212;173;182;330;1170;1628;1608;1586;1748;1740;1547
02/07/19;ES12;1=;1025;804;1292;1655;1417;1288;1556;1646;1751;1420;1337;952
02/07/19;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES13;1-;281;152;125;125;179;454;1145;1516;1479;1480;1375;1467
02/07/19;ES13;1=;1375;1527;1454;1479;1455;1527;1536;1484;1276;833;700;654
02/07/19;ES13;2-;343;256;165;117;191;524;1434;1856;1895;1716;1229;1397
02/07/19;ES13;2=;1445;1417;1224;1403;1618;1673;1830;1828;1472;1069;900;830
02/07/19;ES14;1-;43;21;15;10;27;70;227;422;422;409;451;447
02/07/19;ES14;1=;440;371;332;384;361;374;347;311;265;154;153;104
02/07/19;ES14;2-;39;13;7;7;15;38;95;179;218;276;316;347
02/07/19;ES14;2=;330;366;279;330;322;323;302;279;236;130;135;92
02/07/19;ES15;1-;74;46;34;31;47;252;1049;1358;1109;860;868;918
02/07/19;ES15;1=;805;910;937;870;876;878;869;795;681;384;256;194
02/07/19;ES15;2-;47;35;17;21;32;196;835;1008;1085;1110;885;832
02/07/19;ES15;2=;929;1033;937;792;853;887;760;665;533;306;341;190
02/07/19;ES16;1-;284;198;157;108;110;338;1048;1479;1254;1403;1568;1628
02/07/19;ES16;1=;1612;1618;1608;1549;1533;1613;1632;1574;1321;935;918;766
02/07/19;ES16;2-;199;142;107;114;185;551;1550;1714;1534;1652;1435;1529
02/07/19;ES16;2=;1468;1442;1341;1426;1391;1490;1391;1386;1114;749;571;396
02/07/19;ES17;1-;297;190;162;155;353;1657;3161;3470;3328;2991;2844;2716
02/07/19;ES17;1=;2536;2734;2654;2724;2740;2766;2758;2697;2238;1589;1246;839
02/07/19;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES18;1-;82;44;30;30;56;301;1223;1530;972;822;845;746
02/07/19;ES18;1=;736;663;603;666;677;693;633;515;444;278;196;178
02/07/19;ES18;2-;107;70;42;42;44;84;288;553;666;777;834;889
02/07/19;ES18;2=;1007;1225;1302;992;1014;1142;1228;1183;885;503;392;295
02/07/19;ES19;1-;167;148;96;77;123;264;738;980;1096;1042;1139;1172
02/07/19;ES19;1=;1097;1063;1093;1082;1073;1085;1128;957;755;550;415;365
02/07/19;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES20;1-;3406;2218;1361;784;642;660;1302;4123;8962;9339;7917;7930
02/07/19;ES20;1=;8796;9299;9999;9999;9999;9999;9999;9999;9999;9867;8434;6678
02/07/19;ES20;2-;3281;1889;983;599;519;809;2506;9999;8046;7448;9719;9999
02/07/19;ES20;2=;9999;9833;9999;9999;9999;9671;9329;9846;9569;8562;7467;5486
02/07/19;ES21;1-;87;58;33;32;55;208;1221;1564;1141;935;1069;1090
02/07/19;ES21;1=;1144;1261;1065;944;1048;1160;1189;1028;791;496;396;321
02/07/19;ES21;2-;126;56;46;37;65;313;983;1709;1905;1576;1554;1374
02/07/19;ES21;2=;1383;1514;1872;1684;1503;1681;1488;1261;926;522;335;242
02/07/19;ES22;1-;197;119;82;108;142;493;1376;1433;1631;1297;1129;1155
02/07/19;ES22;1=;1018;1124;1179;1026;992;1033;1072;925;989;847;698;547
02/07/19;ES22;2-;305;183;114;95;89;300;794;785;1022;1136;1151;1239
02/07/19;ES22;2=;1338;1319;1353;1335;1259;1314;1541;1461;1421;1209;943;647
02/07/19;ES23;1-;404;277;209;201;364;1386;3918;3710;3342;3086;2833;2575
02/07/19;ES23;1=;1753;2128;2265;2118;2069;2117;2382;2114;1971;1738;1355;1074
02/07/19;ES23;2-;808;525;366;301;372;713;1259;1700;1965;2372;2540;2645
02/07/19;ES23;2=;2440;2745;2811;2737;2575;2987;3060;2979;2764;2255;1844;1517
02/07/19;ES24;1-;293;95;59;62;53;150;364;613;593;745;893;920
02/07/19;ES24;1=;982;961;1069;1087;1091;1020;1080;943;889;663;515;375
02/07/19;ES24;2-;140;100;55;63;105;389;1319;1441;1259;919;893;896
02/07/19;ES24;2=;836;734;704;791;795;781;739;700;582;393;301;314
02/07/19;ES25;1-;115;76;68;10;25;106;144;256;272;297;292;277
02/07/19;ES25;1=;273;246;247;254;178;262;259;170;167;131;129;108
02/07/19;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/07/19;ES26;1-;240;173;99;47;56;85;176;267;352;393;505;571
02/07/19;ES26;1=;516;357;346;349;371;566;561;549;316;293;281;236
02/07/19;ES26;2-;137;64;73;69;54;88;190;259;249;395;381;370
02/07/19;ES26;2=;244;243;251;234;330;274;245;338;299;176;229;154
