FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/07/19;ES01;1-;374;208;149;92;183;824;2292;2663;2097;2164;1951;2065
01/07/19;ES01;1=;2194;2426;2104;1852;1872;2197;2236;1887;1344;764;741;585
01/07/19;ES01;2-;266;196;118;86;153;378;927;1518;1746;1453;1467;1550
01/07/19;ES01;2=;1415;1428;1697;1680;1516;1633;1466;1218;984;626;560;384
01/07/19;ES02;1-;247;154;108;103;127;249;685;1062;1197;1050;1099;1059
01/07/19;ES02;1=;1056;1094;1085;1014;991;1036;1016;909;748;626;445;336
01/07/19;ES02;2-;473;178;128;168;143;547;1236;1379;1554;1350;1327;1214
01/07/19;ES02;2=;1190;1163;1067;1075;1053;1053;1149;1027;930;882;755;528
01/07/19;ES03;1-;178;112;128;81;121;633;2306;2556;2773;2534;2463;1968
01/07/19;ES03;1=;1969;1738;1849;1886;1779;1879;1905;1743;1511;717;494;335
01/07/19;ES03;2-;164;92;53;50;71;183;541;969;1029;1141;1221;1425
01/07/19;ES03;2=;1515;1789;1860;1840;1548;1447;1674;1798;1413;916;561;419
01/07/19;ES04;1-;127;77;33;31;66;289;1124;1228;1363;1342;1168;1039
01/07/19;ES04;1=;1058;1019;1040;1077;1068;1067;1025;1065;1026;521;312;233
01/07/19;ES04;2-;99;54;59;58;44;145;497;747;767;705;591;685
01/07/19;ES04;2=;759;837;960;1018;800;834;905;996;826;369;239;201
01/07/19;ES05;1-;656;428;301;229;314;615;1136;1464;1730;2054;2303;2430
01/07/19;ES05;1=;2630;2869;2870;2483;2684;2896;2806;2486;2082;1596;1306;1170
01/07/19;ES05;2-;203;108;0;0;283;1002;1921;1895;1760;1646;1640;1486
01/07/19;ES05;2=;1411;1481;1498;1487;1527;1573;1554;1366;1125;841;555;320
01/07/19;ES06;1-;72;46;32;22;75;278;972;1063;881;856;869;895
01/07/19;ES06;1=;897;912;1041;806;858;1023;862;695;597;310;233;145
01/07/19;ES06;2-;78;43;29;22;66;189;643;998;776;745;803;812
01/07/19;ES06;2=;798;870;1131;907;817;940;792;679;477;316;198;138
01/07/19;ES07;1-;923;454;266;152;103;209;853;2034;2383;1931;1836;2067
01/07/19;ES07;1=;2275;2664;3517;3680;3144;3145;3464;3162;2618;2198;1655;978
01/07/19;ES07;2-;848;363;204;138;212;623;3805;5134;4334;3656;2749;2338
01/07/19;ES07;2=;2296;2366;2856;2581;2279;2389;2452;2110;2174;1821;1255;738
01/07/19;ES08;1-;417;371;326;249;284;508;668;525;507;859;862;863
01/07/19;ES08;1=;900;898;873;855;865;914;901;865;825;731;657;588
01/07/19;ES08;2-;419;342;315;292;315;484;887;1077;994;922;994;1024
01/07/19;ES08;2=;968;1001;979;966;979;1002;992;940;883;799;701;577
01/07/19;ES09;1-;437;373;324;347;309;479;849;681;874;902;928;1069
01/07/19;ES09;1=;1057;1033;963;862;862;1007;929;981;911;879;703;677
01/07/19;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES10;2-;254;183;140;101;94;111;288;664;594;561;586;592
01/07/19;ES10;2=;642;655;667;544;500;663;617;640;601;569;454;267
01/07/19;ES11;1-;1371;965;414;98;127;144;504;3300;5105;4943;4514;3467
01/07/19;ES11;1=;3219;3106;3232;3967;3569;2894;3147;3439;3267;2961;2449;1624
01/07/19;ES11;2-;2246;1387;568;258;160;161;311;1287;3245;3799;3094;3193
01/07/19;ES11;2=;2907;3841;4012;5352;5441;4358;4728;5074;4458;4152;2835;2577
01/07/19;ES12;1-;508;299;230;220;0;1188;1655;1703;1570;1660;1588;1544
01/07/19;ES12;1=;1753;1423;1139;1738;1470;1650;1657;1805;1593;1177;930;698
01/07/19;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES13;1-;278;213;152;118;214;450;1135;1565;1509;1438;1451;1450
01/07/19;ES13;1=;1453;1444;1477;1409;1476;1532;1387;1355;1100;725;555;435
01/07/19;ES13;2-;411;276;180;102;151;367;1393;1794;1841;1732;1786;1796
01/07/19;ES13;2=;1795;1823;1706;1688;1746;1783;1723;1641;1337;891;781;633
01/07/19;ES14;1-;39;15;16;14;23;84;220;433;445;402;448;419
01/07/19;ES14;1=;404;364;322;379;397;422;396;285;226;150;107;96
01/07/19;ES14;2-;20;9;10;8;11;33;102;187;237;260;317;329
01/07/19;ES14;2=;306;304;246;231;286;330;274;218;194;118;86;57
01/07/19;ES15;1-;97;50;23;25;52;254;995;1240;988;760;832;778
01/07/19;ES15;1=;846;886;953;881;837;892;894;666;507;319;220;144
01/07/19;ES15;2-;107;39;14;14;32;181;799;1083;1108;1049;864;803
01/07/19;ES15;2=;839;986;896;820;845;830;794;689;502;305;189;123
01/07/19;ES16;1-;318;175;127;116;150;341;1106;1441;1351;1391;1530;1519
01/07/19;ES16;1=;1631;1692;1597;1552;1600;1641;1650;1485;1243;772;699;519
01/07/19;ES16;2-;270;124;98;78;135;506;1565;1624;1626;1551;1526;1475
01/07/19;ES16;2=;1447;1341;1378;1491;1395;1342;1280;1184;997;669;436;341
01/07/19;ES17;1-;488;266;124;180;266;1605;3213;3457;3268;3019;2829;2669
01/07/19;ES17;1=;2643;2627;2651;2711;2636;2662;2539;2516;2048;1460;995;607
01/07/19;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES18;1-;67;51;22;20;32;202;1123;999;1017;864;746;748
01/07/19;ES18;1=;625;595;569;648;619;636;562;456;376;230;197;152
01/07/19;ES18;2-;126;61;38;31;35;88;280;543;663;730;814;845
01/07/19;ES18;2=;969;1141;1172;1013;902;1115;1133;977;778;460;313;248
01/07/19;ES19;1-;219;133;125;86;116;299;687;985;1079;946;1049;1023
01/07/19;ES19;1=;1056;1041;1024;969;916;1067;1046;999;732;501;379;295
01/07/19;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES20;1-;7868;3174;1891;1197;760;730;1414;4569;9275;9797;8317;8272
01/07/19;ES20;1=;8887;9406;9999;9999;9999;9999;9999;9999;9999;9304;7882;5762
01/07/19;ES20;2-;4756;3225;2233;719;732;951;2744;9999;8131;6688;7191;9999
01/07/19;ES20;2=;9930;9950;9643;9999;9999;9598;9748;9999;9277;8343;7413;5189
01/07/19;ES21;1-;91;66;40;30;56;203;1207;1531;1176;967;964;1057
01/07/19;ES21;1=;1186;1203;969;910;1109;1186;1144;1029;727;426;304;215
01/07/19;ES21;2-;88;53;45;22;77;324;984;1691;1835;1561;1410;1424
01/07/19;ES21;2=;1345;1417;1871;1717;1585;1577;1349;1099;837;476;290;159
01/07/19;ES22;1-;228;132;96;125;129;483;1252;1354;1693;1295;1137;1146
01/07/19;ES22;1=;1070;1129;1115;1079;1079;1129;999;966;943;741;559;460
01/07/19;ES22;2-;326;185;135;176;141;311;743;792;1028;1100;1128;1269
01/07/19;ES22;2=;1252;1220;1309;1385;1261;1313;1415;1376;1248;1092;778;608
01/07/19;ES23;1-;425;276;195;181;349;1231;3801;3104;2669;2704;2859;2287
01/07/19;ES23;1=;2158;2142;1969;2096;2502;2546;2057;1911;1656;1184;969;709
01/07/19;ES23;2-;747;510;349;284;372;674;1130;1418;1639;2010;2259;2359
01/07/19;ES23;2=;2493;2714;2612;2350;2565;2614;2482;2325;1967;1571;1323;1230
01/07/19;ES24;1-;218;115;61;49;87;162;367;619;559;751;774;885
01/07/19;ES24;1=;920;926;1078;1064;1036;920;1094;1076;821;700;482;322
01/07/19;ES24;2-;183;142;85;79;98;373;1293;1377;1221;957;844;803
01/07/19;ES24;2=;772;767;680;756;717;727;712;614;487;404;318;226
01/07/19;ES25;1-;90;83;85;11;21;116;124;260;273;275;274;172
01/07/19;ES25;1=;179;164;170;245;249;245;168;162;180;142;140;127
01/07/19;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/19;ES26;1-;226;179;97;82;81;128;234;513;433;392;588;570
01/07/19;ES26;1=;540;77;328;346;372;236;369;351;298;267;246;204
01/07/19;ES26;2-;136;67;71;66;52;128;187;247;284;269;292;274
