"Nº
RADAR";Ubicacion;Carretara o vial;"UBICACIÓN
Calle 30";PK;Sentido;Tipo;X (WGS84);Y (WGS84);Longitud;Latitud;Coordenadas
1;M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500;M-30;00NC50;0+500;Calzada interior;Fijo carriles 3 y 4;442843.00;4481180.00;-3.67433808;40.47934148;DGP
2;M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500;M-30;00NC50;0+500;Calzada interior;Fijo carriles 3 y 4;442847.00;4481180.00;-3.67429089;40.47934175;DGP
3;PASO INFERIOR COSTA RICA, SENTIDO PRÍNCIPE DE VERGARA;;;;;;443295.00;4478910.00;-3.66880283;40.45892328;DGP
4;M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700 ;M-30;M-30;6+700;Tronco calzada interior;Fijo carriles 1, 2 y 3;444002.00;4475270.00;-3.66014384;40.42618023;DGP
5;M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700 ;M-30;M-30;6+700;Tronco calzada interior;Fijo carriles 1, 2 y 3;444009.00;4475271.00;-3.66006141;40.42618971;DGP
6;M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800 ;M-30;M-30;7+800;Tronco calzada exterior;Fijo carriles 2 y 3;444069.00;4474210.00;-3.65926082;40.41663568;DGP
7;M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800 ;M-30;M-30;7+800;Tronco calzada exterior;Fijo carriles 2 y 3;444066.00;4474211.00;-3.65929627;40.41664449;DGP
8;TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO);M-30;10XC30;10+300;Calzada exterior;Fijo carril 1;;;-3.670048;40.397352;Calle30
9;TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO);M-30;10XC30;10+300;Calzada exterior;Fijo carril 3;;;-3.669973;40.397323;Calle30
10;ENTRADA TÚNEL M-30, DESDE NUDO SUR HACIA PTE. DE LOS FRANCESES;M-30;13NL25;13+250;Calzada interior;Fijo carril 3;;;-3.69499826;40.38678654;Calle30
11;TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA);M-30;13NL86;13+860;Calzada interior;Fijo carril 1;;;-3.699691;40.39118;Calle30
12;TÚNES BAIPÁS, SENTIDO A-3 A PTE. FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA);M-30;14NC20;14+200;Calzada interior;Fijo carril 3;;;-3.703274;40.394924;Calle30
13;PASEO DE STA. Mª DE LA CABEZA Nº 115, ENTRADA;PASEO DE SANTA MARIA DE LA CABEZA;;115;;;439726.00;4471345.00;-3.71017703;40.39052318;DGP
14;TÚNES BAIPÁS, SENTIDO A3 A PTE. DE LOS FRANCESES, (ENLACE Pº STA. Mª DE LA CABEZA);M-30;14NC74;14+740;Calzada interior;Fijo carril 1;;;-3.708108;40.39657;Calle30
15;TÚNES BAIPÁS, SENTIDO A3 A PTE. DE LOS FRANCESES, (Pº STA. Mª DE LA CABEZA - GTA. PIRÁMIDES);M-30;15NL01;15+010;Calzada interior;Fijo carril 3;;;-3.709684;40.397139;Calle30
16;TÚNEL M-30, SENTIDO PTE. DE LOS FRANCESES - A3 (PTE. SAN ISIDRO - GTA. MARQUÉS DE VADILLO);M-30;16XC53;16+530;Calzada exterior;Fijo multicarril;;;-3.722988;40.403114;Calle30
17;TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (PASADA SALIDA VIRGEN DEL PUERTO);M-30;17NC17;17+170;Calzada interior;Fijo carril 1;;;-3.721414;40.40939;Calle30
18;TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30;A5;04FT15;4+150;Entrada de Madrid;Fijo carril 1;;;-3.731092;40.41389;Calle30
19;TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30;A5;04FT15;4+150;Entrada de Madrid;Fijo carril 4;;;-3.73102;40.413797;Calle30
20;A-5 PK 4,000, SALIDA;A5;;4;Salida;;436748.00;4473248.00;-3.74545156;40.40744539;DGP
21;ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060;M-30;19XC06;19+060;Calzada exterior;Fijo carril 2 y 3;;;-3.727663;40.422937;Calle30
22;ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060;M-30;19XC06;19+060;Calzada exterior;Fijo carril 2 y 3;;;-3.727724;40.422839;Calle30
23;M-30  MARQUÉS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800;M-30;19NC90;19+900;Calzada interior;Fijo carriles 2 y 3;437668.00;4475482.00;-3.73482875;40.42763957;DGP
24;M-30 SENTIDO AVDA. DE LA ILUSTRACIÓN (CTRA. DEL PARDO - AVDA. DE LA ILUSTRACIÓN) P.K. 25,700;M-30;25NC80;25+700;Calzada interior;Fijo multicarril;436823.00;4480674.00;-3.74530618;40.47434710;DGP
25;M-30  SENTIDO CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÓN - CTRA. DEL PARDO) P.K. 27,300 ;M-30;;27+300;;;438043.00;4480491.00;-3.73089695;40.47279048;DGP
26;PASEO DE LA CASTELLA Nº 300, SALIDA;PASEO DE LA CASTELLANA;;300;Salida;Salida;441904.00;4481314.00;-3.68542793;40.48048344;DGP
27;AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR, SENTIDO GLORIETA DE MÁLAGA;AVENIDA DE CÓRDOBA;;"Inicio: GLORIETA DE CÁDIZ
Fin: AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR";Salida;Salida, radar de tramo;440873.00;4470025.29;-3.696519;40.378590;DGGVC
28;A-5 PK 5+750, SENTIDO SALIDA;A5;;P.K  4+000 ----- P.K. 5+750;Salida;Salida, radar de tramo;435202.237655954;4472448.48639425;-3.76358611606955;40.4001241953525;DGGVC
29;A-5 PK 4+000, SENTIDO ENTRADA;A5;;P.K. 5+750 ----- P.K  4+000;Entrada;Entrada, radar de tramo;436722.693562517;4473225.55366121;-3.74574755307117;40.4072412609861;DGGVC
;;;;;;;;;;;
;;;;;;;;;;;
