id;nombre;distrito;id_cruce;activo;fecha_denuncia;utm_x;utm_y;longitud;latitud
539;AVDA. FILIPINAS, 18;7;701;1;2009/12/08;439772.295290375;4476847.99664524;-3.7101526081858;40.4401000613871
541;AVDA. ILUSTRACIÓN - BETANZOS;8;704;1;2009/11/30;439643.409418015;4481333.92263503;-3.71209879387567;40.4805016748372
536;AVDA. LOGROÑO, 44;21;701;1;2009/12/17;449664.122855589;4479011.28492054;-3.59369479787224;40.4602459225426
1465;AVDA. MARQUÉS CORBERA - RICARDO ORTIZ;15;702;1;2016/02/02;444355.524465807;4474898.49945582;-3.65594399516089;40.4228572739567
769;AVDA. MEDITERRÁNEO, 32;3;702;1;2011/12/12;442886.682507929;4473142.78504318;-3.67310013925557;40.4069413363842
437;AVDA. POBLADOS ESQ ABRANTES F 105;11;707;0;;437535.609151992;4469518.68439601;-3.73580424229332;40.3739095128518
535;CAMINO DE LOS VINATEROS, 47;14;701;1;2009/12/06;444442.029449739;4473550.47261400;-3.65480658508584;40.4107192706889
718;CARDENAL HERRERA ORIA - LA MASÓ;8;702;1;2012/04/09;439499.400481316;4481641.70606221;-3.71382708441219;40.4832638155247
1547;CEA BERMÚDEZ - VALLEHERMOSO;7;703;1;2016/02/02;439896.399138432;4476708.41611516;-3.70867618613875;40.4388516399609
1472;CNO BARRIAL - FDO LAZARO CARRETER;9;701;1;2016/09/26;432742.609101316;4479369.00366982;-3.79330041929714;40.4622710219941
1473;CTRA. CARABANCHEL ARAVACA - VILLAVICIOSA;10;702;1;2016/09/26;434287.189798615;4472103.57550117;-3.77433264459438;40.3969454079397
722;FRANCISCO PI Y MARGALL ESQ. ANA DE AUSTRIA;16;701;1;2014/07/23;444090.916533948;4482464.35256163;-3.65972937654717;40.490996459241
770;FRANCISCO SILVELA, 62;4;701;1;2011/12/12;442747.536501916;4476282.08317224;-3.67502253660173;40.4352122060793
720;FUENTE CARRANTONA - HACIENDA PAVONES;14;702;1;2012/04/09;445995.939403786;4472405.39162936;-3.63639611551435;40.4005059447293
1475;GRAL RICARDOS - PSO QUINCE DE MAYO;11;701;1;2016/09/26;439124.113846667;4472056.52730187;-3.71733623276165;40.3968891905669
220;INSTITUCIÓN LIBRE DE ENSEÑANZA, 123;20;701;1;2007/09/01;446959.094731682;4474599.04402284;-3.62522958429261;40.4203296439701
728;JOAQUIN COSTA - VELAZQUEZ;5;701;1;2016/09/26;442068.145832844;4477118.14265176;-3.68310843476755;40.4426967815049
1468;JOSE ABASCAL - SANTA ENGRACIA;7;702;1;2016/02/02;440561.568956161;4476668.94997951;-3.70083009605244;40.4385439217755
768;MENÉNDEZ PELAYO - NIÑO JESÚS;3;701;1;2012/02/23;442516.727551357;4474002.27980424;-3.67753754746372;40.4146586584747
1470;MONFORTE DE LEMOS - FINISTERRE;8;706;1;2016/09/26;440473.442488610;4481252.08729235;-3.70229892267659;40.479824389277
618;O'DONNELL CARRIL CENTRAL;4;702;1;2010/07/08;443315.104089356;4474707.54321964;-3.66819079454947;40.4210668083416
439;PO CASTELLANA, 105;6;702;1;2009/11/30;441447.096822825;4478448.63284231;-3.69055375564741;40.4546389283058
545;PO CASTELLANA, 167;6;701;1;2006/10/26;441514.604798787;4479282.58964890;-3.68983448236792;40.4621563254172
746;SINESIO DELGADO GTA P. CEBRERO;8;703;1;2014/06/30;439714.125998890;4480304.90683164;-3.71116671153691;40.4712370628655
538;VENTISQUERO DE LA CONDESA, 42;8;705;1;2009/11/30;439202.018606593;4482846.64042607;-3.71745112175828;40.4940965416707
727;VIA LUSITANA - AGUACATE;11;702;0;;437044.298823769;4468751.30729360;-3.7415154399666;40.3669596548349
734;VIA LUSITANA - PL ELÍPTICA;11;702;1;2016/09/26;439023.678147470;4470704.64387127;-3.71839021223885;40.3847034240639
