id;nombre;distrito;id_cruce;activo;fecha_denuncia;utm_x;utm_y;longitud;latitud
724;ALBERTO AGUILERA - BALTASAR GRACIÁN;1;701;1;2016/09/26;439697.113826276;4475730.96149385;-3.7109330225262;40.4300318814237
1466;ALCALA - SAN ROMUALDO;20;702;1;2016/02/02;447073.280236096;4476962.73631374;-3.6240804936097;40.4416304601236
438;ARROYO DE POZUELO 99;9;703;0;;433620.126338756;4478262.53194974;-3.78283533121032;40.4523742202371
1467;ASCAO - EMILIO FERRARI;15;701;1;2016/02/02;445707.039627088;4475742.24968576;-3.6400851752753;40.4305475475815
1471;AVDA. AMERICA - CARTAGENA;5;702;1;2016/09/26;442927.621874253;4476727.79812366;-3.67293945142666;40.4392398055853
832;AVDA. ANDALUCÍA - ALCOCER;17;702;1;2012/09/06;441147.627495674;4466910.83814896;-3.6930186000908;40.3506794053412
542;AVDA. ANDALUCÍA - METRO SAN CRISTOBAL;17;701;1;2009/11/30;441156.997261143;4465919.38685303;-3.69281688018584;40.3417484759338
833;AVDA. ANDALUCÍA - UNANIMIDAD;17;703;0;;441121.228528052;4468000.62385624;-3.69343000703863;40.3604949713868
109;AVDA. CARDENAL HERRERA ORIA, 83;8;701;1;2009/03/13;440590.410952932;4482292.13425298;-3.70101648709117;40.4892018944789
1469;AVDA. CIUDAD BARCELONA - MENÉNDEZ PELAYO;3;704;1;2016/02/02;442264.966548957;4472834.60000264;-3.68039883188233;40.4041221569706
834;AVDA. DE CORDOBA - GTA CADIZ;12;701;0;;440670.252874632;4470980.42809357;-3.69901822613241;40.3873067146082
1544;AVDA. DE LA PESETA, 91 - CL DINERO;11;704;0;;436354.473447144;4468269.43001657;-3.74959171185298;40.3625663046893
1543;AVDA. DE LA PESETA, 92;11;703;0;;436310.024592051;4468227.83210022;-3.75011101653539;40.3621881773816
1474;AVDA. DE LA PESETA - CTRA  BARRIO FORTUNA;10;703;1;2016/09/26;434981.951894882;4469050.93347739;-3.76583504969826;40.3695005251065
1545;AVDA. DE LA PESETA F 105;11;705;0;;436650.577171192;4468321.51381033;-3.74610977392762;40.3630580492923
1546;AVDA. DE LA PESETA - LUIS DE ORO;11;706;0;;436702.155354903;4468365.52616357;-3.74550671888693;40.363458450483
436;AVDA. DE LOS POBLADOS, 45;10;701;1;2009/11/30;435514.287440706;4470661.67839451;-3.75972826429167;40.3840521435808
